,id,time_sec
0,tt13384564,5
1,tt13387422,6
2,tt13387410,3
3,tt13389730,4
4,tt13392012,3
5,tt13400008,2
6,tt13399534,3
7,tt13403304,4
8,tt13405570,4
9,tt13404868,4
10,tt13409496,4
11,tt13408160,2
12,tt13407890,3
13,tt13409450,2
14,tt13415290,2
15,tt13419036,4
16,tt13416594,2
17,tt13422712,4
18,tt13422392,4
19,tt13424422,4
20,tt13421132,3
21,tt13422672,2
22,tt13428782,3
23,tt13429004,3
24,tt13432484,5
25,tt13435314,2
26,tt13432158,4
27,tt13438734,4
28,tt13440294,3
29,tt13443812,4
30,tt13445062,2
31,tt13445076,5
32,tt13446354,2
33,tt13448084,5
34,tt13445934,6
35,tt13445924,6
36,tt13445590,3
37,tt13446126,8
38,tt13448240,2
39,tt13450470,11
40,tt13452328,22
41,tt13451738,9
42,tt13453006,7
43,tt13455454,3
44,tt13454112,3
45,tt13458414,3
46,tt13458080,5
47,tt13456330,3
48,tt13458764,3
49,tt13462472,4
50,tt13462900,4
51,tt13465006,4
52,tt13463318,5
53,tt13465228,3
54,tt13466166,4
55,tt13470094,4
56,tt13471738,4
57,tt13468436,5
58,tt13473426,2
59,tt13472850,3
60,tt1347323,5
61,tt13476312,4
62,tt13473548,5
63,tt13476344,4
64,tt13477244,5
65,tt13483348,2
66,tt13482806,6
67,tt13485172,6
68,tt13491110,5
69,tt13494136,4
70,tt13491778,2
71,tt13493476,6
72,tt13499272,3
73,tt13497908,5
74,tt13502736,5
75,tt13501748,4
76,tt13502508,4
77,tt13507778,5
78,tt13508082,4
79,tt13510660,5
80,tt13511518,6
81,tt13510888,2
82,tt13513888,5
83,tt13519116,2
84,tt13515946,5
85,tt13521264,5
86,tt13521484,4
87,tt13523782,4
88,tt13526440,4
89,tt13526620,4
90,tt13527952,4
91,tt13528562,5
92,tt13533532,2
93,tt13534958,5
94,tt13535964,4
95,tt13534934,3
96,tt13539152,3
97,tt13539840,3
98,tt13540874,14
99,tt13542376,2
100,tt13544634,3
101,tt13545494,4
102,tt13549598,3
103,tt13545740,3
104,tt13550466,2
105,tt13555952,4
106,tt13553396,6
107,tt13556254,6
108,tt13557860,4
109,tt13556244,4
110,tt13555924,5
111,tt13557918,8
112,tt13560124,6
113,tt13559026,7
114,tt13562458,5
115,tt13563844,3
116,tt13563658,4
117,tt13566540,2
118,tt13571090,4
119,tt13570052,3
120,tt13575838,3
121,tt13576582,3
122,tt13582198,2
123,tt13582738,4
124,tt13582752,4
125,tt13583380,3
126,tt13586596,3
127,tt13588156,5
128,tt13588580,2
129,tt13593042,5
130,tt13591918,5
131,tt13591034,2
132,tt13600126,3
133,tt13598166,3
134,tt13598760,2
135,tt13599944,7
136,tt13595882,5
137,tt13596278,5
138,tt13597634,4
139,tt13598976,5
140,tt13602526,6
141,tt13603190,4
142,tt13603378,4
143,tt13606090,6
144,tt13606328,3
145,tt13606916,4
146,tt13607812,4
147,tt13611284,3
148,tt13611620,5
149,tt13613056,4
150,tt13617580,7
151,tt13615024,2
152,tt13611662,60
153,tt13612142,4
154,tt13617332,2
155,tt13611886,4
156,tt13612010,4
157,tt13612932,3
158,tt13617772,4
159,tt13618674,5
160,tt13622108,12
161,tt13623916,6
162,tt13622146,7
163,tt13624526,8
164,tt13626574,4
165,tt13629692,2
166,tt13625932,4
167,tt13628822,5
168,tt13632978,2
169,tt13635630,2
170,tt13638536,3
171,tt13640458,4
172,tt13646646,4
173,tt13646616,4
174,tt13648184,4
175,tt13648430,2
176,tt13648224,3
177,tt13648212,5
178,tt13648220,4
179,tt13648216,3
180,tt13648350,3
181,tt13648682,3
182,tt13649566,3
183,tt13651868,5
184,tt13652912,3
185,tt13653022,3
186,tt13651628,4
187,tt13649034,4
188,tt13654146,6
189,tt13652130,5
190,tt13654950,4
191,tt13653754,4
192,tt13654236,3
193,tt13655528,3
194,tt13655044,4
195,tt13656980,5
196,tt13660118,5
197,tt13658076,5
198,tt13662748,12
199,tt13664966,3
200,tt13665634,1
201,tt13665258,3
202,tt13667212,2
203,tt13667572,2
204,tt13668498,2
205,tt13671954,3
206,tt13671922,3
207,tt13672974,4
208,tt13673110,3
209,tt13676948,2
210,tt13678976,5
211,tt13677352,4
212,tt13677962,4
213,tt13678310,2
214,tt13683086,2
215,tt13683098,2
216,tt13683566,3
217,tt13683868,4
218,tt13686040,3
