,Genero,Tipo,Título,Año de estreno,Mes de estreno,ID
109,Drama,Short,Misunnelse,2000,8.0,tt0265329
110,Drama,Short,Strawberry Flavour,2000,,tt0265816
111,Drama,Short,Walking on the Wild Side,2000,10.0,tt0266031
112,Drama,Short,What Where,2000,,tt0266042
113,Drama,Short,Fade out,2000,,tt0264608
114,Drama,Short,Zwang,2000,9.0,tt0264213
115,Drama,Short,Still,2000,9.0,tt0265809
116,Drama,Short,Lion's Mouth,2000,8.0,tt0265287
117,Drama,Short,1. de ei,2000,,tt0267238
118,Drama,Short,President Pig en de 3 wolfjes,2000,,tt0267847
119,Drama,Short,Breathe,2000,11.0,tt0266365
120,Drama,Short,Young Americans,2000,10.0,tt0266080
121,Drama,Short,Saadia: A Moroccan Woman in the Resistance,2000,10.0,tt0265681
122,Drama,Short,Buskers,2000,11.0,tt0266379
123,Drama,Short,L'hôtel des Thermes,2000,10.0,tt0267564
124,Drama,Short,Window,2000,11.0,tt0267117
125,Drama,Short,Hindsight,2000,,tt0266625
126,Drama,Short,Utukt,2000,8.0,tt0265965
127,Drama,Short,Once,2000,,tt0267801
128,Drama,Short,Passengers,2000,,tt0269697
129,Drama,Short,Motorcycle,2000,10.0,tt0269572
130,Drama,Short,Speed for Thespians,2000,7.0,tt0269899
131,Drama,Short,The Valentine,2000,,tt0270026
132,Drama,Short,Untitled,2000,11.0,tt0270717
133,Drama,Short,The Passage,2000,8.0,tt0270565
134,Drama,Short,Episodes,2000,,tt0273571
135,Drama,Short,Subrosa,2000,9.0,tt0271214
136,Drama,Short,La cama cinco,2000,12.0,tt0270264
137,Drama,Short,Strandgut,2000,7.0,tt0271212
138,Drama,Short,Felicity's View,2000,4.0,tt0271501
139,Drama,Short,Sweet Dreams,2000,8.0,tt0271217
140,Drama,Short,Zivi mrtvaci,2000,,tt0271887
141,Drama,Short,De afdaling,2000,1.0,tt0271953
142,Drama,Short,Slobodno mesto,2000,3.0,tt0274091
143,Drama,Short,Coming to Terms,2000,10.0,tt0274440
144,Drama,Short,The Best Girl,2000,10.0,tt0274366
145,Drama,Short,La télévision,2000,,tt0275004
146,Drama,Short,Grand oral,2000,9.0,tt0275383
147,Drama,Short,Clean Rite Cowboy,2000,,tt0276019
148,Drama,Short,"Foxy Lady, Wild Cherry",2000,9.0,tt0276146
149,Drama,Short,Adam and Steve,2000,10.0,tt0275896
150,Drama,Short,Le p'tit Varius,2000,,tt0276383
151,Drama,Short,Through Thick and Thin,2000,8.0,tt0278093
152,Drama,Short,Test,2000,1.0,tt0278090
153,Drama,Short,Vader en dochter,2000,9.0,tt0279079
154,Drama,Short,Versus,2000,,tt0278801
155,Drama,Short,Moosh,2000,9.0,tt0279572
156,Drama,Short,Mehari,2000,,tt0280931
157,Drama,Short,Film,2000,1.0,tt0281856
158,Drama,Short,Grandfather's Birthday,2000,4.0,tt0281892
159,Drama,Short,Master Shot,2000,2.0,tt0283471
160,Drama,Short,Heads,2000,,tt0281904
161,Drama,Short,Film(lode),2000,9.0,tt0282694
162,Drama,Short,Unter Wasser,2000,,tt0281323
163,Drama,Short,El funeral de los dedos,2000,12.0,tt0280691
164,Drama,Short,You'll Do,2000,,tt0281389
165,Drama,Short,Obscuratio,2000,12.0,tt0281005
166,Drama,Short,...Lost.,2000,6.0,tt0283820
167,Drama,Short,The Mountain King,2000,4.0,tt0284324
168,Drama,Short,Hidden,2000,8.0,tt0284185
169,Drama,Short,Mool ahn kyung,2000,10.0,tt0282756
170,Drama,Short,Donnerstag um vier,2000,8.0,tt0284062
171,Drama,Short,Flowers & Freckle Cream,2000,5.0,tt0284120
172,Drama,Short,Zapping,2000,11.0,tt0284678
173,Drama,Short,Take-Out,2000,,tt0283033
174,Drama,Short,Nevermore,2000,7.0,tt0284347
175,Drama,Short,Lohdutusseremonia,2000,3.0,tt0284983
176,Drama,Short,The Limited,2000,8.0,tt0285295
177,Drama,Short,Brennand - De Ovo Omnia,2000,10.0,tt0285466
178,Drama,Short,Spiral Bound,2000,,tt0288233
179,Drama,Short,Borderland,2000,8.0,tt0287341
180,Drama,Short,New Suits,2000,4.0,tt0285784
181,Drama,Short,Stanley,2000,6.0,tt0286150
182,Drama,Short,Anywhere Out of the World,2000,12.0,tt0287918
183,Drama,Short,Lector,2000,8.0,tt0288601
184,Drama,Short,Trait d'union,2000,1.0,tt0289781
185,Drama,Short,Comanche,2000,1.0,tt0289904
186,Drama,Short,The Midnight Sun,2000,5.0,tt0290004
187,Drama,Short,Las buenas intenciones,2000,,tt0291056
188,Drama,Short,Una bella inquietud,2000,,tt0291038
189,Drama,Short,El pan de cada día,2000,9.0,tt0290802
190,Drama,Short,La escapada,2000,,tt0290598
191,Drama,Short,Los maravillosos olores de la vida,2000,,tt0290753
192,Drama,Short,Lez Be Friends,2000,9.0,tt0293348
193,Drama,Short,"Nomad, Roe",2000,1.0,tt0291389
194,Drama,Short,La mudanza,2000,,tt0292131
195,Drama,Short,Mi patio,2000,,tt0292106
196,Drama,Short,En malas compañías,2000,6.0,tt0291887
197,Drama,Short,The Day Before,2000,1.0,tt0293793
198,Drama,Short,4 P.M.,2000,10.0,tt0296478
199,Drama,Short,Dois Filmes em Uma Noite,2000,,tt0297087
200,Drama,Short,Adazhio,2000,4.0,tt0297703
201,Drama,Short,Lecture à froid,2000,,tt0298035
202,Drama,Short,Bobby's Whore,2000,,tt0295883
203,Drama,Short,Seven Storeys,2000,10.0,tt0297387
