,Genero,Tipo,Titulo,Año de estreno,Mes de estreno,ID
110,Drama,Short,La ritirata,2009,4.0,tt1259222
111,Drama,Short,On the Way,2009,11.0,tt12606802
112,Drama,Short,The Sacrifice,2009,3.0,tt1261064
113,Drama,Short,Abel,2009,,tt12649100
114,Drama,Short,Visions,2009,,tt1265622
115,Drama,Short,"Suddenly, Snow",2009,11.0,tt12664588
116,Drama,Short,Blink of an Eye,2009,1.0,tt1267159
117,Drama,Short,Le ruban,2009,7.0,tt12680124
118,Drama,Short,Pappy and Speedster,2009,4.0,tt1268811
119,Drama,Short,The Stranger,2009,9.0,tt12697254
120,Drama,Short,Die Hades Fraktur,2009,4.0,tt12731944
121,Drama,Short,The Tale of Yona and the Sad Tree,2009,,tt12745206
122,Drama,Short,Nurmoo,2009,4.0,tt1275743
123,Drama,Short,Echoes,2009,6.0,tt1279081
124,Drama,Short,Que Ta volonté soit fête... d'après les écrits d'Etty Hillesum,2009,5.0,tt12808858
125,Drama,Short,Let's Call it Valencia,2009,3.0,tt12832932
126,Drama,Short,Narcissus Dreams,2009,7.0,tt1288387
127,Drama,Short,Medusas Fluch,2009,11.0,tt12911014
128,Drama,Short,À jamais,2009,1.0,tt1292704
129,Drama,Short,"Together, Apart",2009,2.0,tt12952646
130,Drama,Short,The Devils Bullets,2009,4.0,tt1297948
131,Drama,Short,Napszúrás,2009,,tt1303771
132,Drama,Short,Memory Lost,2009,12.0,tt13045096
133,Drama,Short,"Paris-Shanghai, a Fantasy",2009,,tt13051758
134,Drama,Short,The Last Day of Bulkin I.S.,2009,8.0,tt13079204
135,Drama,Short,Time Lapse,2009,12.0,tt13093146
136,Drama,Short,Mightier,2009,11.0,tt13093802
137,Drama,Short,Responsible Citizens,2009,9.0,tt13097686
138,Drama,Short,Dad's Not Home,2009,11.0,tt13099728
139,Drama,Short,Ondas,2009,1.0,tt13105938
140,Drama,Short,A Piece of Cake,2009,7.0,tt13105782
141,Drama,Short,A Mind of My Own,2009,11.0,tt13106376
142,Drama,Short,An American Journalist,2009,1.0,tt1312214
143,Drama,Short,The Silent Child,2009,1.0,tt1316076
144,Drama,Short,Portrait of an Addict,2009,4.0,tt1320289
145,Drama,Short,Business as Usual,2009,5.0,tt1321350
146,Drama,Short,The Surrogate,2009,2.0,tt1321841
147,Drama,Short,Eden,2009,2.0,tt1322303
148,Drama,Short,White Radishes,2009,1.0,tt1322406
149,Drama,Short,Les enfants de la Sûre,2009,2.0,tt1322912
150,Drama,Short,I Am the Bluebird,2009,4.0,tt1322925
151,Drama,Short,Midground,2009,,tt1322951
152,Drama,Short,Loveless,2009,2.0,tt1326239
153,Drama,Short,The Ghost-Eye Tree,2009,7.0,tt1329353
154,Drama,Short,The Girl Who Caught the Sun,2009,4.0,tt13293174
155,Drama,Short,Samskara,2009,11.0,tt13311360
156,Drama,Short,Refrigerator,2009,,tt1334471
157,Drama,Short,The Naked Row,2009,,tt1337154
158,Drama,Short,Solid State,2009,,tt1337126
159,Drama,Short,Miracle Fish,2009,3.0,tt1337354
160,Drama,Short,A Bit of Rope,2009,,tt1337145
161,Drama,Short,Five Days in June,2009,5.0,tt1337106
162,Drama,Short,2) Secret Machine,2009,1.0,tt1336978
163,Drama,Short,Amulett,2009,7.0,tt1337091
164,Drama,Short,Put Out the Light,2009,3.0,tt1337161
165,Drama,Short,The Hypocritic Oath,2009,,tt1337049
166,Drama,Short,Out of the Water,2009,1.0,tt1337157
167,Drama,Short,Moving In,2009,,tt1337115
168,Drama,Short,Prince Charming,2009,,tt1337122
169,Drama,Short,B-Hurst,2009,1.0,tt1337093
170,Drama,Short,Kicking Sand in Your Face,2009,,tt1337507
171,Drama,Short,The Roofer,2009,6.0,tt1337533
172,Drama,Short,Pussyfooting,2009,1.0,tt1337530
173,Drama,Short,Choices,2009,1.0,tt1337595
174,Drama,Short,The Beekeeper,2009,,tt1337587
175,Drama,Short,WarZone,2009,,tt1337568
176,Drama,Short,Holywood Sweets,2009,,tt1337630
177,Drama,Short,Away,2009,4.0,tt1337586
178,Drama,Short,Torturato,2009,,tt1337713
179,Drama,Short,Veer!,2009,1.0,tt1337723
180,Drama,Short,Unseen Abilities,2009,4.0,tt1337722
181,Drama,Short,Blue-Eyed Mary,2009,,tt1338557
182,Drama,Short,Historia de una hora,2009,,tt1338609
183,Drama,Short,Captive,2009,,tt1339060
184,Drama,Short,Sparks,2009,1.0,tt1339172
185,Drama,Short,The First Impression,2009,1.0,tt1339087
186,Drama,Short,Ne m'oublie pas,2009,7.0,tt1339130
187,Drama,Short,Let's Do It,2009,4.0,tt1339114
188,Drama,Short,Six and a Half,2009,1.0,tt1339611
189,Drama,Short,The Storymaker,2009,,tt1339615
190,Drama,Short,The 8th Samurai,2009,4.0,tt1339527
191,Drama,Short,Scarecrow,2009,,tt1339563
192,Drama,Short,Sunday Girl,2009,3.0,tt1339617
193,Drama,Short,Adjournment,2009,5.0,tt1339631
194,Drama,Short,Patty Reilly Was Here,2009,8.0,tt1339607
195,Drama,Short,Ghost Town,2009,1.0,tt1339597
196,Drama,Short,La operación,2009,,tt1340113
197,Drama,Short,Us: A Love Story,2009,,tt1339572
198,Drama,Short,"Julie, Julie",2009,4.0,tt1339600
199,Drama,Short,Click,2009,,tt1339582
200,Drama,Short,The Bitter End,2009,7.0,tt1339638
201,Drama,Short,Charlie's Game,2009,6.0,tt1339581
202,Drama,Short,The Omniscient Men,2009,,tt1339668
203,Drama,Short,Hove (The Wind),2009,5.0,tt1340104
204,Drama,Short,Christmas Night with Fritz Dubert,2009,,tt1340091
205,Drama,Short,JK LOL,2009,,tt1340106
206,Drama,Short,Bump N Grind,2009,,tt1340637
207,Drama,Short,Lesson from the Man,2009,4.0,tt1340722
208,Drama,Short,Contrition,2009,,tt1340639
209,Drama,Short,Days of Being Wrinkle Free,2009,4.0,tt1340640
210,Drama,Short,My First Tooth,2009,4.0,tt1340598
211,Drama,Short,Nur für einen Augenblick,2009,2.0,tt1341807
212,Drama,Short,Intersect,2009,,tt1341733
213,Drama,Short,Lost and Found,2009,,tt1342111
214,Drama,Short,Parat,2009,1.0,tt1342117
215,Drama,Short,Lavender Green,2009,4.0,tt1342889
216,Drama,Short,Dish,2009,1.0,tt1342854
217,Drama,Short,5films in an Anthology of a Film a Month,2009,,tt1342818
218,Drama,Short,Fate Scores,2009,4.0,tt1342862
219,Drama,Short,Murderabilia,2009,2.0,tt1342901
220,Drama,Short,HiberNATION,2009,4.0,tt1342879
221,Drama,Short,"The Green, Green Heart",2009,,tt1342876
222,Drama,Short,La frontera,2009,9.0,tt1342867
223,Drama,Short,Fugue,2009,,tt1342868
224,Drama,Short,Borderless,2009,4.0,tt1342835
225,Drama,Short,Blackeye,2009,3.0,tt1342833
226,Drama,Short,Alice,2009,1.0,tt1342823
227,Drama,Short,Angela's Body,2009,,tt1342827
228,Drama,Short,1:03AM,2009,4.0,tt1342816
229,Drama,Short,Sleet/Snow,2009,3.0,tt1342945
230,Drama,Short,Shattered Allegiance,2009,,tt1342939
231,Drama,Short,Rancid,2009,2.0,tt1342924
232,Drama,Short,Las manos de Abel,2009,3.0,tt1342895
233,Drama,Short,The Whirling Dervish,2009,,tt1342971
234,Drama,Short,Centuries Across the Table,2009,2.0,tt1342984
235,Drama,Short,Søpla,2009,1.0,tt1343748
236,Drama,Short,Afterday,2009,,tt1344364
237,Drama,Short,Futbolanthropology,2009,4.0,tt1344387
238,Drama,Short,Abbi cura di te,2009,,tt1344363
239,Drama,Short,When It's Dark,2009,,tt1344452
240,Drama,Short,Pavle the Boy,2009,3.0,tt1344421
241,Drama,Short,Eiko,2009,2.0,tt1344385
242,Drama,Short,Run to Me Run from Me,2009,1.0,tt1344431
243,Drama,Short,Isolation,2009,,tt1344402
244,Drama,Short,I Don't Sleep I Dream,2009,1.0,tt1344397
245,Drama,Short,Seven Breaths,2009,7.0,tt1344435
246,Drama,Short,Six Impossible Things,2009,2.0,tt1344436
247,Drama,Short,Skylight,2009,,tt1344437
248,Drama,Short,Painting Abby Long,2009,1.0,tt1344649
249,Drama,Short,Adam and Evan,2009,,tt1344685
250,Drama,Short,The Hands,2009,,tt1344841
251,Drama,Short,Cold,2009,1.0,tt1344817
252,Drama,Short,Daddy's Little Girl,2009,,tt1344821
253,Drama,Short,Destroyer,2009,,tt1344822
254,Drama,Short,Freight Train,2009,1.0,tt1344834
255,Drama,Short,Viko,2009,4.0,tt1344884
256,Drama,Short,Coffee,2009,,tt1344589
257,Drama,Short,Man.Woman.Blackbird.,2009,6.0,tt1344639
258,Drama,Short,Brothers Incorporated,2009,1.0,tt1344582
259,Drama,Short,Whales,2009,,tt1344681
260,Drama,Short,Music City,2009,,tt1344644
261,Drama,Short,Rememberance,2009,,tt1344656
262,Drama,Short,Voor een dubbeltje...,2009,5.0,tt1344792
263,Drama,Short,Sugar Park Tavern,2009,,tt1344780
264,Drama,Short,Trece años,2009,1.0,tt1344786
265,Drama,Short,November 31st,2009,,tt1344745
266,Drama,Short,Lessons in Self-Defense,2009,6.0,tt1344735
267,Drama,Short,The Birds and the Bees,2009,1.0,tt1344807
268,Drama,Short,You Were Great,2009,,tt1344888
269,Drama,Short,Burn,2009,2.0,tt1344584
270,Drama,Short,Open Air,2009,2.0,tt1344748
271,Drama,Short,Solace,2009,3.0,tt1344663
272,Drama,Short,Faith Alone,2009,,tt1344714
273,Drama,Short,Overseasoned,2009,6.0,tt1344751
274,Drama,Short,Mind the Gap,2009,4.0,tt1344741
275,Drama,Short,The Oak Tree,2009,,tt1344746
276,Drama,Short,Weathered,2009,,tt1344795
277,Drama,Short,Freud's Magic Powder,2009,2.0,tt1344835
278,Drama,Short,Hanging On,2009,3.0,tt1344842
279,Drama,Short,Megiddo,2009,,tt13460304
280,Drama,Short,The Cab Ride,2009,,tt1347021
281,Drama,Short,Nia's Melancholy,2009,,tt1346995
282,Drama,Short,The Dying Western,2009,4.0,tt1347034
283,Drama,Short,The Fenceline,2009,,tt1347037
284,Drama,Short,Dirty Faces,2009,,tt1347031
285,Drama,Short,Fort Brother,2009,,tt1347040
286,Drama,Short,Ditika tis Edem,2009,1.0,tt1347032
287,Drama,Short,A Work of Art,2009,4.0,tt1347109
288,Drama,Short,Lollipop Man,2009,3.0,tt1347056
289,Drama,Short,"Twoyoungmen, UT.",2009,,tt1347104
290,Drama,Short,"Love, Sadie",2009,3.0,tt1347057
291,Drama,Short,Paradise Lost,2009,,tt1347077
292,Drama,Short,Soul Dance,2009,4.0,tt1347092
293,Drama,Short,Midnight Passion,2009,4.0,tt1347061
294,Drama,Short,Toepuncher,2009,,tt1347102
295,Drama,Short,Nur ein Traum,2009,1.0,tt1347073
296,Drama,Short,L'artist della notte,2009,4.0,tt1347120
297,Drama,Short,Chains,2009,1.0,tt1347128
298,Drama,Short,Crawling Skin,2009,,tt1347132
299,Drama,Short,The Pitch,2009,1.0,tt1347181
300,Drama,Short,Gloria & Eric,2009,6.0,tt1347152
301,Drama,Short,Games,2009,2.0,tt1347150
302,Drama,Short,He Is Coerced to Look,2009,,tt1347155
303,Drama,Short,Siubhlachan,2009,6.0,tt1347192
304,Drama,Short,Sandra,2009,4.0,tt1347187
305,Drama,Short,The Sadie Special,2009,1.0,tt1347285
306,Drama,Short,Grande Drip,2009,3.0,tt1347338
307,Drama,Short,Alternative Ending,2009,,tt1347300
308,Drama,Short,Mr. Brooklyn,2009,8.0,tt1347274
309,Drama,Short,Strung Out,2009,,tt1347292
310,Drama,Short,Minus 1,2009,5.0,tt1347356
311,Drama,Short,Le derrière,2009,1.0,tt1347325
312,Drama,Short,The Meeting,2009,,tt1347272
313,Drama,Short,In the Land of Opportunity,2009,1.0,tt1347161
314,Drama,Short,Out of Nothing,2009,,tt1347179
315,Drama,Short,Father's Day,2009,,tt1347261
316,Drama,Short,Back in 10,2009,,tt1347255
317,Drama,Short,Habibi,2009,3.0,tt1347269
318,Drama,Short,Life in a Waiting Room,2009,,tt1347351
319,Drama,Short,Bohemibot,2009,,tt1347309
320,Drama,Short,Film Noir,2009,4.0,tt1347262
321,Drama,Short,Concerto,2009,1.0,tt1348306
322,Drama,Short,The Moment,2009,1.0,tt1350500
323,Drama,Short,Escorbo,2009,1.0,tt1350488
324,Drama,Short,La rupture,2009,1.0,tt1350505
325,Drama,Short,Mind the Gap,2009,6.0,tt1351190
326,Drama,Short,Crackle and Space,2009,3.0,tt1351119
327,Drama,Short,Hidden Lives,2009,,tt1351160
328,Drama,Short,Trafficking,2009,12.0,tt1351257
329,Drama,Short,Vanessa Rising,2009,2.0,tt1351264
330,Drama,Short,Oscuridad,2009,4.0,tt1351207
331,Drama,Short,120 Volts,2009,,tt1351085
332,Drama,Short,Pleasant Company,2009,,tt1351219
333,Drama,Short,Plantation,2009,2.0,tt1351218
334,Drama,Short,Eckford,2009,,tt1351134
335,Drama,Short,Antechrist,2009,,tt1351091
336,Drama,Short,When You're Ready to Say It,2009,4.0,tt1351272
337,Drama,Short,Undercurrent,2009,,tt1351262
338,Drama,Short,Cigarettes and Fresh Air,2009,2.0,tt1351112
339,Drama,Short,It's the Delivery,2009,,tt1351170
340,Drama,Short,Golden Seas,2009,,tt1351153
341,Drama,Short,All Americana,2009,3.0,tt1351088
342,Drama,Short,Elli and the Astronaut,2009,,tt1351138
343,Drama,Short,Elephants,2009,,tt1351136
344,Drama,Short,Dead Minds,2009,,tt1351125
345,Drama,Short,3 for Anna,2009,3.0,tt1351086
346,Drama,Short,June,2009,,tt1351174
347,Drama,Short,Bait,2009,7.0,tt1351679
348,Drama,Short,Eu e Crocodilos,2009,1.0,tt1351683
349,Drama,Short,Captain Coulier (Space Explorer),2009,5.0,tt1351682
350,Drama,Short,The Blindness of the Woods,2009,1.0,tt1351680
351,Drama,Short,Die Berliner Mauer,2009,2.0,tt1351629
352,Drama,Short,Ceremonies of the Horsemen,2009,1.0,tt1352360
353,Drama,Short,Yellow Light,2009,,tt1352820
354,Drama,Short,Travemünde Trelleborg,2009,1.0,tt1352407
355,Drama,Short,Storstad,2009,,tt1352796
356,Drama,Short,The Ballad of Betty & Joe,2009,1.0,tt1352663
357,Drama,Short,Like a Love Story,2009,3.0,tt1352732
358,Drama,Short,The Dirty Ones,2009,1.0,tt1352827
359,Drama,Short,Nowhere Kids,2009,3.0,tt1352756
360,Drama,Short,Liberty X,2009,,tt1352731
361,Drama,Short,Duty Calls,2009,,tt1352695
362,Drama,Short,What Is She to You?,2009,3.0,tt1352816
363,Drama,Short,Last Pictures,2009,1.0,tt1352729
364,Drama,Short,Forever,2009,3.0,tt1352703
365,Drama,Short,Knife Point,2009,1.0,tt1352836
366,Drama,Short,Copper on the Chopping Block,2009,1.0,tt1352826
367,Drama,Short,My New SweetHeart,2009,,tt1352749
368,Drama,Short,Sleepy-Time Time,2009,4.0,tt1352790
369,Drama,Short,"Nobody Knows You, Nobody Gives a Damn",2009,1.0,tt1352840
370,Drama,Short,Distances,2009,1.0,tt1353018
371,Drama,Short,Recordações de um Presídio de Meninos,2009,,tt13537314
372,Drama,Short,La fonte des neiges,2009,1.0,tt1354003
373,Drama,Short,Bedfellows,2009,,tt1354679
374,Drama,Short,Dixon's Girl,2009,2.0,tt1355190
375,Drama,Short,Kaïn,2009,2.0,tt1355206
376,Drama,Short,The Show Must Go On,2009,1.0,tt1355596
377,Drama,Short,The Choice,2009,,tt1355687
378,Drama,Short,The Vacuum,2009,,tt1355727
379,Drama,Short,My Friend,2009,6.0,tt1355710
380,Drama,Short,Skin and Bone,2009,6.0,tt1355719
381,Drama,Short,Five Miles Out,2009,2.0,tt1355564
382,Drama,Short,Another Day Another Life,2009,5.0,tt1355681
383,Drama,Short,Imitasyon,2009,7.0,tt1355702
384,Drama,Short,Jade,2009,2.0,tt1356534
385,Drama,Short,Infectious,2009,2.0,tt1356533
386,Drama,Short,Purple Sunrise,2009,1.0,tt1356287
387,Drama,Short,Abseitsleben,2009,6.0,tt1356988
388,Drama,Short,2 horas,2009,1.0,tt1356696
389,Drama,Short,Keeping Mercury,2009,1.0,tt1356962
390,Drama,Short,Don't Close Your Blinds!,2009,1.0,tt1357018
391,Drama,Short,Wig,2009,4.0,tt1357081
392,Drama,Short,What Happened to My Brother,2009,,tt1357224
393,Drama,Short,The Other Half,2009,,tt1357057
394,Drama,Short,The Prayed For,2009,,tt1357063
395,Drama,Short,Henry Is Dead,2009,,tt1357029
396,Drama,Short,Blackwater,2009,4.0,tt1357001
397,Drama,Short,Jenny,2009,12.0,tt1357156
398,Drama,Short,The Boarding Ticket,2009,,tt1357004
399,Drama,Short,A Black Lie,2009,3.0,tt1357000
400,Drama,Short,Cursed Opportunities,2009,,tt1357113
401,Drama,Short,Apprentice,2009,1.0,tt1356995
402,Drama,Short,Sacrifice,2009,8.0,tt1357067
403,Drama,Short,Sequoia Blue,2009,1.0,tt1357202
404,Drama,Short,Drop Gun,2009,4.0,tt1357123
405,Drama,Short,The Appointment,2009,1.0,tt1357347
406,Drama,Short,Parasite,2009,1.0,tt1356973
407,Drama,Short,Waiting Room,2009,,tt1356984
408,Drama,Short,Mesmerize Me,2009,,tt1357047
409,Drama,Short,My Elena,2009,,tt1357177
410,Drama,Short,Beautiful Exposure,2009,4.0,tt1357356
411,Drama,Short,Under a Spell,2009,,tt1357077
412,Drama,Short,The Picnic,2009,,tt1357190
413,Drama,Short,Weight,2009,,tt1357223
414,Drama,Short,Crosswalk,2009,,tt1357378
415,Drama,Short,Malagüena,2009,2.0,tt1357454
416,Drama,Short,Dog Stories,2009,1.0,tt1357386
417,Drama,Short,Last Breath,2009,4.0,tt1357444
418,Drama,Short,In Dreams,2009,2.0,tt1357428
419,Drama,Short,He's Having a Baby,2009,,tt1357416
420,Drama,Short,Trickster,2009,,tt1357539
421,Drama,Short,Skateboarding Saved My Life,2009,,tt1357515
422,Drama,Short,Day 21,2009,2.0,tt1358159
423,Drama,Short,Devils Minion,2009,,tt1358165
424,Drama,Short,Escaping Houdini,2009,,tt1358170
425,Drama,Short,Five Fingers,2009,3.0,tt1358176
426,Drama,Short,Middletown,2009,,tt1358221
427,Drama,Short,September 13th,2009,4.0,tt1358258
428,Drama,Short,Shame,2009,,tt1358259
429,Drama,Short,A Reason to Live,2009,1.0,tt1358243
430,Drama,Short,Do-Min-Go,2009,10.0,tt13581266
431,Drama,Short,Restless,2009,6.0,tt1358248
432,Drama,Short,Sara,2009,,tt1358252
433,Drama,Short,Here's Herbie,2009,4.0,tt1358191
434,Drama,Short,Pie & Coffee,2009,,tt1358240
435,Drama,Short,Discarded,2009,1.0,tt1358414
436,Drama,Short,In Stereo,2009,1.0,tt1358199
437,Drama,Short,Breaking Apart,2009,2.0,tt1358542
438,Drama,Short,Muffin,2009,6.0,tt1358604
439,Drama,Short,The Tolltaker,2009,,tt1358510
440,Drama,Short,Sewn Up,2009,5.0,tt1358490
441,Drama,Short,Night Shift,2009,3.0,tt1358607
442,Drama,Short,Ombres chinoises,2009,,tt1358612
443,Drama,Short,The Lesson,2009,4.0,tt1358447
444,Drama,Short,The Union,2009,1.0,tt1358518
445,Drama,Short,The Good Muslim,2009,,tt1358822
446,Drama,Short,Two Friends,2009,3.0,tt1358656
447,Drama,Short,The Debt Collector,2009,11.0,tt1358943
448,Drama,Short,Merging,2009,,tt1358455
449,Drama,Short,The End of Winter,2009,1.0,tt1358809
450,Drama,Short,See You Later,2009,,tt1358880
451,Drama,Short,Bacon and Eggs,2009,,tt1358783
452,Drama,Short,The Maid,2009,1.0,tt1358853
453,Drama,Short,Memorabilis,2009,1.0,tt1358857
454,Drama,Short,Guilty Pleasures,2009,,tt1358825
455,Drama,Short,One Night Stand,2009,,tt1358868
456,Drama,Short,Twilight,2009,,tt1358896
457,Drama,Short,A Test of Faith,2009,2.0,tt1359038
458,Drama,Short,The Second Woman,2009,,tt1359024
459,Drama,Short,Fishing,2009,2.0,tt1358956
460,Drama,Short,The Hero,2009,,tt1358827
461,Drama,Short,Inside,2009,10.0,tt1358971
462,Drama,Short,One Last Stand,2009,5.0,tt1359007
463,Drama,Short,La grande maladie,2009,1.0,tt1359578
464,Drama,Short,Le chant des sirènes,2009,,tt1359573
465,Drama,Short,Schautag,2009,1.0,tt1360216
466,Drama,Short,Kärleksbarn,2009,1.0,tt1360175
467,Drama,Short,Axis Mundi,2009,9.0,tt13609854
468,Drama,Short,Marion,2009,,tt1361628
469,Drama,Short,Autumn of Youth,2009,1.0,tt1361605
470,Drama,Short,Precious Moments,2009,,tt1361633
471,Drama,Short,Big Mistake,2009,,tt1361850
472,Drama,Short,One for Another,2009,,tt1361631
473,Drama,Short,Goodbye Bear,2009,,tt1361864
474,Drama,Short,Maggie's Heart,2009,2.0,tt1361627
475,Drama,Short,The Reunion of Amilia Marbleberry and Marcy Stills,2009,,tt1361634
476,Drama,Short,A Bakery Story,2009,2.0,tt1361849
477,Drama,Short,Committed,2009,,tt1361854
478,Drama,Short,Satisfaction,2009,,tt1361884
479,Drama,Short,Homeland Security: A Cinépoem,2009,1.0,tt1362085
480,Drama,Short,Jeannette,2009,,tt1362091
481,Drama,Short,Cross Currents,2009,,tt1362199
482,Drama,Short,American Soil,2009,1.0,tt1362162
483,Drama,Short,Empathy,2009,2.0,tt1362214
484,Drama,Short,Sunday at the Sinners',2009,,tt1362129
485,Drama,Short,Indigo,2009,4.0,tt1362236
486,Drama,Short,The One-Wayz,2009,,tt1362459
487,Drama,Short,Visitation,2009,,tt1362142
