,name,link
54,Durek Verett,"('Durek Verett', 'https://www.imdb.com/name/nm1798532/?ref_=tt_cl_t_9')"
55,Asha Menghrajani,"('Asha Menghrajani', 'https://www.imdb.com/name/nm1287965/?ref_=tt_cl_t_10')"
56,Michael Jai White,"('Michael Jai White', 'https://www.imdb.com/name/nm0925220/?ref_=tt_cl_t_1')"
57,Julian Sands,"('Julian Sands', 'https://www.imdb.com/name/nm0001696/?ref_=tt_cl_t_2')"
58,Eamonn Walker,"('Eamonn Walker', 'https://www.imdb.com/name/nm0907708/?ref_=tt_cl_t_3')"
59,Dante Basco,"('Dante Basco', 'https://www.imdb.com/name/nm0002364/?ref_=tt_cl_t_4')"
60,Nona Gaye,"('Nona Gaye', 'https://www.imdb.com/name/nm0310850/?ref_=tt_cl_t_5')"
61,Michelle Belegrin,"('Michelle Belegrin', 'https://www.imdb.com/name/nm1925747/?ref_=tt_cl_t_6')"
62,Bob Sapp,"('Bob Sapp', 'https://www.imdb.com/name/nm1452211/?ref_=tt_cl_t_7')"
63,Dick Anthony Williams,"('Dick Anthony Williams', 'https://www.imdb.com/name/nm0930454/?ref_=tt_cl_t_8')"
64,Francis Capra,"('Francis Capra', 'https://www.imdb.com/name/nm0135584/?ref_=tt_cl_t_9')"
65,Ron Yuan,"('Ron Yuan', 'https://www.imdb.com/name/nm0950620/?ref_=tt_cl_t_10')"
66,Brad Pitt,"('Brad Pitt', 'https://www.imdb.com/name/nm0000093/?ref_=tt_cl_t_1')"
67,Diane Kruger,"('Diane Kruger', 'https://www.imdb.com/name/nm1208167/?ref_=tt_cl_t_2')"
68,Eli Roth,"('Eli Roth', 'https://www.imdb.com/name/nm0744834/?ref_=tt_cl_t_3')"
69,Mélanie Laurent,"('Mélanie Laurent', 'https://www.imdb.com/name/nm0491259/?ref_=tt_cl_t_4')"
70,Christoph Waltz,"('Christoph Waltz', 'https://www.imdb.com/name/nm0910607/?ref_=tt_cl_t_5')"
71,Michael Fassbender,"('Michael Fassbender', 'https://www.imdb.com/name/nm1055413/?ref_=tt_cl_t_6')"
72,Daniel Brühl,"('Daniel Brühl', 'https://www.imdb.com/name/nm0117709/?ref_=tt_cl_t_7')"
73,Til Schweiger,"('Til Schweiger', 'https://www.imdb.com/name/nm0001709/?ref_=tt_cl_t_8')"
74,Gedeon Burkhard,"('Gedeon Burkhard', 'https://www.imdb.com/name/nm0121972/?ref_=tt_cl_t_9')"
75,Jacky Ido,"('Jacky Ido', 'https://www.imdb.com/name/nm1784515/?ref_=tt_cl_t_10')"
76,Cameron Diaz,"('Cameron Diaz', 'https://www.imdb.com/name/nm0000139/?ref_=tt_cl_t_1')"
77,James Marsden,"('James Marsden', 'https://www.imdb.com/name/nm0005188/?ref_=tt_cl_t_2')"
78,Frank Langella,"('Frank Langella', 'https://www.imdb.com/name/nm0001449/?ref_=tt_cl_t_3')"
79,James Rebhorn,"('James Rebhorn', 'https://www.imdb.com/name/nm0714310/?ref_=tt_cl_t_4')"
80,Holmes Osborne,"('Holmes Osborne', 'https://www.imdb.com/name/nm0651660/?ref_=tt_cl_t_5')"
81,Sam Oz Stone,"('Sam Oz Stone', 'https://www.imdb.com/name/nm1157948/?ref_=tt_cl_t_6')"
82,Gillian Jacobs,"('Gillian Jacobs', 'https://www.imdb.com/name/nm1843026/?ref_=tt_cl_t_7')"
83,Celia Weston,"('Celia Weston', 'https://www.imdb.com/name/nm0922927/?ref_=tt_cl_t_8')"
84,Deborah Rush,"('Deborah Rush', 'https://www.imdb.com/name/nm0750658/?ref_=tt_cl_t_9')"
85,Lisa K. Wyatt,"('Lisa K. Wyatt', 'https://www.imdb.com/name/nm0943566/?ref_=tt_cl_t_10')"
86,Sarah Michelle Gellar,"('Sarah Michelle Gellar', 'https://www.imdb.com/name/nm0001264/?ref_=tt_cl_t_1')"
87,Lee Pace,"('Lee Pace', 'https://www.imdb.com/name/nm1195855/?ref_=tt_cl_t_2')"
88,Michael Landes,"('Michael Landes', 'https://www.imdb.com/name/nm0484678/?ref_=tt_cl_t_3')"
89,Tuva Novotny,"('Tuva Novotny', 'https://www.imdb.com/name/nm0637259/?ref_=tt_cl_t_4')"
90,Chelah Horsdal,"('Chelah Horsdal', 'https://www.imdb.com/name/nm1319098/?ref_=tt_cl_t_5')"
91,Dhirendra,"('Dhirendra', 'https://www.imdb.com/name/nm0223570/?ref_=tt_cl_t_6')"
92,Paul Jarrett,"('Paul Jarrett', 'https://www.imdb.com/name/nm0418959/?ref_=tt_cl_t_7')"
93,William B. Davis,"('William B. Davis', 'https://www.imdb.com/name/nm0205657/?ref_=tt_cl_t_8')"
94,Veena Sood,"('Veena Sood', 'https://www.imdb.com/name/nm0814552/?ref_=tt_cl_t_9')"
95,Peter Bryant,"('Peter Bryant', 'https://www.imdb.com/name/nm0117206/?ref_=tt_cl_t_10')"
96,Maggie Grace,"('Maggie Grace', 'https://www.imdb.com/name/nm1192254/?ref_=tt_cl_t_1')"
97,Danny Dyer,"('Danny Dyer', 'https://www.imdb.com/name/nm0245705/?ref_=tt_cl_t_2')"
98,Matt King,"('Matt King', 'https://www.imdb.com/name/nm0455057/?ref_=tt_cl_t_3')"
99,Nathaniel Parker,"('Nathaniel Parker', 'https://www.imdb.com/name/nm0662511/?ref_=tt_cl_t_4')"
100,Bronagh Gallagher,"('Bronagh Gallagher', 'https://www.imdb.com/name/nm0302345/?ref_=tt_cl_t_5')"
101,Anthony Higgins,"('Anthony Higgins', 'https://www.imdb.com/name/nm0001891/?ref_=tt_cl_t_6')"
102,Steve Haze,"('Steve Haze', 'https://www.imdb.com/name/nm3071150/?ref_=tt_cl_t_7')"
103,Christian Patterson,"('Christian Patterson', 'https://www.imdb.com/name/nm2547200/?ref_=tt_cl_t_8')"
104,Dave Lynn,"('Dave Lynn', 'https://www.imdb.com/name/nm0528650/?ref_=tt_cl_t_9')"
105,Gary Beadle,"('Gary Beadle', 'https://www.imdb.com/name/nm0063542/?ref_=tt_cl_t_10')"
106,Freddie Highmore,"('Freddie Highmore', 'https://www.imdb.com/name/nm0383603/?ref_=tt_cl_t_1')"
107,Nicolas Cage,"('Nicolas Cage', 'https://www.imdb.com/name/nm0000115/?ref_=tt_cl_t_2')"
108,Kristen Bell,"('Kristen Bell', 'https://www.imdb.com/name/nm0068338/?ref_=tt_cl_t_3')"
109,Charlize Theron,"('Charlize Theron', 'https://www.imdb.com/name/nm0000234/?ref_=tt_cl_t_4')"
110,Ryan Stiles,"('Ryan Stiles', 'https://www.imdb.com/name/nm0830198/?ref_=tt_cl_t_5')"
111,Eugene Levy,"('Eugene Levy', 'https://www.imdb.com/name/nm0506405/?ref_=tt_cl_t_6')"
112,Donald Sutherland,"('Donald Sutherland', 'https://www.imdb.com/name/nm0000661/?ref_=tt_cl_t_7')"
113,Bill Nighy,"('Bill Nighy', 'https://www.imdb.com/name/nm0631490/?ref_=tt_cl_t_8')"
114,David Alan Grier,"('David Alan Grier', 'https://www.imdb.com/name/nm0004979/?ref_=tt_cl_t_9')"
115,Alan Tudyk,"('Alan Tudyk', 'https://www.imdb.com/name/nm0876138/?ref_=tt_cl_t_10')"
116,Rachel Weisz,"('Rachel Weisz', 'https://www.imdb.com/name/nm0001838/?ref_=tt_cl_t_1')"
117,Mark Wahlberg,"('Mark Wahlberg', 'https://www.imdb.com/name/nm0000242/?ref_=tt_cl_t_2')"
118,Saoirse Ronan,"('Saoirse Ronan', 'https://www.imdb.com/name/nm1519680/?ref_=tt_cl_t_3')"
119,Susan Sarandon,"('Susan Sarandon', 'https://www.imdb.com/name/nm0000215/?ref_=tt_cl_t_4')"
120,Stanley Tucci,"('Stanley Tucci', 'https://www.imdb.com/name/nm0001804/?ref_=tt_cl_t_5')"
121,Michael Imperioli,"('Michael Imperioli', 'https://www.imdb.com/name/nm0408284/?ref_=tt_cl_t_6')"
122,Rose McIver,"('Rose McIver', 'https://www.imdb.com/name/nm0570860/?ref_=tt_cl_t_7')"
123,Christian Ashdale,"('Christian Ashdale', 'https://www.imdb.com/name/nm2852584/?ref_=tt_cl_t_8')"
