,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
25,"4,9",['Michèle Rosier'],['Michèle Rosier'],"Four women, all journalists for the French daily ""Libération"", decide to have, over the course of a week-end, an experience with a male prostitute.",1h 23min,Ah! La libido
26,--,['Deren Abram'],DESCONOCIDO,,--,Hollywood Moments
27,--,['Paul David Benedict'],"['Christopher Cook', 'Ben Lepley', 'Phillip McLean']","*Alternate Music Edit A comedic drama about what comes after the 'coming-of-age' movie. Gary Fischer is a middling freelance writer living in an average small town. While his two best friends appear to be happy with their daily routine of coffee shop discussions, afternoon croquet, and late-night card games, Gary is increasingly discontent.",1h,The Yin of Gary Fischer's Life
28,"5,5",['Gabriel Julien-Laferrière'],DESCONOCIDO,Samy moves from the underdeveloped crime-ridden French suburb to the riches of Neuilly.,1h 30min,Neuilly sa mère!
29,"5,6",['Norton Virgien'],DESCONOCIDO,George embarks on a cross-country trip to reunite a baby elephant with her family.,1h 20min,Curious George 2: Follow That Monkey!
30,"2,5","['Meccartin', 'Raffi']","['Meccartin', 'Raffi']",Machu (Mammootty) was cheated by an Anglo-Indian (Nedumudi Venu) by promising him to marry their daughter. They escapes to Singapore and the plot forms when Machu also flies to Singapore to find out them.,--,Love in Singapore
31,--,['Scott Reardon'],['Scott Reardon'],,1h 20min,"Our Pet, Ophelia"
32,"5,6",['Lucien Jean-Baptiste'],"['Lucien Jean-Baptiste', 'Marie-Castille Mention-Schaar']","Jean-Gabriel, married and father of three, lives odd jobs and spends his time at the local PMU bar. One day, to please his daughter, he quickly promises the whole family to take them on a ski vacation.",1h 30min,La première étoile
33,"7,9",['Brian Fairbanks'],['Brian Fairbanks'],"A lesbian hires a straight man to be her son's part-time nanny, over the protestations of her girlfriend.",1h 38min,After You're Gone
34,"4,7",['Logan McMillan'],['Logan McMillan'],"A contagious virus is turning everyone into zombies, and the only hope for survival lies in the hands of three couch potatoes.",1h 28min,Last of the Living
35,"7,0",['Marco Antoniazzi'],"['Marco Antoniazzi', 'Gregor Stadlober']",,1h 25min,Kleine Fische
36,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt1352712
37,"3,1",['Ali Ghaffari'],DESCONOCIDO,"A young man named Behrouz Nikbakht lives with his mother. He is in love with his cousin Setareh, but Setareh's father intends to marry his daughter to his nephew Ehsan. Behrooz goes to his father's grave to grieve with him. Meanwhile, the police forces arrest a professional killer in Behesht Zahra, but the killer's mobile phone accidentally falls into his hands. The c... Leer todo",1h 25min,Cheragh Ghermez
38,"7,5","['Andy Bichlbaum', 'Mike Bonanno', 'Kurt Engfehr']",DESCONOCIDO,"Troublemaking duo Andy Bichlbaum and Mike Bonanno, posing as their industrious alter-egos, expose the people profiting from Hurricane Katrina, the faces behind the environmental disaster in Bhopal, and other shocking events.",1h 27min,The Yes Men Fix the World
39,"4,4",['Charles Nemes'],DESCONOCIDO,Employees of the Geugène Electro Stim company and their manager come to Paris for a corporate seminar.,1h 35min,Le séminaire Caméra Café
40,"1,4",['Barna Kabay'],['Gergely Litkai'],"A man pretends to be a manager and helps veteran rockstar god, Johnny G. and his ex-band to reunite once more.",--,Szuperbojz
41,"7,1",['Glen Goei'],['Ken Kwek'],The Blue Mansion is a quirky murder mystery about a wealthy Asian tycoon who dies suddenly under mysterious circumstances. He returns as a ghost to try to uncover the secret of his death with the help of his family and the police.,1h 40min,The Blue Mansion
42,"4,4",['Yoshimitsu Morita'],['Yoshimitsu Morita'],A young woman goes back to her home town and gives bundles of cash to her classmates.,1h 50min,Watashi dasu wa
43,"6,3",['Mariano De Rosa'],['Mariano De Rosa'],"Juan is a family man; he feels at ease with his life and his work, and with his wife and two children. Everything seems to indicate that the summer holidays in Aguas Verdes are going to be a pleasant time. An unexpected element, however, triggers Juan's mental imbalance.",1h 30min,Aguas verdes
44,--,['Ingeborg C. Humphrey'],['Ingeborg C. Humphrey'],When a guy moves from Los Angeles to New York for business. His mind takes him on a adventure that will get him in trouble.,--,Words Unspoken
45,"5,7",['Simon Szabó'],['Simon Szabó'],"I make mine. You make yours. He makes his. Everybody makes their own. Ervin Szabó: Paper Planes Seven stories independent from each other. Meaningful and eloquent shorts which can be viewed separately, just like the videos on the internet. Fiction, in a documentary style. About grown-up children, and young adults, who fight the everyday battle, trying to survive and ... Leer todo",1h 34min,Papírrepülôk
46,"4,7",['Emma Luchini'],"['Vanessa David', 'Emma Luchini']",,1h 25min,Sweet Valentine
47,"2,9",['Mehdi Borghei'],DESCONOCIDO,"Pooneh, played by Sara Khoeiniha, and Farhad, played by Amir Jafari, have been separated for about three years after 15 years of living together. Pooneh's acquaintance with a young man becomes an incentive for Farhad to oust his love rival.",--,Laj o lajbazi
48,"4,0",['Rakesh Sarang'],DESCONOCIDO,"Govinda, a truck driver and billionaire, helps Ajay get his love Sia, the twin sister of Govinda's wife Ria. Govinda, unaware about Ajay's love interest ends up planning Ajay's meeting with himself leading to a chain of incidents.",--,Horn 'OK' Pleassss
49,"5,5",['Vilma Zenelaj'],"['Greta Zenelaj', 'Vilma Zenelaj']",Claudia invites a sheik for a session.,1h 11min,What Do I Do Now?
50,"6,2",['Alain Guiraudie'],"['Alain Guiraudie', 'Laurent Lunetta', 'Frédérique Moreau']","Justo cuando Armand se estaba cansando de la vida, se enamora de una joven llamada Curlie, con ella huye de sus padres y la policía.",1h 33min,Le roi de l'évasion
51,"7,2",['Dan Brennan'],DESCONOCIDO,"Your wedding day can be the most stressful day of your life. The Video Guys have seen it all, from cheating grooms to sexy brides. They know how to be discreet and how to deal with any problems thrown at them. Now they face their greatest challenge, to shoot one of their ex-wife's wedding.",1h 35min,The Video Guys
52,"6,1",['Péter Gárdos'],"['Zsuzsa Bíró', 'Péter Gárdos', 'Dezsö Kosztolányi']","It is 1912 and war looms on the horizon. The school year begins in a boarding school run by priests. Zoltán's father, is one of the masters and struggling with questions that challenge their faith, while waiting for news of his brother, Titanic passenger, and is a particularly problematic group of new students, many of whom have been fond increasingly heavy play each ... Leer todo",1h 33min,Tréfa
53,"7,3",['Cory McAbee'],['Cory McAbee'],"A dangerous mission reunites STINGRAY SAM with his long lost accomplice, The Quasar Kid. Follow these two space convicts as they earn their freedom in exchange for the rescue of a young girl who is being held captive by the genetically designed figurehead of a very wealthy planet.",1h 1min,Stingray Sam
54,"4,9","['Gilbert Chan', 'Jack Neo']","['Boris Boo', 'Gilbert Chan', 'Jack Neo']","A movie that revolves around three main protagonists - 52 year old Tan Bo Seng, 17 year old Benny his teenage son and 36 year old Jeremy, Bo Seng's 'adopted' brother - and their accidental journey in seeking and keeping love and happiness. Bo Seng leads a routine life. Attempts to revive the passion with his wife Jia Li cannot improve their stale love life. Jeremy liv... Leer todo",1h 53min,Xing fu wan sui
55,"4,3",['Charles Band'],DESCONOCIDO,"Stoners Larnell, Brett, and Bachman all suffer from severe delayed side effects from smoking grass from evil bong Ebee. The trio embark on a journey to the jungle in South America along with their nerdy straight-laced buddy Allistair and delivery guy Rabbit to find a cure for their various ailments. During their expedition the group encounters a bunch of beautiful wom... Leer todo",1h 20min,Evil Bong 2: King Bong
56,"7,9",['Adam Vargas'],['Adam Vargas'],"Jackson Blackman just can't get a break. He gets no respect from his roommate or friends, he plays out to empty coffee houses and scrubs money off his grandmother. Just when he thought things couldn't get any worse his car dies, but is it a blessing in disguise? After roommate Kato drives him to a music shop Jackson is mistaken for Jack Black. Kato convinces him that ... Leer todo",1h 24min,The Black Facade
57,"6,0",['Cassandra Massardi'],['Cassandra Massardi'],,1h 32min,Kawin Laris
