,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
33,"6,7",['Scott Cooper'],"['Brad Ingelsby', 'Scott Cooper']","Cuando Rodney Baze desaparece misteriosamente y las fuerzas de seguridad no actúan lo suficientemente rápido, su hermano mayor, Russell, toma el asunto en sus propias manos para encontrar justicia.",1h 56min,La ley del más fuerte
34,"6,4",['Gore Verbinski'],DESCONOCIDO,"Tonto, guerrero nativo americano, cuenta la historia de como John Reid pasó de ser un hombre de la ley a ser un hombre de justicia.",2h 30min,El llanero solitario
35,"6,7",['Mikael Håfström'],DESCONOCIDO,"Cuando un experto en seguridad se encuentra encarcelado en la prisión más secreta y segura del mundo, tiene que utilizar sus habilidades para escapar con ayuda del interior.",1h 55min,Plan de escape
36,"6,1",['Allen Hughes'],['Brian Tucker'],"En una ciudad plagada de injusticias, el expolicía Billy Taggart busca la redención y la venganza tras ser traicionado por su figura más poderosa: el alcalde Nicholas Hostetler.",1h 49min,La trama (Broken City)
37,"4,8","['Banu Kaptanogullari', 'Ergun Mercan']",DESCONOCIDO,Istanbul Police Headquarters Homicide Department Chief Deputy Officer Tahsin and his team will mobilize to solve a child murder. The case shifts with the death of Tahsin's daughter. The hostility between Usta and Tahsin will direct the team to unexpected results.,1h 30min,Görev
38,--,DESCONOCIDO,DESCONOCIDO,,--,Celtic vs Barcelona
39,--,DESCONOCIDO,DESCONOCIDO,,--,Arsenal vs Napoli
40,--,DESCONOCIDO,['Raaj Suriyan'],"Gejga (Raaj suriyan) is the centre of attraction in the movie. He takes on Doddegowda (Avinash) and Reddappa (Nataraj) who terrorize the villagers with goondaism. Gejga was rendered an orphan by village goons who killed his parents. Doddegowda, a womaniser, always aspired to spend a night with village girls. Once when he asks Gejga to bring a girl called Putti to spen... Leer todo",--,Jataayu
41,--,['Pranabjyot Bharali'],['Ravi Sharma'],"The self righteous Abhay loves to fight for justice and stands up for what is right. What happens when he comes across an innocent girl who lost her parents in accident, conspired by uncle? Will he fight for her right? Will he be her savior?",--,Ranangan
42,--,['Dominic Sawicki'],['Dominic Sawicki'],,1h 25min,Parazect: Forthcoming
43,"6,7",['Baltasar Kormákur'],"['Blake Masters', 'Steven Grant']",Un agente de la DEA y un oficial de la inteligencia naval consiguen robarle 43 millones de dólares a la mafia. El problema consiste en que en realidad ese dinero es de la CIA.,1h 49min,2 Guns
44,--,['Naoki Sugabayashi'],DESCONOCIDO,,--,NJPW Road to Tokyo Dome
45,--,DESCONOCIDO,DESCONOCIDO,,--,Newcastle United vs Sunderland
