,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
0,Arun Narayan,Desconocido,"['Puthan Panam', 'Chaver', 'Thalavan', 'Apposthalan']","['Actor', 'Producer', 'Production Designer']",Desconocido,--
1,Urmila Unni,1962,"['Koottukar', 'Sargam', 'Nadiya Kollappetta Rathri', 'Dubai']",['Actress'],Desconocido,--
2,Mirto Alikaki,Desconocido,[],[],Desconocido,--
3,Makis Papadimitratos,Desconocido,"['Kleftes', 'Sex Shop TV', 'Tsiou...', 'The Invisible Hand of Adam Smith']","['Actor', 'Director', 'Writer']",Desconocido,--
4,Eleftheria Gerofoka,Desconocido,"['The Deposit', 'Kleftes', 'Kantina', 'Call Mom!']","['Actress', 'Additional Crew']",Desconocido,--
5,Vangelis Besis,Desconocido,"['Into the Shadow of the Black Sun', 'Kleftes', 'Vault of Ideas', 'Timor Mortis']","['Actor', 'Cinematographer', 'Second Unit Director or Assistant Director']",Desconocido,--
6,Giorgos Divanis,Desconocido,"['Siopilos dromos', 'Kleftes']",['Actor'],Desconocido,--
7,Vasilis Giakoumaros,Desconocido,"['Mavra mesanyhta', 'Logo timis: 20 hronia meta', 'Ase mas re mama', 'Kleftes']",['Actor'],Desconocido,--
8,Dimitris Kapetanakos,Desconocido,"['Erotas me diafora', 'Kane oti koimasai', 'Blue Queen', 'Tetarti 04:45']","['Actor', 'Writer']",Desconocido,--
9,Dimitris Koralis,Desconocido,[],[],Desconocido,--
10,Katja Bienert,1966,"['Immer Vollmond', 'Diamonds of Kilimandjaro', 'Rise of the Darkelves', 'Lilian (la virgen pervertida)']","['Actress', 'Director', 'Writer']",Desconocido,--
11,Jaymes Butler,1,"['Snowden', 'Resident Evil', 'Big Game', 'Southland']","['Actor', 'Stunts', 'Producer']",3 wins & 1 nomination,--
12,Ali Eyertas,Desconocido,"['Pure Fear', 'Backstage']","['Actor', 'Producer']",Desconocido,--
13,Karim Ibn Fadlan,Desconocido,['Pure Fear'],['Actor'],Desconocido,--
14,Chris Gutjahr,Desconocido,"['Pure Fear', 'Anwälte der Toten', 'Backstage', 'Firnis']",['Actor'],Desconocido,--
15,Navina Heyne,Desconocido,"['Pure Fear', 'Dracula Das Musical', 'Musical Showstar 2008', 'Die Abendschau']",['Actress'],Desconocido,--
16,Matthias Hues,1959,"['Puppet Master: The Littlest Reich', 'Big Top Pee-wee', 'No Retreat, No Surrender 2', 'Dark Angel']","['Actor', 'Writer']",2 wins & 1 nomination,--
17,Thomas Jakob,Desconocido,"['Pure Fear', 'Backstage', 'Schattenpandemie', 'From the Grave']","['Actor', 'Editor', 'Producer']",Desconocido,--
18,Sabrina Katern,Desconocido,['Pure Fear'],['Actress'],Desconocido,--
19,Mascha Müller,1984,"['Verbotene Liebe', 'Pure Fear', 'Fluch des Falken', 'Lotta in Love']",['Actress'],Desconocido,--
20,Daniel Albiac,19,"['Sonic Generations', 'Star Fox 64 3D', 'Star Fox Zero', 'El cor de la ciutat']",['Actor'],Desconocido,--
