,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
0,Izabella Scorupco,1970,"['GoldenEye', 'Reign of Fire', 'Vertical Limit', 'Exorcist: The Beginning']",['Actress'],Desconocido,--
1,Loretta Devine,1949,"['Crash', 'Boston Public', 'Urban Legend', ""Grey's Anatomy""]","['Actress', 'Producer', 'Soundtrack']",25 wins & 37 nominations total,--
2,Matthew Macfadyen,1974,"['Succession', 'Death at a Funeral', 'The Three Musketeers', 'Pride & Prejudice']","['Actor', 'Producer', 'Soundtrack']",21 wins & 26 nominations total,--
3,Ewen Bremner,1972,"['T2 Trainspotting', 'Trainspotting', 'Wonder Woman', 'Alien vs. Predator']","['Actor', 'Producer', 'Composer']",3 wins & 3 nominations,--
4,Keeley Hawes,1976,"['Bodyguard', 'Line of Duty', 'Honour', ""It's a Sin""]","['Actress', 'Producer', 'Writer']",2 wins & 17 nominations total,--
5,Andy Nyman,1966,"['Judy', 'Ghost Stories', 'Death at a Funeral', 'The Commuter']","['Actor', 'Writer', 'Director']",2 wins & 2 nominations total,--
6,Kris Marshall,1973,"['Love Actually', 'Death at a Funeral', 'The Merchant of Venice', 'The Four Feathers']","['Actor', 'Producer']",2 wins & 1 nomination,--
7,Lew Alexander,Desconocido,"['Living Hell', 'Undead or Alive: A Zombedy', 'In Plain Sight', 'Into the West']",['Actor'],Desconocido,--
8,Gino Crognale,Desconocido,"['Sin City', 'The Walking Dead', 'I Am Number Four', 'Unbreakable']","['Make-Up Department', 'Special Effects', 'Additional Crew']",2 wins & 6 nominations total,--
9,James Denton,1963,"['Desperate Housewives', 'Face/Off', 'All-Star Superman', 'The Pretender']","['Actor', 'Producer', 'Writer']",7 wins & 4 nominations,--
10,Chris Kattan,1970,"['A Night at the Roxbury', 'House on Haunted Hill', 'Undercover Brother', 'The Ridiculous 6']","['Actor', 'Writer', 'Producer']",1 win & 3 nominations,--
11,Cristin Michele,1983,"['Extreme Movie', '2001 Maniacs', 'Night of the Living Dead 3D', 'Hotel California']","['Actress', 'Soundtrack']",Desconocido,--
12,Christopher Allen Nelson,Desconocido,"['Kill Bill: Vol. 2', 'Suicide Squad', 'Halloween Kills', 'Bright']","['Make-Up Department', 'Actor', 'Special Effects']",5 wins & 14 nominations total,Won 1 Oscar
13,Fabrice Luchini,1951,"['In the House', 'Molière', 'Beaumarchais the Scoundrel', 'Bicycling with Molière']","['Actor', 'Writer', 'Producer']",5 wins & 16 nominations,--
14,Laura Morante,1956,"['Cherry on the Cake', ""The Son's Room"", 'Tragedy of a Ridiculous Man', 'Private Fears in Public Places']","['Actress', 'Writer', 'Director']",19 wins & 19 nominations,--
15,Fanny Valette,1986,"['La petite Jérusalem', 'Just a Fling', 'High Lane', ""Murphy's Law""]","['Actress', 'Soundtrack']",4 wins & 1 nomination,--
16,Gonzague Montuel,Desconocido,"['Molière', 'The Avignon Prophecy', 'Vampyre Compendium', 'Cabaret']","['Actor', 'Soundtrack']",Desconocido,--
17,Gilian Petrovski,Desconocido,"['Molière', 'Astérix and Obélix: God Save Britannia', ""Les petits meurtres d'Agatha Christie"", 'Trois chambres']",['Actor'],Desconocido,--
18,Sophie-Charlotte Husson,1971,"['Juste un regard', 'Molière', 'Mon Ombre', 'Ethel']","['Actress', 'Producer', 'Writer']",Desconocido,--
19,Jesús Noguero,1965,"['Shevernatze un ángel corrupto', 'Intacto', 'Un asunto conyugal', 'Mía es la venganza']",['Actor'],1 win,--
20,José Navar,1965,"['Centro médico', 'Hospital Central', 'Sin tetas no hay paraíso', 'Jaguar']",['Actor'],Desconocido,--
21,Paul Lostau,Desconocido,"['Hospital Central', 'The Pretenders', 'El comisario', 'El inquilino']",['Actor'],Desconocido,--
22,Albert Roca,1972,"['Al salir de clase', 'Sicario', 'El cor de la ciutat', 'Los encantados']","['Actor', 'Director', 'Writer']",Desconocido,--
23,Romina Ricci,1978,"['¿De quién es el portaligas?', 'Vidas robadas', 'Perfidia', 'Farsantes']","['Actress', 'Director', 'Soundtrack']",1 nomination,--
24,Leonora Balcarce,1978,"['Love (Part One)', 'Los suicidas', 'Cordero de Dios', 'The Santiso Report']","['Actress', 'Soundtrack']",1 win & 2 nominations,--
25,Gonzalo Aloras,Desconocido,[],[],Desconocido,--
26,Verónica Llinás,1960,"['La mujer de los perros', 'Heroic Losers', 'Cerro Bayo', 'Glue']","['Actress', 'Director', 'Writer']",6 wins & 10 nominations,--
27,Cristina Banegas,1948,"['Mujeres asesinas', 'Clandestine Childhood', 'The Two Popes', 'Tratame bien']","['Actress', 'Director', 'Writer']",7 wins & 3 nominations,--
28,Fabiana Cantilo,1959,"['Graduates', 'El refugio (de los sueños)', 'Lagrimas de fuego', 'Hypersomnia']","['Actress', 'Music Department', 'Writer']",Desconocido,--
29,Lía Crucet,Desconocido,"['El gauchito Gil: La sangre inocente', '¿De quién es el portaligas?', 'Los nuevos y clásicos bloopers', 'Historias Breves 1']","['Actress', 'Composer', 'Soundtrack']",Desconocido,--
