,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
28,"5,0",DESCONOCIDO,"['Conor Lastowka', 'Michael J. Nelson', 'Sean Thomason']","Puny Steve Rogers becomes a hero (?) in this Marvel origins movie, while the guys at RiffTrax snicker in the audio track.",--,RiffTrax: Captain America: The First Avenger
29,"3,5",['Hari Narayan'],['Baburaj'],,--,Naughty Professor
30,"5,9",['Timo Vuorensola'],DESCONOCIDO,"Los nazis crearon una base secreta en el lado oscuro de la Luna en 1945, donde se esconden y planean volver al poder en 2018.",1h 33min,Iron Sky
31,"7,1",['Alonso Mayo'],['Alonso Mayo'],"Sheltered by his grandparents, Luke, a young man with autism, is thrust into a world that doesn't expect anything from him. But Luke is on a quest for a job and true love. And he isn't taking no for an answer.",1h 36min,The Story of Luke
32,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt1045658
33,"6,9",['Paul Andrew Williams'],['Paul Andrew Williams'],"El jubilado gruñón Arthur honra la pasión de su esposa fallecida al unirse al coro al que ella solía pertenecer, un proceso que lo ayuda a construir puentes con su hijo separado, James.",1h 30min,Una canción para Marion
34,"6,0",['Andy Fickman'],"['Lisa Addario', 'Joe Syracuse']","Artie Decker y su esposa Diane, aceptan hacer de canguros de sus tres nietos. Pero cuando los problemas del siglo XXI entran en colisión con los métodos de la vieja escuela de Artie y Diane, lo que une a la familia es aprender a transigir.",1h 45min,Abuelos al poder
35,"6,1",['Beni Atoori'],['Beni Atoori'],"Three sisters, a Madame, Guru and Poker Junky, desperately trying not to fall victim to their own cons, are joined by Raphael who is hell bent that the whole world revolves around his phallus, in a hilarious search for true contentment. A fun filled spoof on happiness, the Movie will shock and awe.",1h 20min,Chasing Happiness
36,--,"['Bo-Han Chiu', 'Arthur Tsou']","['Bo-Han Chiu', 'Arthur Tsou']","Wei plays an aspiring singer who is at a crossroads, wondering whether to pursue his career as a musician. At this difficult time, a giant bird enters his life, giving him a new perspective in assessing his future. This fantastic creature, the nature of whose existence we are free to speculate about, builds a strong relationship with the central character, but begins ... Leer todo",1h 24min,The Bird Who Saved the World
37,"4,5",['T. Lee Beideck'],['T. Lee Beideck'],A group of high school kids enjoy many adventures throughout their formative tenth grade year.,1h 38min,Sophomore
