,name,link
0,Helen Chan,"('Helen Chan', 'https://www.imdb.com/name/nm5010810/?ref_=tt_cl_t_1')"
1,Olivia Cheng,"('Olivia Cheng', 'https://www.imdb.com/name/nm0155602/?ref_=tt_cl_t_2')"
2,Samuel Hui,"('Samuel Hui', 'https://www.imdb.com/name/nm0401207/?ref_=tt_cl_t_3')"
3,Dean Shek,"('Dean Shek', 'https://www.imdb.com/name/nm0790925/?ref_=tt_cl_t_4')"
4,Jenny Tseng,"('Jenny Tseng', 'https://www.imdb.com/name/nm1070492/?ref_=tt_cl_t_5')"
5,Melvin Wong,"('Melvin Wong', 'https://www.imdb.com/name/nm0939251/?ref_=tt_cl_t_6')"
6,Luis Alarcón,"('Luis Alarcón', 'https://www.imdb.com/name/nm0016013/?ref_=tt_cl_t_1')"
7,Patricia Rivadeneira,"('Patricia Rivadeneira', 'https://www.imdb.com/name/nm0728971/?ref_=tt_cl_t_2')"
8,Francisco Reyes,"('Francisco Reyes', 'https://www.imdb.com/name/nm0721280/?ref_=tt_cl_t_3')"
9,Consuelo Castillo,"('Consuelo Castillo', 'https://www.imdb.com/name/nm1415193/?ref_=tt_cl_t_4')"
10,Roberto Poblete,"('Roberto Poblete', 'https://www.imdb.com/name/nm0687825/?ref_=tt_cl_t_5')"
11,Liliana García,"('Liliana García', 'https://www.imdb.com/name/nm0306279/?ref_=tt_cl_t_6')"
12,Mauricio Pesutic,"('Mauricio Pesutic', 'https://www.imdb.com/name/nm0676125/?ref_=tt_cl_t_7')"
13,Leticia Garrido,"('Leticia Garrido', 'https://www.imdb.com/name/nm0308312/?ref_=tt_cl_t_8')"
14,Marcial Edwards,"('Marcial Edwards', 'https://www.imdb.com/name/nm0250185/?ref_=tt_cl_t_9')"
15,Fernando Bordeu,"('Fernando Bordeu', 'https://www.imdb.com/name/nm0096201/?ref_=tt_cl_t_10')"
16,Anthony Harrison,"('Anthony Harrison', 'https://www.imdb.com/name/nm0365480/?ref_=tt_cl_t_1')"
17,C. Ernst Harth,"('C. Ernst Harth', 'https://www.imdb.com/name/nm0003210/?ref_=tt_cl_t_2')"
18,Ellie Harvie,"('Ellie Harvie', 'https://www.imdb.com/name/nm0367762/?ref_=tt_cl_t_3')"
19,Chilton Crane,"('Chilton Crane', 'https://www.imdb.com/name/nm0186322/?ref_=tt_cl_t_4')"
20,Ron Chartier,"('Ron Chartier', 'https://www.imdb.com/name/nm0153581/?ref_=tt_cl_t_5')"
21,Dmitry Chepovetsky,"('Dmitry Chepovetsky', 'https://www.imdb.com/name/nm0155726/?ref_=tt_cl_t_6')"
22,Bruce Dawson,"('Bruce Dawson', 'https://www.imdb.com/name/nm0206079/?ref_=tt_cl_t_7')"
23,Rheta Hutton,"('Rheta Hutton', 'https://www.imdb.com/name/nm0404661/?ref_=tt_cl_t_8')"
24,Ivan Krapic,"('Ivan Krapic', 'https://www.imdb.com/name/nm0469857/?ref_=tt_cl_t_9')"
25,Johannah Newmarch,"('Johannah Newmarch', 'https://www.imdb.com/name/nm0628329/?ref_=tt_cl_t_10')"
26,John Goodman,"('John Goodman', 'https://www.imdb.com/name/nm0000422/?ref_=tt_cl_t_1')"
