,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
44,3.9,['Lena Koppel'],"['Lena Koppel', 'Otto Runmark']","A middle-aged couple decide to go to a councilor to fix their relationship, but it turns out the councilor has other intentions entirely for their appointment.",1h 22m,Krocken
45,6.4,['Júlio Alves'],DESCONOCIDO,"""Sacavém"" is a journey through Pedro Costa's films and focuses on his work on ""Casa De Lava"", ""Ossos"", ""In Vanda's Room"", ""Colossal Youth"" and ""Horse Money"". Built on the visual and sound landscape of Pedro Costa's films and accompanied by his owns reflections on the matter, ""Sa-cavém"" serves the audience as a window on how Costa's cinema is sensed and conceived.",1h 5m,Sacavém
46,7.1,['Nino Zhvania'],DESCONOCIDO,"Three middle aged friends, a criminal, a painter, and an actor with badly arranged lives reunited to hit the road in a search for new assemblies, joys, and sorrows.",1h 27m,Parade
47,4.5,['Antonio Chavez'],DESCONOCIDO,"The man, the myth, the legend. Get to know Phillip Burnell a.k.a. DSP Gaming as you have never before in this bio-pic and follow his journey from fan-favorite YouTube gamer to the epitome of cancer of the gaming community.",--,DSPGaming: The Movie
48,--,['Yang Zhe'],DESCONOCIDO,,--,Han Guang
49,6.7,['Paolo Sorrentino'],DESCONOCIDO,"An escort-service owner uses his girls to get close to politician/PM and media mogul Silvio Berlusconi, but in 2006 he's preoccupied with his shaky marriage and losing an election.",2h 31m,Loro
50,--,['Steve Canning'],DESCONOCIDO,A story that follows two men who were sexually abused and their road to help and salvation.,1h 20m,The Prison of Silence
51,8.4,['Emil Guliev'],"['Emil Guliev', 'Parviz Hasanov']",Tima's friends backbite on him after he leaves early from their friend Ibish's birthday party. Tima is going to experience a series of unexpected events.,1h 12m,Ikinci pärdä
52,6.3,DESCONOCIDO,"['Kevin Derrick Gentry', 'Ashei Khan', 'Quinell May']",Everything is good when you're making money but what happens when illegal gains turn into prison time? Follow an ex-felon as he fights temptation after temptation in an attempt to become successful in an environment set up for him to fail.,1h 36m,The Come Up
53,--,DESCONOCIDO,DESCONOCIDO,"Five years after Diane leaves, Jack's depression reaches its' breaking point. With nothing to lose, Jack sets out on a cross-country journey of forgiveness, a huge ego, and a cast of wisdom seekers, who are willing to share life's little nuggets. For someone who's spent his whole life getting nowhere fast, Jack must learn how to quit running, so love can catch up. Thi... Read all",1h 52m,Me and Mrs. Jones
