,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
528,6.2,['Takanori Tsujimoto'],DESCONOCIDO,"Chris Redfield enlists the help of Leon S. Kennedy and Rebecca Chambers to stop a death merchant, with a vengeance, from spreading a deadly virus in New York.",1h 37m,Resident Evil: Vendetta
529,5.6,['Srijit Mukherji'],DESCONOCIDO,The story of eleven prostitutes who refuse to part ways with their brothel and each other during the partition between India and Pakistan.,2h 8m,Begum Jaan
530,2.7,DESCONOCIDO,DESCONOCIDO,"Machine depicts the story of racing enthusiasts , who meet each other under mysterious circumstances. As their bond becomes stronger, they eventually fall in love. However, new things begin to unfold, which change their lives forever",2h 28m,Machine
531,--,['James M. Perry'],DESCONOCIDO,"Following the death of his cousin, Gudda moves to North Carolina to rebuild. The fiance of that cousin wants retaliation after losing her fiance and her unborn child.",1h 29m,Who Can You Trust II: Diamond's Revenge
532,--,['Joseph Cintron'],DESCONOCIDO,"Dr. Elizabeth McMan is a renown surgeon in Texas. Detective Joe Scagleon is a veteran homicide detective, about to retire, but when their lives collide it leaves not only them but the city derailed and searching for answers and reason.",--,Cause and Effect the Scagleon Stories
533,6.1,['Yûichi Fukuda'],"['Hideaki Sorachi', 'Yûichi Fukuda']","In an era where aliens have invaded and conquered feudal Tokyo, a young samurai seeks work as he can.",2h 11m,Gintama Live Action the Movie
534,--,['Craig Joseph'],DESCONOCIDO,"Ivan Antonov is back but this time the hunter has become the hunted. With a price on his head, Anton must outwit the contract killers that he once trained.",1h 44m,Preventsiya II
535,4.4,DESCONOCIDO,DESCONOCIDO,Dubbed one of the funniest movies of the year! Jane and her brother Elton find themselves under the control of a well known hit-man (Bo) who has been ordered by their father (an established crime lord) to make them cool. But the road to becoming cool is full of obstacles.,--,Saving Jane
536,5.1,['Leo Zhang'],"['Erica Xia-Hou', 'Siwei Cui', 'Leo Zhang']",A Special Forces Agent is assigned to protect a scientist and his creation from a sinister gang.,1h 49m,Bleeding Steel
537,5.7,['Kentarô Hagiwara'],"['Sui Ishida', 'Ichirô Kusuno']","A Tokyo college student is attacked by a ghoul, a superpowered human who feeds on human flesh. He survives, but has become part ghoul and becomes a fugitive on the run.",1h 59m,Tokyo Ghoul
538,6.6,['Jason Phelps'],DESCONOCIDO,"Alex Cox presents, a Kung Fu adventure following a father and daughter duo as they seek to reforge the mythic Dragon Sword in order to exact revenge on a powerful warrior.",1h 15m,The Curse of the Dragon Sword
539,3.6,['Richard Colton'],DESCONOCIDO,"When Chris gets mixed up with the Russian Mafia and Algerian gangsters while trying to help his best friend pay off a large debt, he has to decide if he puts his career on the rocks by embarking on a spree of dangerous robberies that could end up with him in prison, or possibly dead.",1h 34m,Dangerous Game
540,6.3,['Radha Krishna Jagarlamudi'],"['Sai Madhav Burra', 'Radha Krishna Jagarlamudi']",This movie chronicles the life of a South Indian ruler of the Satavahana Empire in South India in the 2nd century CE.,2h 11m,Gautamiputra Satakarni
541,5.1,['Brian Levant'],"['Steven Altiere', 'Sheldon Lettich', 'Boaz Yakin']","Max is assigned to the White House while Charlie, the secret service dog, is on maternity leave. He meets TJ, a 12 year old boy, who is the President's son. Due to his father's high profile, he is trying hard to fit in and lead a normal life. During a state visit by the Russian President and his daughter, Alexandra (Alex), TJ is asked to accompany her, during their st... Read all",1h 25m,Max 2: White House Hero
542,5.0,['Jesse V. Johnson'],DESCONOCIDO,"A story set in Indochina in 1959, a land beyond rule and a time without mercy and the birth of a legend.",1h 34m,Savage Dog
543,6.3,['Herman Yau'],"['Erica Li', 'Herman Yau']","When a terrorist who specializes in explosives takes hold of an underground tunnel, he threatens to kill hostages if his demands are not met.",1h 59m,Shock Wave
544,--,['Michael Gafner'],"['Wes Cochran', 'Michael Gafner']","In a post-apocalyptic society, a budding revolutionary must survive one final task to complete his training.",--,Howitzer Tales: The Survivalist
545,--,['Errol Sack'],DESCONOCIDO,,--,Nexus M.I.
546,6.6,['Fei Yu'],DESCONOCIDO,,--,Jasper
547,--,['Ernie Zahn'],DESCONOCIDO,,--,Paisanos in Paris
548,5.6,['Stephen Fung'],DESCONOCIDO,"The world's top thieves join forces to pull off the heist of a lifetime. But when they find themselves pursued across Europe by a legendary French detective, they'll have to take their game to the next level.",1h 48m,The Adventurers
549,7.3,['Nimród Antal'],DESCONOCIDO,"A rootless young man in Ceausescu's Romania crosses the Hungarian border looking for a better future. With his back against the wall in the post-socialist turmoil, he becomes the most successful bank robber in Hungarian history.",2h 6m,The Whiskey Bandit
550,5.3,['Frank E. Johnson'],"['D.C. Rahe', 'Greg Beber']","Four young women gain extraordinary powers, who are guided by an older mentor to become super heroes.",1h 45m,V-Force: New Dawn of V.I.C.T.O.R.Y.
551,5.0,['Steven C. Miller'],DESCONOCIDO,A Wall Street broker is forced to evade a police chief investigating a bank robbery as he attempts to recover the stolen money in exchange for his son's life.,1h 37m,First Kill
552,6.3,['Jayaraj'],"['DK Boyapati', 'Jayaraj']","Veeram is based on the ballads of North Malabar and narrates the tale of the brave and ambitious Kalarippayattu warrior, Chandu, whose story resembles that of William Shakespeare's Macbeth.",1h 40m,Veeram
553,5.2,['Robert Vaughn'],DESCONOCIDO,An emotionally gripping family action drama about a mother who will do whatever it takes to save her family.,1h 27m,High-Rise Rescue
554,4.2,['Masud Kimiai'],DESCONOCIDO,This Movie Is Story Of Dr. Jalal Soroush's Life.,1h 46m,Domestic Killer
555,5.8,DESCONOCIDO,DESCONOCIDO,"A man's life changes after he unknowingly gets super powers and then embarks on a journey that helps him discover the true meaning of love, life, courage, sacrifice, and his role in the world.",2h 35m,Super Singh
556,4.8,['Nadir Shah'],DESCONOCIDO,Project Ghazi is a superhero movie that evolves around a thread to the project soldiers. It's a story of an advanced soldier project and it spans over a period of 20 years.,1h 40m,Project Ghazi
557,2.3,['Dipankar Senapati'],DESCONOCIDO,"ACP Ravindra Varma, a fearless and sincere police officer, is called to nab terrorist Milind Shinde, who has political backing.",2h 3m,Aa Gaya Hero
558,6.8,['Sydney Sibilia'],"['Luigi Di Capua', 'Francesca Manieri', 'Sydney Sibilia']","Despite being in prison, Italy's most wanted gang of academics must stop Walter Mercurio from unleashing a deadly nerve gas on the elite.",1h 38m,I Can Quit Whenever I Want: Ad Honorem
559,5.3,['Tomas Simonsen'],"['Tomas Simonsen', 'Tara Barrett']",John Walker is the head of field ops for an elite team of agents at the local CIA base in Norway. They uncover that a Russian terrorist group is transporting a nuclear bomb out of the country. John and his team has to do whatever necessary to stop the terrorists from reaching their target.,--,Agent Walker
560,6.8,['Sydney Sibilia'],"['Sydney Sibilia', 'Francesca Manieri', 'Luigi Di Capua']","The return of the team of researchers who, to delete their problems with law, decide to help police to find new smart drugs.",1h 58m,I Can Quit Whenever I Want: Masterclass
561,5.8,['Mani Ratnam'],DESCONOCIDO,Fighter pilot Varun recalls his romance with Leela while being held prisoner in Pakistan during the Kargil War.,2h 26m,Kaatru Veliyidai
562,--,['Daniel Brehm'],DESCONOCIDO,"An Official Selection at The Diamond In The Rough Cut Film Festival, Illinois International Film Festival, Kulture Klash Film Festival and The Lincoln Square Art Walk Festival - writer/director Daniel Brehm challenges our emotions with this feature film. As David, a Defense Intelligence Agent uncovers the truth about Natasha, a person of interest from a war torn count... Read all",2h,Identity Crisis
563,7.1,['RJ Cusyk'],DESCONOCIDO,An office drone gets fed up with the crime plaguing his city and decides to fight back.,1h 23m,Keeping Justice
564,--,DESCONOCIDO,DESCONOCIDO,,--,Rico's Ride
565,6.4,['Amal Neerad'],DESCONOCIDO,"A young man in Kerala has two weeks to stop the woman he loves from a fixed marriage in the U.S., but he doesn't have the papers to get there.",2h 14m,CIA: Comrade in America
566,--,['Josiah Yu'],DESCONOCIDO,,--,Infiltration II
567,--,DESCONOCIDO,DESCONOCIDO,"ONCE A YEAR THE AMATEUR GHOST GROUP ""GHOST CONS"" GET TOGETHER TO ILLEGALLY BREAK INTO A KNOWN HAUNTED LOCATION TO EXPLORE- THIS TIME IT IS THE HAUNTED MILL,WELL BUDDY THE KLOWN AND HIS BROTHERS KUTTER, and KILLY BILLY IS UP TO IT AGAIN, ALWAYS GETTING INTO TROUBLE, THIS TIME THEY HAVE WENT TO FAR OR IS IT AS IT ALWAYS WAS. SOME AMATEUR GHOST HUNTERS FIND OUT THE HARD ... Read all",--,Under the Mill
568,2.6,['Simon Wells'],"['Ben Loyd-Holmes', 'James Morelli-Green']","The King has sent his best Knights to defeat the Dragon besieging his castle. Along their epic adventure they encounter malicious sirens, warrior women on a mission of revenge and an unstoppable army of the undead. Can they survive?",1h 24m,Knights of the Damned
569,5.3,['Ranjeet Bal'],DESCONOCIDO,The movie is set during the 1984 riots in Punjab.,1h 49m,The Great Sardaar
570,3.0,DESCONOCIDO,DESCONOCIDO,"A horror comedy spoofing conspiracy theory moves, girl victim films, and Alien Grey abduction movies.",1h 30m,Abduction
571,5.8,['Riccardo Ferrero'],DESCONOCIDO,"Michele Falco was a champion of Mixed Martial Arts. He's now determined to not submit anymore and rebel against the rules of clandestine bets mastered by Nico Malatesta, nephew of the boss Rocco Malatesta.",1h 23m,The Final Fight
572,5.4,['Deven Bhojani'],"['Ritesh Shah', 'Rajshri Sudhakar']","Commando Karan uses his combat skills to eradicate black money, which has been siphoned to banks abroad.",2h 24m,Commando 2
573,--,['Brandon Gibson'],DESCONOCIDO,"When Super Heroes need an ear, Dr. Mystiere is there... accidentally. Mistaken for a Super Shrink from another planet due to an unfortunate name, Dr. Mystiere is forced to deal with the many problems of the world's most famous Super Heroes.",--,Super Hero Shrink
574,5.9,['Ali Abbas Zafar'],DESCONOCIDO,"Inspired by real events, Tiger Zinda Hai is a sequel to the blockbuster Ek Tha Tiger, and an espionage action drama that follows a daring rescue mission in Iraq.",2h 41m,Tiger Zinda Hai
575,5.5,['Camila Toker'],"['Camila Toker', 'Anne Sophie Vignolles']","Western / Thriller that takes place in Punta Indio, a ghost town in the middle of nowhere. A crime reveals the dark legend of a cursed diamond.",1h 35m,La muerte de Marga Maier
576,--,['Saugat Bista'],DESCONOCIDO,,--,Hairaan
577,7.1,['Ryu Seung-wan'],DESCONOCIDO,"During the Japanese colonial era, roughly 400 Korean people, who were forced onto Battleship Island (""Hashima Island"") to mine for coal, attempt to a dramatic escape.",2h 12m,The Battleship Island
578,5.8,DESCONOCIDO,DESCONOCIDO,The Truth can hurt sometimes...but not even death can keep a secret.,1h 35m,Misguided Behavior
579,4.5,['Romain Lévy'],DESCONOCIDO,"A student in Amsterdam tries to win over a young woman by chasing after a packet of drugs, which happens to belong to the Dutch mafia.",1h 40m,Gangsterdam
580,6.0,DESCONOCIDO,DESCONOCIDO,"A desperate group of refugees attempts to recolonize Earth 20,000 years after Godzilla took over, but one young man wants revenge above all else.",1h 29m,Godzilla: Planet of the Monsters
581,2.5,['Antony Smith'],"['Victor Mawer', 'Antony Smith']",A re-imagining of the Arthurian legend centered around Arthur's illegitimate son Owain who must learn to take up his father's mantle as king.,1h 39m,King Arthur: Excalibur Rising
582,5.4,['Xixi Gao'],DESCONOCIDO,"The movie is set during the gang wars of 1930's Shanghai. An adaptation of Shanghai Bund, the TV series.",2h 20m,The Game Changer
583,6.8,['Haneef Adeni'],DESCONOCIDO,A businessman who is trying hard to be a good father to his daughter has a run-in with malevolent policeman.,2h 31m,The Great Father
584,6.7,['Nanda Kishore'],DESCONOCIDO,Tiger is an action packed thriller film led by Pradeep who dreams to become a police officer which is against the wish of his father played by the well known actor and also a very famous Ex IAS officer K Shivram.,2h 35m,Tiger
585,7.6,DESCONOCIDO,DESCONOCIDO,A curmudgeonly boxing coach sees the potential in a young woman; his belief in her changes her life.,1h 56m,Guru
586,5.8,['Tom Emmatty'],DESCONOCIDO,"The film, set in a college campus, narrates how the students established the political party Students Federation of India.",2h 23m,Oru Mexican Aparatha
587,--,['Dominic Carlo P. Nuesa'],DESCONOCIDO,"An elite team of Scout Rangers track down lawless Islamist elements in the Southern tip of the Philippines. In the middle of this conflict, two Muslim brothers are caught up in their own Holy Wars. A young Muslim scholar, Omar, has followed his brother Jamiluddin's footsteps into radical Islam. Unbeknownst to him, Jamiluddin has turned Government informant. Jamiluddin... Read all",1h 22m,The Sun Behind You
588,2.7,DESCONOCIDO,"['Tan Bing', 'Sholom Gelt']",A Chinese IT company representative attempts to spoil a conspiracy to start a civil war in an African country orchestrated by an European businessman who is aided by a tough African warrior.,1h 50m,China Salesman
589,6.7,DESCONOCIDO,"['Koon-Nam Lui', 'Jing Wong', 'Ming-Ho Yip']","An illegal immigrant from Mainland China sneaks into corrupt British-colonized Hong Kong in 1963, transforming himself into a ruthless and emerging drug lord.",2h 8m,Chasing the Dragon
590,4.6,['Tony Giglio'],"['Jonas Barnes', 'Keith Domingue', 'Robert Hamner']",A SWAT compound comes under fire from an international terrorist who relentlessly and violently pursues a mystery man who was apprehended by Seattle SWAT after a raid went horribly wrong.,1h 29m,S.W.A.T.: Under Siege
591,5.3,['Jenna Cavelle'],"['Jenna Cavelle', 'Jay Davis', 'Amber Viera']",Something goes terribly wrong when a band of Latin sisters and their brother attempt a violent robbery in order to make their first indie film.,--,Blood Heist
592,6.8,['Randy Paul Ayres'],DESCONOCIDO,An Iraqi war veteran with PTSD and his naïve martial arts students get mixed up with mobsters and dirty cops.,1h 45m,Random Karma
593,6.3,['Joe Black'],DESCONOCIDO,A failed actress steals half a million dollars worth of diamonds from her mob boss father and makes her escape across the country while being pursued by an array of eccentric hit men.,2h 13m,Low Town
594,6.4,['Jaak Kilmi'],DESCONOCIDO,An upbeat comedy about three boys who escape from Soviet Estonia to Sweden via Finland in the 1980s to fulfill their dreams in the free world.,1h 30m,The Dissidents
595,6.5,['Milan Karadzic'],DESCONOCIDO,"Djordje Popovic (played by Slaven Doslo), young doctor from Belgrade, receives an anonymous call to meet his father. Up until that moment Djordje is strongly convincedthat his father is dead, nevertheless he decides to give in the adventure of discovering his own identity. He leaves for Montenegro and while travelling meets Lola (played by Vanja Nenadic), young kitebo... Read all",1h 24m,Biser Bojane
596,7.0,['Steven Bhiro'],DESCONOCIDO,Holy Fire is a feature length action/thriller about two friends who are betrayed by the people they work for and then seek revenge.,1h 7m,Holy Fire
597,4.6,['Mohamed Samy'],DESCONOCIDO,"(Khaled Degwy) who are enrolled in one of the terrorist groups that the killings, believing they are fighting for the sake of God, and when his brother (Ahmad) tries to join this group (Khaled) refuses, he is trying to stop him, but he joins, and one day arise a dispute between (Ahmad) and one of the members of this community, (Ahmed) get killed, (Khalid) go mad who s... Read all",1h 39m,Detention Letter
598,6.4,['Manuel Vogel'],DESCONOCIDO,,1h 30m,One Shot Left
599,3.2,['Brett William Mauser'],DESCONOCIDO,A woman down on her luck stumbles into a bar run my a local meth dealer and finds herself accepting an offer that will change her life for the worse.,1h 34m,Blow a Kiss
600,4.0,['Joaquín Ortega'],DESCONOCIDO,,--,El mate de Morphy
601,5.0,['Roberto Angel Salcedo'],DESCONOCIDO,A group of warehouse employees are scammed and charged with theft. Now they have to flee as they devise a plan to reveal the truth.,1h 38m,El Plan Perfecto
602,--,['Adam Canuck Zimmerman'],DESCONOCIDO,"Josie Laurene is a spy who months ago made a terrible mistake when she let international secrets slip through her fingers. Now, she's on a mission to get them back.",1h 8m,The Reconnaissance of Josie Laurene
603,--,['Valinteno Orville Kenlock'],DESCONOCIDO,"Valinteno is a popular casting manager for models, who's about to go to war with a secret society for working with Stunna Dior and other models they did not approve of. Valinteno received his own T.V. show from the same group of people that wanted him dead. His goal was to have a productive modeling agency even after his death. By going against the powers that be in a... Read all",1h 42m,Discretion TV Hollywood NY
604,5.9,['Cato Manuel Lizaraso Ekrene'],DESCONOCIDO,Revenge gives a new meaning.,--,Run Faster
605,7.3,['Takeshi Koike'],"['Monkey Punch', 'Yuuta Takahashi']","Lupin's friend, the samurai Goemon Ishikawa, takes a job as bodyguard for a yakuza boss. But a brutal assassin kills the yakuza and Goemon is honor-bound to track him down.",--,Lupin the Third: Goemon's Blood Spray
606,5.9,['V.V. Vinayak'],DESCONOCIDO,A convict who plans to escape the country unexpectedly switches his place with a good Samaritan who fights for the rights of poor farmers.,2h 22m,Khaidi No. 150
607,6.2,DESCONOCIDO,DESCONOCIDO,"In the 13th century, an amnesiac soldier vows to get his revenge on the Mongol army that ransacked his village.",1h 47m,Furious
608,4.6,['Federico Cueva'],DESCONOCIDO,"A framed con man, Leo (Peter Lanzani) has to impersonate an orthodox Jew in order to escape ruthless killers Duges (Gerard Depardieu), López (Santiago Segura) and Harken (Hugo Silva).",1h 30m,You Only Live Once
609,4.0,['Matt Drummond'],DESCONOCIDO,A troubled town is plunged into chaos when a boy accidentally makes a new friend.,1h 38m,My Pet Dinosaur
610,5.8,['Yoshihiro Nishimura'],"['Sakichi Sato', 'Yoshihiro Nishimura']","A long-awaited sequel to the internationally acclaimed full-throttle splatter sci-fi action horror ""Meatball Machine"".",1h 40m,Meatball Machine Kodoku
611,4.9,DESCONOCIDO,"['Lexie Findarle Trivundza', 'Nick Trivundza']","Outlaws, wealthy plantation owners, runaway slaves, a half Cherokee girl, a pair of brothel owners and a pregnant woman all end up in a bloody shoot out and running for their lives.",1h 30m,The West and the Ruthless
612,5.7,['GB Sampedro'],DESCONOCIDO,"Based on the 1979 comics and movie MANG KEPWENG, played by the legendary Chiquito, MANG KEPWENG RETURNS tells the story of the albularyo's son and his adventures with the magical bandanna. When Mang Kepweng died because of mysterious circumstances, buried with him was the secret that besides his son Zacharias (James Blanco), he had another son, Kiefer (Vhong Navarro),... Read all",2h,Mang Kepweng Returns
