,name,link
53,Shin'ya Tsukamoto,"(""Shin'ya Tsukamoto"", 'https://www.imdb.com/name/nm0875354/?ref_=tt_cl_t_7')"
54,Yoshi Oida,"('Yoshi Oida', 'https://www.imdb.com/name/nm0645224/?ref_=tt_cl_t_8')"
55,Yôsuke Kubozuka,"('Yôsuke Kubozuka', 'https://www.imdb.com/name/nm0473577/?ref_=tt_cl_t_9')"
56,Kaoru Endô,"('Kaoru Endô', 'https://www.imdb.com/name/nm3484659/?ref_=tt_cl_t_10')"
57,Zoe Saldana,"('Zoe Saldana', 'https://www.imdb.com/name/nm0757855/?ref_=tt_cl_t_1')"
58,David Oyelowo,"('David Oyelowo', 'https://www.imdb.com/name/nm0654648/?ref_=tt_cl_t_2')"
59,Kevin Mambo,"('Kevin Mambo', 'https://www.imdb.com/name/nm0541039/?ref_=tt_cl_t_3')"
60,Ronald Guttman,"('Ronald Guttman', 'https://www.imdb.com/name/nm0349749/?ref_=tt_cl_t_4')"
61,Chuma Gault,"('Chuma Gault', 'https://www.imdb.com/name/nm0403096/?ref_=tt_cl_t_5')"
62,Allison Sarofim,"('Allison Sarofim', 'https://www.imdb.com/name/nm1910870/?ref_=tt_cl_t_6')"
63,Mike Epps,"('Mike Epps', 'https://www.imdb.com/name/nm0258402/?ref_=tt_cl_t_7')"
64,Keith David,"('Keith David', 'https://www.imdb.com/name/nm0202966/?ref_=tt_cl_t_8')"
65,Ella Joyce,"('Ella Joyce', 'https://www.imdb.com/name/nm0431520/?ref_=tt_cl_t_9')"
66,Stevens Gaston,"('Stevens Gaston', 'https://www.imdb.com/name/nm3083465/?ref_=tt_cl_t_10')"
67,Geoffrey Lewis,"('Geoffrey Lewis', 'https://www.imdb.com/name/nm0507212/?ref_=tt_cl_t_1')"
68,Richard Roundtree,"('Richard Roundtree', 'https://www.imdb.com/name/nm0745780/?ref_=tt_cl_t_2')"
69,Branden Williams,"('Branden Williams', 'https://www.imdb.com/name/nm0930151/?ref_=tt_cl_t_3')"
70,Charlie Talbert,"('Charlie Talbert', 'https://www.imdb.com/name/nm0847857/?ref_=tt_cl_t_4')"
71,Dian Bachar,"('Dian Bachar', 'https://www.imdb.com/name/nm0045379/?ref_=tt_cl_t_5')"
72,Tim Colceri,"('Tim Colceri', 'https://www.imdb.com/name/nm0170381/?ref_=tt_cl_t_6')"
73,Michael Wiseman,"('Michael Wiseman', 'https://www.imdb.com/name/nm0936488/?ref_=tt_cl_t_7')"
74,Lightfield Lewis,"('Lightfield Lewis', 'https://www.imdb.com/name/nm0507468/?ref_=tt_cl_t_8')"
75,Matt Easton,"('Matt Easton', 'https://www.imdb.com/name/nm2362279/?ref_=tt_cl_t_9')"
