,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
25,"6,9",['Stéphane Brizé'],"['Stéphane Brizé', 'Florence Vignon']","Alain Evrard, a trucker who has just finished serving a prison sentence, is forced to temporarily move back to his mother Yvette's house. This forced co-habitation causes all the violence of their past relationship to re-emerge. One day, Alain accidentally discovers his mother has a brain tumor and that she has decided to shorten her suffering by resorting to assisted... Leer todo",1h 48min,Algunas horas de primavera
26,"5,6",['Maja Milos'],['Maja Milos'],"Una adolescente obsesionada con las redes sociales cae en un mundo hedonista de sexo, drogas y abuso mientras que su vida familiar se desmorona.",1h 42min,Klip
27,"6,0",['Simon Aboud'],['Simon Aboud'],A romantic thriller set during the armed robbery of one of London's most exclusive jewelers.,1h 31min,Comes a Bright Day
28,"6,2",['Pascal Bonitzer'],"['Agnès de Sacy', 'Pascal Bonitzer']",A wife pressures her husband to solicit work papers from his civil servant father.,1h 40min,Cherchez Hortense
29,"5,3",['Ry Russo-Young'],"['Lena Dunham', 'Ry Russo-Young']",A Silver Lake family's relaxed dynamic is tested after they take in a young artist so she can complete her art film.,1h 23min,Nobody Walks
30,"7,3",['Robert Zemeckis'],['John Gatins'],"Un piloto de una aerolínea salva a casi todos los pasajeros de su avión, que acaba estrellándose, pero la investigación del accidente revela algo preocupante.",2h 18min,El vuelo (Flight)
31,"5,3",['Johnny Remo'],"['Daniel Backman', 'Johnny Remo']","After growing up with his single mom, skateboarder Caleb, 18, finds his busy, rich architect dad. He contacts him, when his mom's hospitalized with cancer. He joins a skateboard competition, when rent's up.",1h 52min,Hardflip
32,"5,9",['Sheldon Candis'],DESCONOCIDO,An 11-year-old boy gets a crash course in what it means to be a man when he spends a day with the ex-convict uncle he idolizes.,1h 34min,LUV
33,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt1907779
34,"6,5",['Amos McKay'],['Amos McKay'],"After taking his own life, Lyndon (Jonathan Regier), unknowingly wakes up in the middle of a circular afterlife with greetings from Death in human form (George Katt). Before understanding this painful inner circle, he must step back to the outer circle where his sins began: the death of his girlfriend, Sarah (Sarah Taurchini) and subsequently the death of himself. Dea... Leer todo",1h 52min,Red Sheep
35,--,['Sekiya Dorsett'],DESCONOCIDO,"Saving Julian is a story for and about LGBT homelessness. The film tells the story of Julian, a fourteen-year-old boy from Texas, kicked out of his home after he comes out to his mother. Hearing about the diversity of New York, he buys a one-way ticket and starts off toward a new life. However, the New York streets are about to teach him some hard fast lessons.",14h,Saving Julian
36,"6,4",DESCONOCIDO,['Kei Yoshida'],The experiences of a young Chinese go champion living in Japan.,1h 40min,Tôkyô ni kita bakari
37,"6,6",['Daniel Cohen'],"['Daniel Cohen', 'Olivier Dazat']","Un chef veterano se enfrenta al nuevo CEO de su grupo de restaurantes, que quiere que el establecimiento pierda una estrella de su calificación para incorporar a un chef más joven que se especializa en gastronomía molecular.",1h 24min,El chef: La receta de la felicidad
38,"6,8",['Akiyoshi Kimata'],"['Hiroshi Ogiwara', 'Narito Kaneko']","A family in ruins recovers through their encounter with a ""Zasikiwarashi"", the japanese spirit.",1h 49min,Home: Itoshi no Zashiki Warashi
39,"6,1",['Ruhi Karadag'],DESCONOCIDO,"Simurgh is the story of 6 real characters (political prisoners) who had participated in death fasts in order to protest the F-type cell system in 1996 in prisons of Turkey and caught the Wernicke Korsakoff illness after 69 days on death fast, then released due to health problems and now trying to cope with speech difficulty, loss of muscle coordination, balance proble... Leer todo",1h 49min,Simurg
