,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
0,Joanna Cole,Desconocido,"['NY-LON', 'Cartilage']",['Actress'],Desconocido,--
1,Stanley Wojculewski,Desconocido,['Cartilage'],['Actor'],Desconocido,--
2,Melanie Stablein,Desconocido,['Mona and Pablo'],['Actress'],Desconocido,--
3,Max Baloian,Desconocido,"['The Darwin Awards', 'Not Today', 'One Way to Valhalla', 'Groove']","['Camera and Electrical Department', 'Art Department', 'Composer']",Desconocido,--
4,Keith Davies,Desconocido,['Mona and Pablo'],['Actor'],Desconocido,--
5,Elton Henderson,Desconocido,"['Final', 'Grand Theft Auto V', 'World of Lines', 'Mona and Pablo']","['Actor', 'Additional Crew']",Desconocido,--
6,Tim Hourigan,Desconocido,['Mona and Pablo'],['Actor'],Desconocido,--
7,Roger Martin,Desconocido,['Mona and Pablo'],['Actor'],Desconocido,--
8,Michael Maun,Desconocido,['Mona and Pablo'],"['Actor', 'Producer', 'Additional Crew']",Desconocido,--
9,Pablo,Desconocido,['Mona and Pablo'],[],Desconocido,--
10,Georgia Stablein,Desconocido,['Mona and Pablo'],"['Actress', 'Additional Crew']",Desconocido,--
11,Brandon Thomas,Desconocido,"['Runaway', 'Mona and Pablo']","['Director', 'Actor']",Desconocido,--
12,Shane Nickerson,Desconocido,[],[],Desconocido,--
13,Greg Pitts,1970,"['Office Space', 'Coyote Ugly', 'Idiocracy', 'Sons & Daughters']","['Actor', 'Writer', 'Producer']",Desconocido,--
14,Lindsay Thompson,Desconocido,"['Free Radio', 'The Spaghetti Storm', 'Framed', 'Rebound Guy']",['Actress'],Desconocido,--
15,Elisa Donovan,1971,"['Clueless', 'A Night at the Roxbury', 'Sabrina the Teenage Witch', 'Wake Me When You Leave']","['Actress', 'Producer', 'Director']",Desconocido,--
16,Robin Johnstone,Desconocido,"['Killer by Nature', 'Low Rollers', 'There Is a New World Somewhere', 'The Lempke Brothers']","['Actress', 'Camera and Electrical Department', 'Casting Department']",Desconocido,--
17,Gerritt Vandermeer,Desconocido,"['Men in Black 3', 'All My Children', 'The Good Wife', 'The Interview']","['Actor', 'Art Department']",Desconocido,--
18,David Weisenberg,Desconocido,"['Curb Your Enthusiasm', 'iCarly', 'Transparent', 'Magpie Funeral']","['Actor', 'Producer']",Desconocido,--
19,Lonny Zion,Desconocido,"['My Dad', 'The Little Death', 'Bacon Wagon', 'Show and Prove']","['Second Unit Director or Assistant Director', 'Producer', 'Director']",Desconocido,--
20,Rebecca Brand,Desconocido,"['They Call Him Sasquatch', ""Otis N' Dwayne"", 'Terminus', 'Bacon Wagon']",['Actress'],Desconocido,--
21,Amy Dilamarra,Desconocido,"['Dark Planet', 'The Trip', 'In Your Face', 'A Light in the Darkness']","['Costume and Wardrobe Department', 'Costume Designer', 'Actress']",Desconocido,--
22,Shannon Sutter,Desconocido,"['Dark Angel', 'ER', 'Bacon Wagon']",['Actress'],Desconocido,--
23,Thomas Curtis,1991,"['Sweet Home Alabama', 'North Country', 'The Chumscrubber', 'Red Dragon']",['Actor'],Desconocido,--
24,Devin,Desconocido,['Bacon Wagon'],['Actor'],Desconocido,--
25,Regan Forman,1970,"['Enough', 'Wild Things', 'The Princess and the Frog', 'Mystery, Alaska']","['Actress', 'Casting Department', 'Additional Crew']",Desconocido,--
26,Oded Gross,Desconocido,"['Most Daring', 'Yukon Men', 'Buying Naked', 'How to Make Movies at Home']","['Producer', 'Actor', 'Writer']",Desconocido,--
27,Deborah Kennedy,Desconocido,"['The Jesters', 'The Sum of Us', 'Closed for Winter', 'Laid']",['Actress'],3 nominations,--
28,Sam Worthington,1976,"['Avatar', 'Terminator Salvation', 'Clash of the Titans', 'Avatar: The Way of Water']","['Actor', 'Producer', 'Director']",6 wins & 20 nominations,--
29,Scott Casperson,Desconocido,"['29 Reasons to Run', 'Never Die Alone', 'The Third Rail', 'Shadow Man']","['Actor', 'Writer', 'Soundtrack']",1 win,--
30,Michele Cote,Desconocido,"['The Unbearable Whiteness of Dean', 'Hal and Rory', 'The Pickle Jar']",['Actress'],Desconocido,--
31,David Epstein,Desconocido,"['Withdrawal', 'The Pickle Jar']","['Director', 'Actor', 'Writer']",Desconocido,--
32,Adetoro Makinde,Desconocido,"['The American Can', 'The Tale', 'A Good Day to Be Black & Sexy', 'In Time']","['Producer', 'Writer', 'Director']",2 nominations,--
33,Curtiss Cook,1968,"['Shutter Island', 'The Interpreter', 'West Side Story', 'Arbitrage']","['Actor', 'Director', 'Writer']",1 win,--
34,Dumeha Thompson,Desconocido,"[""For Charity's Sake"", 'Whoa']","['Actress', 'Additional Crew']",Desconocido,--
35,Matthew Thompson,Desconocido,"['Highlander', 'The Invisible Man', 'Making the Monster: Special Makeup Effects Frankenstein Monster Makeup', '18 Wheels of Justice']",['Actor'],Desconocido,--
36,Kelvin Davis,Desconocido,"['Tower Heist', 'The Wire', 'Cold Case', 'Guns and Grams']",['Actor'],Desconocido,--
37,Tracee Loran,Desconocido,"['Black History Baddies', 'Ray', 'TV Quickie with Nikki', 'Dating Miss Dillard']","['Writer', 'Actress', 'Producer']",Desconocido,--
38,Thomas Ballatore,1962,"['Once Bitten', ""Timmy's Wish"", 'Fudgy Wudgy Fudge Face', 'Detonator']","['Actor', 'Writer']",2 wins,--
39,Jimmy Cox,Desconocido,['Sexy Space Sirens from Siberon'],['Actor'],Desconocido,--
40,Jennifer Fitzgerald,Desconocido,"['Mad Men', 'Eagleheart', 'Glam-Trash', 'The Dry Spell']","['Actress', 'Producer']",Desconocido,--
41,Amit Itelman,Desconocido,"[""Timmy's Wish"", '666 the Satanic High Mass', 'Phantom Love', 'When the World Breaks']","['Actor', 'Producer', 'Director']",2 wins,--
42,Eliot Johnson,Desconocido,"['Rush Hour 2', 'Zoolander', 'Forever Changed', 'Sexy Space Sirens from Siberon']","['Actor', 'Cinematographer', 'Editor']",Desconocido,--
43,Johari Johnson,Desconocido,"['The Fresh Prince of Bel-Air', '9-1-1: Lone Star', 'Able Edwards', 'The Thundermans']","['Actress', 'Writer', 'Producer']",Desconocido,--
44,David Kesmodel,Desconocido,"['Baywatch Nights', 'Borrowed Time', 'Sexy Space Sirens from Siberon']",['Actor'],Desconocido,--
45,Neal Matarazzo,1962,"['Dietland', 'Blindspot', 'House of Cards', 'The Blacklist']","['Actor', 'Director']",Desconocido,--
46,Rob Pettay,Desconocido,['Sexy Space Sirens from Siberon'],['Actor'],Desconocido,--
47,Anjali Ryan,Desconocido,"[""Kidnap Madonna's Baby"", ""Just Can't Get Enough"", 'God Made Man', 'King of the Open Mics']",['Actress'],Desconocido,--
48,Terence McGovern,1942,"['American Graffiti', 'Mrs. Doubtfire', 'DuckTales the Movie: Treasure of the Lost Lamp', 'THX 1138']","['Actor', 'Producer', 'Additional Crew']",1 nomination,--
49,Claire Haider,1988,"['Making Love', 'Naiad: Las niñas del agua', 'The Route']",['Actress'],Desconocido,--
50,Max Kaplan,Desconocido,['The Route'],['Actor'],Desconocido,--
51,Leslie Marshall,Desconocido,"['Algorithm: BLISS', 'NYPD Blue', 'Walking Through Fires', 'Life, Death and Mini-Golf']","['Actress', 'Writer', 'Producer']",Desconocido,--
52,Ben Naasz,Desconocido,"['Robot Wars', 'The Men Who Fell', 'Good Company', 'Legacies']","['Actor', 'Producer']",Desconocido,--
53,Chris Anderson,1971,"['Untitled Cover Band Comedy Project', 'Late Night Republic', 'Thirsty', 'Human Giant']","['Composer', 'Music Department', 'Actor']",Desconocido,--
54,Kate Cordaro,Desconocido,['Housekeeping'],['Actress'],Desconocido,--
55,Peter Duffy,Desconocido,[],[],Desconocido,--
56,Michelle Enfield,Desconocido,"['Big Apple', 'Stream', 'Three Bridges', 'Housekeeping']",['Actress'],Desconocido,--
57,Janeane Garofalo,1964,"['Mystery Men', 'Ratatouille', 'The Truth About Cats & Dogs', 'Wet Hot American Summer']","['Actress', 'Writer', 'Producer']",3 wins & 14 nominations total,--
58,Anslem Richardson,1975,"['The Boys', 'NCIS: Los Angeles', 'Timeless', 'Fractal']","['Actor', 'Writer', 'Producer']",6 wins & 1 nomination,--
59,Kristen Rutherford,Desconocido,"[""Howl's Moving Castle"", 'The Feed: Week in Review', 'How to Be a Grown Up', 'Adventures in Zambezia']","['Writer', 'Actress', 'Producer']",Desconocido,--
60,Catherine Bailey,2,"['And Then There Were None', 'House of Anubis', 'The Infinite Worlds of H.G. Wells', 'A Quiet Passion']",['Actress'],Desconocido,--
61,James Lance,1975,"['Northern Soul', 'Bronson', 'Marie Antoinette', 'Bel Ami']","['Actor', 'Writer', 'Producer']",1 win & 4 nominations total,--
62,Nicholas Pinnock,1973,"['Captain America: The First Avenger', 'Fortitude', 'The Book of Clarence', 'For Life']","['Actor', 'Producer', 'Soundtrack']",1 nomination,--
63,Lucy Punch,1977,"['Into the Woods', 'Bad Teacher', 'Dinner for Schmucks', 'Stand Up Guys']","['Actress', 'Writer', 'Producer']",3 wins & 7 nominations,--
64,Lynn Lee,Desconocido,['Ivor the Insomniac'],['Actor'],Desconocido,--
65,Jeff O'Toole,Desconocido,"['Intermission', 'Wanna Hang Out', 'For Those Who Believe', 'Waiting']","['Actor', 'Producer']",Desconocido,--
66,Billie Traynor,Desconocido,"['Frank', 'The Hallow', 'The Nephew', ""Pete's Meteor""]",['Actress'],Desconocido,--
67,Scott Alan Hoye,Desconocido,"['The Hound', 'The Hapless Antiquarian', 'Idiots Are Us', 'Creepy Tales: Girls Night Out']",['Actor'],Desconocido,--
68,Nadia Auda,1972,"['Morten Korch - Ved stillebækken', 'Long Story Short', 'Tre på en motorcykel', 'Mistænkt']",['Actress'],Desconocido,--
69,Niels Martin Eriksen,1969,"['Bedrag', 'Album', 'Teatret ved Ringvejen', 'Tidsrejsen']",['Actor'],Desconocido,--
