,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
1397,--,['Don Swaynos'],DESCONOCIDO,Youth Minister Harry takes Tommy and Julie on a wild ride through avoidable misunderstandings to show them the importance of the words we use every day.,--,In Defense of Definitions...
1398,--,['Kevin Haskin'],['Kevin Haskin'],"Wayne is working through the politics of his unique work environment as a Nanny (or as he likes to be called, Child Technician). His love and loyalty to his hero, Ronald Reagan has turned him unknowingly into a social recluse. Until Wayne can wake himself up, he will continue to have the door slammed on the possibility of becoming more than just the nanny.",--,Strait 8
1399,--,['Christina Choe'],['Christina Choe'],,--,Remix: Hello Kitty Is a Capitalist
1400,--,['Paul Barry'],['Jennifer Campbell'],"Take one Alfonso, a romantic and passionate waiter with a warped reality. Then take Isobel, a woman whose life is at a cross-road. Stir in Rob, her distracted and ambitious boyfriend. Sprinkle some charm and flirtation from Tony. Add one fountain. Finally, garnish with Fellini's La Dolce Vita. A recipe for passion or a recipe for disaster? Sometimes a random meeting c... Read all",--,Touched by Fellini
1401,--,['Andrew Briscoe'],"['Andrew Briscoe', 'Will Cope']",,--,Potato Soup
1402,--,['Matt Hendricks'],['Matt Hendricks'],A young man has trouble committing to his fantasies.,--,Masturbation Constipation
1403,--,['Steven Wilson'],DESCONOCIDO,A forgetful door-to-door salesman finds that 'making the sale' was the easy part.,--,Moron Interrupted...
1404,--,['Gretchen Kelbaugh'],DESCONOCIDO,"The note on the piece of cake reads, 'Save last piece for Dad.' Can three teenagers have Dad's dessert and eat it, too?",--,Piece o' Cake
1405,--,['S.V. Broadbent'],['S.V. Broadbent'],The year is 1929 and the Stock Market has just crashed. The story that follows is one of pure dramady. Can a group of former stock market players create a club where fun and entertainment are the means of life?,--,Pauper's Palace
1406,--,['Stephen McKissen'],['Alexis Cottrell'],How do you know when it's right? When it's REALLY right? Look to the moon.,--,Moonshine
1407,6.6,['Alan Lock'],['Alan Lock'],,--,Missionary Position
1408,--,['Amadeo Riva'],['Amadeo Riva'],,--,Bohemia
1409,--,['Scott Rivers'],['Scott Rivers'],Mugsey goes the Penryn Massive.,--,Penryn Massive
1410,--,['Brandon Scullion'],['Brandon Scullion'],,--,The Robbery
1411,--,['Scott Rivers'],['Scott Rivers'],Mugsey ends up in the Helston Massive.,--,Helston Massive
1412,5.3,DESCONOCIDO,DESCONOCIDO,"The saying goes, 'there is more than one way to skin a cat.' But is that always true? When solving all problems are all approaches equally valid? Or are there some things that can only be solved one way? This uniquely simple IT technician shows these office workers something they had never thought of.",--,Error
1413,--,['Brad Steuernagel'],DESCONOCIDO,"Cary Prusa performs at a downtown comedy show called ""Oh Hello"" and also runs a comedy class during his set. Wayne and Randy do short form Improv games to see if they go on to the next level of classes.",--,The Funbags
1414,--,DESCONOCIDO,"['Kendall Bruns', 'Josh Flowers']",,--,Bloody Mary
1415,--,['Marcia Baltimore'],['Marcia Baltimore'],Tells the story of an Indiana girl who has to decide between mistressing and cooking as her way of finding self esteem.,--,The Making of a Mistress
1416,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt1508670
1417,6.2,['Massimiliano Sappa'],['Massimiliano Sappa'],"A man is in a nightclub for a casting in a film. The crew like him immediately. However, they make a condition, to get the part he has to go with them to their studio. He accepts. When they arrive to destination the place turns out to be a creepy old basement in the middle of nowhere.",--,The Job
1418,--,['Scott Sheppard'],['Scott Sheppard'],A vampire with a chipped fang and his werewolf roommate try to adapt to life in the city.,--,The Chipping
1419,--,['Lyn Elliot'],['Lyn Elliot'],"A woman struggles to understand her date. It's not what he means, it's what he says. So to speak.",--,Know What You Mean
1420,7.5,['Michael Noonan'],['Michael Noonan'],"A product has a potentially fatal flaw and must be recalled. Can a little old man from an outback store overcome mechanical failings, physical exhaustion and tough terrain to make it to the customer's house in time? Or will it be too late?",--,Recall
1421,--,['Tetsuo Lumiere'],"['Tetsuo Lumiere', 'Paul Meli']",,--,Bolsa de Basura
1422,--,['Tetsuo Lumiere'],"['Tetsuo Lumiere', 'Paul Meli']",,--,Tu Perro Tu Caca
1423,--,['Tetsuo Lumiere'],"['Tetsuo Lumiere', 'Paul Meli']",,--,Cruzar Ciudadanos
