,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
29,"5,6",['Chito S. Roño'],['Roy Iglesias'],"Aging Carmelo likes telling his grandson, Jobert about his youth in the Philippines. Jobert especially likes the stories about Carmelo's time in World War II, where he helped bury the legendary Yamashita treasure. When Carmelo is kidnapped, it is left to Jobert to go to Manila, using his grandfather's diary to find the treasure and save Carmelo before a Japanese crime... Leer todo",1h 53min,Yamashita: The Tiger's Treasure
30,"4,0",['Breht Gardner'],['Ken Gamble'],,1h 43min,Palco & Hirsch
31,"7,4",['Ho-Cheung Pang'],"['Vincent Kok', 'Ho-Cheung Pang']","During a slack period, contract killers market their business as a consumer experience.",1h 34min,Maai hung paak yan
32,"5,0",['Kant Leung'],"['Kant Leung', 'Wah Siu']",Two police officers (Michael Wong) and (Yoyo Mung) try to stop a deadly assassin from killing again.,1h 33min,Chui hau tung dip
33,"7,6",['Anton Adasinsky'],['Anton Adasinsky'],"One time you find yourself in a park, on a bench, looking into space, and for a second you forget which country you are in, whether it's morning or evening; you are pierced by a pang of loneliness, your heart becomes light and sad, what is important separates out from all the noise of the world, and the slipping, sliding shadows fill with meaning profound... Words com... Leer todo",56min,Süd. Grenze
34,"4,8",['Wei Tung'],"['Jian Zhang Chen', 'Diao Hai Jiang', 'Max Yip']",A TV channel would be the first in the world to send a martial arts contest through the Internet. The competition is the people with completely different backgrounds that will make up for the title.,1h 29min,Reto extremo
35,"2,8",['Shibu Mitra'],"['Madan Joshi', 'Jyothika Mittra', 'Faiz Saleem']","In aid of seeking revenge for his dad's death, against a bandit called Kala Daku, Shankar team up with two men, a police inspector, Mangal and a run away convict, Vijay. Shankar makes his living by driving a truck while Vijay and Mangal masquerade as villagers to surface as saviors to protect the village against Kala's gang. And then Kala and his men abduct Vijay; now... Leer todo",3h 30min,Kasam
36,"6,1",['Billy Hin-Shing Tang'],"['Kim-Fung Cheng', 'Felix Chong']","In order to rescue his friend's daughter, a man must hire a sharpshooter and a martial artist to assist him.",1h 26min,Him gok
37,"4,4",['Shajoon Kariyal'],['Robin Thirumala'],,--,Saivar Thirumeni
38,"5,4",['Kôsuke Suzuki'],"['Tetsuya Koshiba', 'Kôsuke Suzuki', 'Hideo Yamamoto']","Tokyo's Valentine Call is a special kind of phone club. Older salary men pay to wait for calls from teenage girls, discreet meetings are arranged, and handfuls of yen are exchanged for a quick session of enjo kosai, or paid sex with a high school girl. Plenty of girls are doing it-some to make money for fancy, fashionable clothes and accessories, others to set a trap ... Leer todo",1h 45min,Enjo-kôsai bokumetsu undô
39,--,['Ba-Hang Lam'],['Wai-Shing Tam'],,--,Lei yan sha xing zhi ba bai long bing tuan
40,"6,1",['Héctor Molinar'],['Gustavo Rubio'],,1h 25min,Santo: Infraterrestre
41,"8,1",['Jose N. Carreon'],"['Ricky Lee', 'Mel Mendoza-Del Rosario']",Dario is an ex-cop who gets discharged from his job two years ago. Marian is taking month long break from the convent. She finds out that her older sister Mabel has been taken by powerful leaders of a syndicate.,1h 50min,"Ooops, teka lang... Diskarte ko 'to!"
42,"8,1",['Ben Feleo'],DESCONOCIDO,"Bano and Gantso survive in the city by hustling for a living, which sometimes end up in comical mishaps. But their witty hustling finally pays off when they hit the jackpot.",1h 52min,Tusong Twosome
43,--,['Lito Lapid'],['Arturo San Agustin'],,--,"Dugong aso: Mabuting kaibigan, masamang kaaway"
44,"7,6",['Francis Posadas'],['Francis Posadas'],,1h 37min,Huli sa akto
45,--,['Ike Orense'],DESCONOCIDO,,--,Uubusin ko ang bala sa katawan mo
46,--,['J.R. Ledesma'],['Fred Joson'],,--,Panabla
47,--,['Mauro Gia Samonte'],['Mauro Gia Samonte'],,--,Aagos ang dugo
48,"7,7",['Kittikorn Liasirikun'],DESCONOCIDO,,1h 39min,Goal Club
49,--,['Mauro Gia Samonte'],['Mauro Gia Samonte'],,--,"Amasona.... kumakasa, pumuputok"
50,--,['Roland Ledesma'],"['Fred Joson', 'Roland Ledesma']",,1h 35min,Pilak
51,--,DESCONOCIDO,DESCONOCIDO,,--,Sgt. Maderazo: Bayad na pati kaluluwa mo
52,"4,2",['Bong-eun Kim'],['Seong-Hoon Lee'],Flap is a Korean-American gangster who arrives in Korea and befriends a struggling actor named Seung-hwan. They experience a string of one-night stands until Seung-hwan meets Yeong-ju and attempts to make her give up her wild ways.,1h 34min,Booking Sonata
53,"8,5",['Ronnie Ricketts'],DESCONOCIDO,,--,Mano mano 2: Ubusan ng lakas
54,--,['Joven Tan'],['Joven Tan'],,1h 55min,Oras na para lumaban
55,"6,2",['Yôjirô Takita'],['Baku Yumemakura'],"When samurai Hiromasa comes to Seimei, Kyoto's court Onmyoji (a fortune teller in commune with the spirits), to warn of a plot against the government, the two discover that the court's formidable magician, Doson, is indeed planning a coup.",1h 52min,The Ying Yang master
56,--,['Nathan Fackrell'],['Nathan Fackrell'],,--,Neighborhood Watch
57,--,['Kenneth Hau Wai Lau'],['Kenneth Hau Wai Lau'],,--,Siu nin cheong dong
58,"7,8",['Jarek Kupsc'],['Jarek Kupsc'],,1h 36min,Recoil
59,--,['Daniel Samray'],['Daniel Samray'],"A seemingly close group of friends living in a big private building find out they have less than twenty four hours to vacate the property. Not having anywhere to go they start to question the value of their meaningless existence. Karen is seven months pregnant. Her boyfriend, Ian, is currently out of work and is trying to get his life back in order before their baby i... Leer todo",1h 20min,Fallen Dreams
60,--,"[""Jose 'Kaka' Balagtas""]","[""Jose 'Kaka' Balagtas"", 'Jerry O. Tirazona']",,1h 30min,Mahal kita... Kahit sino ka pa!
61,"4,6","['Jon Kirby', 'Mitchell Morgan']","['David Mitchell', 'Jon Kirby', 'Mitchell Morgan']","Two jewel thieves take refuge in a remote village where, unbeknownst to them, the government is about to unleash a virus that turns people into savage killers.",1h 24min,Jack of Diamonds
62,"5,2",['Roland Ledesma'],DESCONOCIDO,,--,Hayup sa sex appeal
63,--,['Baldo Marro'],['Baldo Marro'],A policeman escapes to the province to avoid being framed-up in a gold-bar heist that killed all his companions. He is also being hunted by the robbers who think that he ran away with the gold bars.,--,"Masikip na ang mundo mo, Labrador"
64,"6,5",['Kihachi Okamoto'],DESCONOCIDO,"A lively and rambunctious samurai who has made a successful living out there and developed quite a reputation returns to his hometown just in time for big things to go down. His methods are unconventional, but work. A town businessman has a few ideas and tricks up his sleeve to profit from his presence.",1h 28min,Sukedachi-ya Sukeroku
65,"5,4",['Davood Mir-Bagheri'],['Davood Mir-Bagheri'],The story of life of Abdol-azim Alhasani and his migration to Iran during the tenth Abbasid caliph's reign.,1h 55min,Mosafere rey
66,--,['Enrique Murillo'],DESCONOCIDO,,--,El error del comandante
67,--,['Roland Ledesma'],"['Senen Dimaguila', 'Roland Ledesma']",,--,Hindi sisiw ang kalaban mo
68,"3,5",['Hee-joon Park'],DESCONOCIDO,A Korean cop (Leon Lai) agrees to go back in time to rescue a woman (Eun-hye Park) who looks just like the mysterious beauty haunting his dreams.,1h 40min,Cheonsamong
69,--,['Willy Milan'],"['Willy Milan', 'Marlon Rivero']",,1h 55min,Di kita ma-reach
70,"5,4",['Mohan Sharma'],DESCONOCIDO,,--,Avgat
71,--,['Pong Mercado'],['Senen Dimaguila'],,1h 50min,Bagansya
72,--,['Joey Del Rosario'],"[""Humilde 'Meek' Roxas""]",,1h 35min,Kaaway hanggang hukay
73,"6,0",['Willy Milan'],"['Mario Javier', 'Lanie Gayundato', 'Willy Milan']",,--,Super Idol
