,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
0,Jaume Quiles,Desconocido,"['Chiripajas', 'Paradís', 'Orgánico', 'Terminator: Dark Fate']","['Second Unit Director or Assistant Director', 'Director', 'Writer']",9 wins & 2 nominations,--
1,Gustavo Brandão,Desconocido,"['Chiripajas', 'Paradís', 'Orgánico', 'Terminator: Dark Fate']","['Second Unit Director or Assistant Director', 'Director', 'Writer']",9 wins & 2 nominations,--
2,Natalia Solferini,Desconocido,['Como Comi Darlene'],['Actress'],Desconocido,--
3,Steven Schrab,Desconocido,"['Destroy All Humans', 'Robot Bastard!']","['Actor', 'Art Department', 'Producer']",Desconocido,--
4,Rob Schrab,1969,"['The Sarah Silverman Program.', 'Monster House', 'Rick and Morty', 'Laser Fart']","['Producer', 'Writer', 'Actor']",2 wins & 4 nominations total,--
5,David W. Bailey,Desconocido,"['Lifeline', 'The Degenerates', 'Is It Cake?', ""Chrissy's Court""]","['Editorial Department', 'Additional Crew', 'Writer']",1 win,--
6,Lori Krenck,Desconocido,['Night of the Not So Living Dead Guy'],['Actress'],Desconocido,--
7,Tom Dennis,Desconocido,['Night of the Not So Living Dead Guy'],['Actor'],Desconocido,--
8,Bobbi Degnan,Desconocido,"['Night of the Not So Living Dead Guy', ""Everyman's Story""]",['Actress'],Desconocido,--
9,Lelah Winters,Desconocido,['Night of the Not So Living Dead Guy'],['Actress'],Desconocido,--
10,Constanze Behrends,1981,"['Suck My Dick', '#Breitbandgedöns', 'Dinner for 3', 'Gute Zeiten, schlechte Zeiten']","['Actress', 'Writer', 'Director']",Desconocido,--
11,Oliver Tautorat,1973,"['The Devil Who Called Himself God', 'Wilder Kaiser', 'Anime veloci', 'Marienhof']",['Actor'],Desconocido,--
12,Jörg Franz,Desconocido,['Dinner for 3'],['Actor'],Desconocido,--
13,Jack Aaron,Desconocido,"['Winter Retreat', 'Jack Basketball: World Spy', 'The Death of Tom Tootlesworth', 'The Sound Stage']","['Actor', 'Writer', 'Director']",Desconocido,--
14,Simon Cardoza,Desconocido,"['Hello Gangster', 'Winter Retreat', 'Straight Up', 'Denouement']","['Actor', 'Director', 'Writer']",Desconocido,--
15,Roel Alaniz,Desconocido,"['Donde Esta Marta?', 'Fantasia y traición']","['Actor', 'Sound Department']",Desconocido,--
16,Orlando Colon,Desconocido,['Donde Esta Marta?'],['Actor'],Desconocido,--
17,Norma Garcia,Desconocido,['Donde Esta Marta?'],['Actor'],Desconocido,--
18,Patricia Gonzalez,Desconocido,['Donde Esta Marta?'],['Actress'],Desconocido,--
19,Wally Gonzalez,Desconocido,"['The Texas RailRoad Killer', 'Donde Esta Marta?', 'Fantasia y traición']",['Actor'],Desconocido,--
20,Don Jose,Desconocido,"['Bad Parents', 'Donde Esta Marta?', '3-2-1']","['Actor', 'Soundtrack']",Desconocido,--
21,Rick Laca,Desconocido,"['Donde Esta Marta?', 'Fantasia y traición']",['Actor'],Desconocido,--
22,Maria Dolores Ledezma,Desconocido,['Donde Esta Marta?'],['Actor'],Desconocido,--
23,Jorge Martinez,Desconocido,['Donde Esta Marta?'],['Actor'],Desconocido,--
24,Gilberto Trevi,Desconocido,"['Cronicas de un Cholo', 'Eternal Darkness', 'The Final Blow', 'Donde Esta Marta?']",['Actor'],Desconocido,--
25,M.C. Griffin,Desconocido,"['Our Footloose Remake', 'The Suits', 'Guava Island', 'Mars']","['Animation Department', 'Art Department', 'Writer']",Desconocido,--
26,Austin Brown,Desconocido,"['The Garage Hoppers', 'The Chair', 'Red Balls', 'Punching']","['Editor', 'Visual Effects', 'Editorial Department']",Desconocido,--
27,Stephen James Taylor,Desconocido,"['I Am Here', 'Police Academy 6: City Under Siege', 'Police Academy 5: Assignment: Miami Beach', 'The Journey of Sally Pascal']","['Composer', 'Music Department', 'Producer']",2 wins & 6 nominations total,--
28,Jordan Black,1970,"['Community', 'Halfway Home', 'Ballers', 'Barb and Star Go to Vista Del Mar']","['Actor', 'Writer', 'Producer']",Desconocido,--
29,Karen Bankhead,6,"['Curb Your Enthusiasm', 'I Am Sam', 'Kidding', 'The Parkers']","['Actress', 'Additional Crew', 'Producer']",2 wins,--
30,Yvette Ward,Desconocido,"['Two Degrees', 'When the Truth Hurts, Lie', 'Redemption']",['Actress'],Desconocido,--
31,Elizabeth Marie,Desconocido,"['Pussies from Outer Space', 'A Crime to Remember']",['Actress'],Desconocido,--
32,Wendy Taylor,Desconocido,"['Sator', 'Pussies from Outer Space']",['Actress'],Desconocido,--
33,Matt Brown,1976,"['Guy in the Sky', 'Accordion', 'E-watchamacallit Un-amation', 'This Thing Is Bigger Than the Both of Us: The Secret of String']","['Actor', 'Director', 'Writer']",Desconocido,--
34,Jeff Szpirglas,Desconocido,"['Yeti Beer Film', 'The Boy', 'The Last Cigarette', 'Small Triptych']","['Writer', 'Actor', 'Composer']",Desconocido,--
35,Christos Mouroukis,Desconocido,"['O Akis kai oi Alloi', 'Mia Gamiola Gata to Flevari', 'The Nervous Girl Will Be Nervous (Until the End)', 'Nonsense Part 1: The Bible of Paranoia']","['Director', 'Producer', 'Editor']",Desconocido,--
36,Sophie Baignères,Desconocido,"['Dream Big', 'Gamer', 'A Chance Encounter', 'Crème']","['Actress', 'Writer']",Desconocido,--
37,Peter Cameron,Desconocido,"['Home Kills', 'Below Deck', ""Hell's Kitchen"", 'Lego Masters Australia']","['Producer', 'Director', 'Writer']",6 wins & 12 nominations,--
38,Patrick Leech,Desconocido,"['Toolies', 'Science Fiction Matters']","['Actor', 'Cinematographer', 'Casting Department']",Desconocido,--
39,Angela Griffin,Desconocido,['Science Fiction Matters'],[],Desconocido,--
40,Marina Giménez Devesa,Desconocido,['8 niños calvitos y demasiados Phoskitos'],['Actor'],Desconocido,--
41,Mark Hildreth,1978,"['Resurrection', 'The Tudors', 'V', 'The Looming Tower']","['Actor', 'Sound Department', 'Music Department']",6 nominations,--
42,Michelle Addison,Desconocido,"['So Help Me Todd', 'Family Law', 'The Best Version of Love', 'Love, Fashion, Repeat']","['Actress', 'Costume and Wardrobe Department', 'Writer']",Desconocido,--
43,Erin Karpluk,17,"['Being Erica', 'A Million Little Things', 'Holly Hobbie', 'A Swingers Weekend']","['Actress', 'Producer', 'Soundtrack']",3 wins & 13 nominations,--
44,Daniel Martin,Desconocido,"['Falling Skies', 'Arrow', 'Fringe', 'Human Target']","['Actor', 'Producer']",Desconocido,--
45,Raphael Kepinski,Desconocido,"['Fido', 'Arrow', 'Fringe', 'Doomsday']",['Actor'],Desconocido,--
46,Scott Lane,Desconocido,"['EastEnders', 'The Grid', 'Silent Witness', 'Rosemary & Thyme']",['Actor'],Desconocido,--
47,Sally Monroe,Desconocido,"['Young American Dream', 'The Pizza King', 'Dystopia', 'Little Dreams']",['Actress'],Desconocido,--
