,name,link
54,Shadoe Stevens,"('Shadoe Stevens', 'https://www.imdb.com/name/nm0828770/?ref_=tt_cl_t_2')"
55,Silvio Gonzalez,"('Silvio Gonzalez', 'https://www.imdb.com/name/nm8686293/?ref_=tt_cl_t_1')"
56,Rafael Schubert,"('Rafael Schubert', 'https://www.imdb.com/name/nm9623518/?ref_=tt_cl_t_2')"
57,Raphaela Palumbo,"('Raphaela Palumbo', 'https://www.imdb.com/name/nm8686292/?ref_=tt_cl_t_3')"
58,Giovanna Muricy,"('Giovanna Muricy', 'https://www.imdb.com/name/nm9591380/?ref_=tt_cl_t_4')"
59,Ana Clara Lima,"('Ana Clara Lima', 'https://www.imdb.com/name/nm9590490/?ref_=tt_cl_t_5')"
60,Mauricio Piancó,"('Mauricio Piancó', 'https://www.imdb.com/name/nm9624340/?ref_=tt_cl_t_6')"
61,Daniel Baroni,"('Daniel Baroni', 'https://www.imdb.com/name/nm9591381/?ref_=tt_cl_t_7')"
62,Luca Porto,"('Luca Porto', 'https://www.imdb.com/name/nm11160988/?ref_=tt_cl_t_8')"
63,Allan Miranda,"('Allan Miranda', 'https://www.imdb.com/name/nm11671066/?ref_=tt_cl_t_9')"
64,Laura Evelyn,"('Laura Evelyn', 'https://www.imdb.com/name/nm3375181/?ref_=tt_cl_t_1')"
65,Liam Ballantyne,"('Liam Ballantyne', 'https://www.imdb.com/name/nm11205353/?ref_=tt_cl_t_2')"
66,Nadim Shartouny,"('Nadim Shartouny', 'https://www.imdb.com/name/nm3732984/?ref_=tt_cl_t_1')"
67,Ghazaros Altonyan,"('Ghazaros Altonyan', 'https://www.imdb.com/name/nm12308003/?ref_=tt_cl_t_2')"
68,Zaher Kais,"('Zaher Kais', 'https://www.imdb.com/name/nm9233528/?ref_=tt_cl_t_3')"
69,Sassine Kawzali,"('Sassine Kawzali', 'https://www.imdb.com/name/nm12767287/?ref_=tt_cl_t_4')"
70,Fadia Tannir,"('Fadia Tannir', 'https://www.imdb.com/name/nm12767288/?ref_=tt_cl_t_5')"
71,Catherine Healy,"('Catherine Healy', 'https://www.imdb.com/name/nm0619116/?ref_=tt_cl_t_1')"
72,Christopher M. Dukes,"('Christopher M. Dukes', 'https://www.imdb.com/name/nm0241230/?ref_=tt_cl_t_2')"
73,Rebecca Black,"('Rebecca Black', 'https://www.imdb.com/name/nm4381091/?ref_=tt_cl_t_1')"
74,Sam Lucas Smith,"('Sam Lucas Smith', 'https://www.imdb.com/name/nm3929508/?ref_=tt_cl_t_2')"
75,Samuel David,"('Samuel David', 'https://www.imdb.com/name/nm7840307/?ref_=tt_cl_t_3')"
76,Ethan Simpson,"('Ethan Simpson', 'https://www.imdb.com/name/nm12253067/?ref_=tt_cl_t_1')"
77,Wendy Pennington,"('Wendy Pennington', 'https://www.imdb.com/name/nm1320155/?ref_=tt_cl_t_2')"
78,Skyler McIntosh,"('Skyler McIntosh', 'https://www.imdb.com/name/nm5805496/?ref_=tt_cl_t_3')"
79,Sandra Kay,"('Sandra Kay', 'https://www.imdb.com/name/nm10124047/?ref_=tt_cl_t_4')"
80,Jett Green,"('Jett Green', 'https://www.imdb.com/name/nm5319860/?ref_=tt_cl_t_5')"
81,Lou Williford,"('Lou Williford', 'https://www.imdb.com/name/nm6494669/?ref_=tt_cl_t_6')"
82,Lisa Crosthwait,"('Lisa Crosthwait', 'https://www.imdb.com/name/nm10539373/?ref_=tt_cl_t_7')"
83,Stuart Glass,"('Stuart Glass', 'https://www.imdb.com/name/nm7345409/?ref_=tt_cl_t_8')"
84,Gregory Harrison Smith,"('Gregory Harrison Smith', 'https://www.imdb.com/name/nm6831304/?ref_=tt_cl_t_9')"
85,Chris Tempest,"('Chris Tempest', 'https://www.imdb.com/name/nm3379110/?ref_=tt_cl_t_1')"
86,Momo Wakino,"('Momo Wakino', 'https://www.imdb.com/name/nm11767136/?ref_=tt_cl_t_2')"
87,Thomas Sainsbury,"('Thomas Sainsbury', 'https://www.imdb.com/name/nm2769614/?ref_=tt_cl_t_3')"
88,Hamish Parkinson,"('Hamish Parkinson', 'https://www.imdb.com/name/nm3312641/?ref_=tt_cl_t_4')"
89,Moeka Shiozawa,"('Moeka Shiozawa', 'https://www.imdb.com/name/nm11696536/?ref_=tt_cl_t_5')"
90,Jess Hong,"('Jess Hong', 'https://www.imdb.com/name/nm10810538/?ref_=tt_cl_t_6')"
91,Joseph Hoshino,"('Joseph Hoshino', 'https://www.imdb.com/name/nm11767145/?ref_=tt_cl_t_7')"
92,Lisa Kiyomoto-Fink,"('Lisa Kiyomoto-Fink', 'https://www.imdb.com/name/nm11767138/?ref_=tt_cl_t_8')"
