nombre_actor,url
Roger Coma,https://www.imdb.com/name/nm0173511/?ref_=tt_cl_t_1
Rosa Renom,https://www.imdb.com/name/nm0719773/?ref_=tt_cl_t_2
Yvette Bozsik,https://www.imdb.com/name/nm0102527/?ref_=tt_cl_t_1
Yu Jung Zhang,https://www.imdb.com/name/nm0955450/?ref_=tt_cl_t_2
Jan Nowicki,https://www.imdb.com/name/nm0637434/?ref_=tt_cl_t_3
Tamás Vati,https://www.imdb.com/name/nm0890922/?ref_=tt_cl_t_4
László Gálffi,https://www.imdb.com/name/nm0350619/?ref_=tt_cl_t_5
Iván Kamarás,https://www.imdb.com/name/nm0436442/?ref_=tt_cl_t_6
Gyözö Szabó,https://www.imdb.com/name/nm0843632/?ref_=tt_cl_t_7
Tennessee Williams,https://www.imdb.com/name/nm0931783/?ref_=tt_cl_t_1
James Coburn,https://www.imdb.com/name/nm0000336/?ref_=tt_cl_t_2
Brenda Blethyn,https://www.imdb.com/name/nm0000950/?ref_=tt_cl_t_3
Cynthia Watros,https://www.imdb.com/name/nm0914475/?ref_=tt_cl_t_4
Michael Pitt,https://www.imdb.com/name/nm0685856/?ref_=tt_cl_t_5
Natalie Canerday,https://www.imdb.com/name/nm0133882/?ref_=tt_cl_t_6
Jimmy Bangley,https://www.imdb.com/name/nm0051958/?ref_=tt_cl_t_7
Faye Dunaway,https://www.imdb.com/name/nm0001159/?ref_=tt_cl_t_8
Grainger Hines,https://www.imdb.com/name/nm0385674/?ref_=tt_cl_t_9
Amy Wheaton,https://www.imdb.com/name/nm0923711/?ref_=tt_cl_t_10
Patxi Freytez,https://www.imdb.com/name/nm0294689/?ref_=tt_cl_t_1
Lola Herrera,https://www.imdb.com/name/nm0380454/?ref_=tt_cl_t_2
Sole Olalla,https://www.imdb.com/name/nm1001589/?ref_=tt_cl_t_3
José Bernal,https://www.imdb.com/name/nm1002283/?ref_=tt_cl_t_4
Soledad Olayo,https://www.imdb.com/name/nm0646011/?ref_=tt_cl_t_5
Roger Álvarez,https://www.imdb.com/name/nm1401079/?ref_=tt_cl_t_6
Kurt Max Runte,https://www.imdb.com/name/nm0750343/?ref_=tt_cl_t_1
Matthew Bennett,https://www.imdb.com/name/nm0071922/?ref_=tt_cl_t_2
Noah Beggs,https://www.imdb.com/name/nm0066737/?ref_=tt_cl_t_3
Sandra Steier,https://www.imdb.com/name/nm1044140/?ref_=tt_cl_t_4
