nombre_actor,url
Andrei Klimenko,https://www.imdb.com/name/nm1245022/?ref_=tt_cl_t_10
Danny Huston,https://www.imdb.com/name/nm0396812/?ref_=tt_cl_t_1
Peter Weller,https://www.imdb.com/name/nm0000693/?ref_=tt_cl_t_2
Lisa Enos,https://www.imdb.com/name/nm0257967/?ref_=tt_cl_t_3
Joanne Duckman,https://www.imdb.com/name/nm0239905/?ref_=tt_cl_t_4
Angela Featherstone,https://www.imdb.com/name/nm0004911/?ref_=tt_cl_t_5
Caroleen Feeney,https://www.imdb.com/name/nm0270332/?ref_=tt_cl_t_6
Valeria Golino,https://www.imdb.com/name/nm0000420/?ref_=tt_cl_t_7
Adam Krentzman,https://www.imdb.com/name/nm0470863/?ref_=tt_cl_t_8
Heidi Jo Markel,https://www.imdb.com/name/nm0548335/?ref_=tt_cl_t_9
James Merendino,https://www.imdb.com/name/nm0580669/?ref_=tt_cl_t_10
Samantha Mathis,https://www.imdb.com/name/nm0000526/?ref_=tt_cl_t_1
Gretchen Mol,https://www.imdb.com/name/nm0001543/?ref_=tt_cl_t_2
Matthew Settle,https://www.imdb.com/name/nm0786136/?ref_=tt_cl_t_3
Tom Everett Scott,https://www.imdb.com/name/nm0779866/?ref_=tt_cl_t_4
Joshua Farrell,https://www.imdb.com/name/nm0404361/?ref_=tt_cl_t_5
Michelle Stafford,https://www.imdb.com/name/nm0821325/?ref_=tt_cl_t_6
Hilda van der Meulen,https://www.imdb.com/name/nm0886165/?ref_=tt_cl_t_7
Chris Jagger,https://www.imdb.com/name/nm0415589/?ref_=tt_cl_t_8
Paul Jerome,https://www.imdb.com/name/nm0422036/?ref_=tt_cl_t_9
Cee Cee Michaela,https://www.imdb.com/name/nm0366092/?ref_=tt_cl_t_10
Simon McBurney,https://www.imdb.com/name/nm0564402/?ref_=tt_cl_t_1
Raymond Coulthard,https://www.imdb.com/name/nm0183557/?ref_=tt_cl_t_2
Jacqueline McKenzie,https://www.imdb.com/name/nm0571537/?ref_=tt_cl_t_3
Jonathan Hyde,https://www.imdb.com/name/nm0404993/?ref_=tt_cl_t_4
Barnaby Kay,https://www.imdb.com/name/nm0442997/?ref_=tt_cl_t_5
Leni Parker,https://www.imdb.com/name/nm0662443/?ref_=tt_cl_t_6
Sonya Walger,https://www.imdb.com/name/nm0907427/?ref_=tt_cl_t_7
Andrea Mason,https://www.imdb.com/name/nm0556578/?ref_=tt_cl_t_8
Tim McMullan,https://www.imdb.com/name/nm0573406/?ref_=tt_cl_t_9
