,Tipo,Título,Año de estreno,Mes de estreno,ID
118,Movie,Buga,2018,11.0,tt10462006
119,Movie,The Imposible Mission,2018,,tt10465998
120,Movie,IPC Section: Bharya Bandhu,2018,6.0,tt10467508
121,Movie,Young-ju,2018,11.0,tt10467460
122,Movie,Dragon Blade,2018,6.0,tt10467288
123,Movie,Child of the Kingdom,2018,5.0,tt10471750
124,Movie,Xiao gou nai ping,2018,2.0,tt10473368
125,Movie,El man del porno,2018,11.0,tt10474386
126,Movie,United,2018,5.0,tt10477214
127,Movie,Trushart,2018,6.0,tt10477938
128,Movie,Nariman i ego bratya,2018,,tt10478834
129,Movie,Esperando la carnosa,2018,12.0,tt10492736
130,Movie,3 Days 2 Nights,2018,12.0,tt10490584
131,Movie,Scene and Life,2018,3.0,tt10489432
132,Movie,Hotel Auschwitz,2018,1.0,tt10489552
133,Movie,Dawning,2018,12.0,tt10500532
134,Movie,Wretches,2018,3.0,tt10500352
135,Movie,I am the Procurator,2018,9.0,tt10499430
136,Movie,Sem par nechistykh,2018,12.0,tt10505100
137,Movie,Iwol,2018,1.0,tt10505498
138,Movie,Tsukigime Otoko Tomodachi,2018,6.0,tt10505558
139,Movie,Ne chuzhie,2018,11.0,tt10505424
140,Movie,Pepo: La última oportunidad,2018,3.0,tt10505468
141,Movie,Simon,2018,12.0,tt10515944
142,Movie,The Dependence,2018,5.0,tt10525480
143,Movie,Zhong guo lan kui,2018,6.0,tt10533880
144,Movie,Heroz,2018,6.0,tt10534512
145,Movie,Bosc,2018,,tt10541096
146,Movie,Mechanical Heart,2018,1.0,tt10544554
147,Movie,Swarna Khadgham,2018,7.0,tt10545446
148,Movie,Man Divaneh Nistam,2018,7.0,tt10545476
149,Movie,Barbara Blu,2018,8.0,tt10547830
150,Movie,Eve and Emily,2018,11.0,tt10549056
151,Movie,BlackRose,2018,2.0,tt10549360
152,Movie,The Righteous Path,2018,12.0,tt10565396
153,Movie,Lift,2018,10.0,tt10567498
154,Movie,Douch,2018,2.0,tt10580336
155,Movie,Cherry (A Stephanie James Film),2018,5.0,tt10579610
156,Movie,The Male Gaze: First Kiss,2018,11.0,tt10582738
157,Movie,Bhagat Singh Di Udeek,2018,2.0,tt10590478
158,Movie,13 Andares,2018,5.0,tt10588688
159,Movie,EL: The Movie,2018,5.0,tt10613796
160,Movie,Assalamualaikum Calon Imam,2018,5.0,tt10613684
161,Movie,Mata Dewa,2018,3.0,tt10613838
162,Movie,Kinetics,2018,10.0,tt10614074
163,Movie,Sedução da Carne,2018,,tt10615388
164,Movie,Casos Complejos,2018,11.0,tt10622212
165,Movie,Mataindios,2018,,tt10623116
166,Movie,Trigger,2018,6.0,tt10623980
167,Movie,Love story in XiangXi,2018,5.0,tt10628132
168,Movie,The Forgotten Island,2018,7.0,tt10635054
169,Movie,Envestigatè,2018,6.0,tt10648596
170,Movie,Phantom Islands,2018,,tt10662176
171,Movie,Bagaavat,2018,9.0,tt10681916
172,Movie,Iye the others,2018,11.0,tt10681928
173,Movie,Walking in Your Shoes,2018,9.0,tt10702530
174,Movie,Reencuentro,2018,7.0,tt10706078
175,Movie,Tian Mu,2018,9.0,tt10709176
176,Movie,Light Wraps Me,2018,6.0,tt10703806
177,Movie,Nijanor Gaan,2018,2.0,tt10713992
178,Movie,Winchester,2018,2.0,tt1072748
179,Movie,8 Minutes and 19 Seconds,2018,3.0,tt10739144
180,Movie,Les démons de Ludivine,2018,,tt10773026
181,Movie,A Royal Love Extended,2018,12.0,tt10779152
182,Movie,Cinema Fighters,2018,1.0,tt10780540
183,Movie,Uta Monogatari: Cinema Fighters Project,2018,6.0,tt10786026
184,Movie,Ills of Society,2018,,tt10794648
185,Movie,Bella Danza,2018,10.0,tt10793100
186,Movie,Say Yes,2018,,tt10811704
187,Movie,A Summer in Avignon,2018,4.0,tt10816054
188,Movie,A Summer in Avignon,2018,4.0,tt10816064
189,Movie,Love Promise,2018,5.0,tt10820724
190,Movie,Onnai: A story of Love and Sacrifice,2018,11.0,tt10820954
191,Movie,Bindhass Jeevan,2018,12.0,tt10827342
192,Movie,Janelas,2018,2.0,tt10845376
193,Movie,Anderanik,2018,4.0,tt10846014
194,Movie,Shopner Ghor,2018,5.0,tt10858032
195,Movie,Naagdev,2018,11.0,tt10883252
196,Movie,Love Ke Liye Kuchh Bhi Karega,2018,11.0,tt10883182
197,Movie,Shiv Mandir Wahi Banayenge,2018,12.0,tt10883136
198,Movie,Through a Boy's Eyes,2018,7.0,tt10887516
199,Movie,Lajjo,2018,7.0,tt10883304
200,Movie,Baadal,2018,6.0,tt10883328
201,Movie,La venganza de Ambar,2018,12.0,tt10884322
202,Movie,Naagraj,2018,8.0,tt10883290
203,Movie,Ishq To Pagalpanti Hai,2018,10.0,tt10883192
204,Movie,Rani Hum Ho Gaili Tohar,2018,9.0,tt10883284
205,Movie,Chana Jor Garam,2018,3.0,tt10888716
206,Movie,London Calling: Brit Shorts,2018,4.0,tt10887538
207,Movie,Gangstar Dulhania,2018,8.0,tt10888616
208,Movie,Maai Ke Biruwa,2018,4.0,tt10888700
209,Movie,Sakhi Ke Biyah,2018,5.0,tt10888658
210,Movie,Rudra,2018,1.0,tt10888966
211,Movie,Roots of Good Men,2018,,tt10886732
212,Movie,Shapath,2018,9.0,tt10888628
213,Movie,Deewanapan,2018,2.0,tt10888746
214,Movie,Wanted,2018,5.0,tt10888642
215,Movie,Shaadi Karke Phas Gaya Yaar,2018,1.0,tt10888942
216,Movie,Pakistan Mein Jai Shree Ram,2018,1.0,tt10888888
217,Movie,Hitler,2018,2.0,tt10888866
218,Movie,Hamar Mission Hamar Banaras,2018,5.0,tt10888680
219,Movie,Mil Gayli Chandaniya,2018,4.0,tt10888692
220,Movie,La Grande Famille,2018,,tt10900060
221,Movie,Lacrimosa,2018,12.0,tt10902206
222,Movie,Em Gái Mua,2018,6.0,tt10915948
223,Movie,Prison Guards: Pets,2018,,tt10919518
224,Movie,Bamui muni yeolrinda,2018,8.0,tt10923084
225,Movie,The note,2018,2.0,tt10928090
226,Movie,Black,2018,10.0,tt8810748
227,Movie,Kurzgeschichten,2018,6.0,tt10954222
228,Movie,Theron Madison's Stymie,2018,10.0,tt8442304
229,Movie,Vash repetitor,2018,12.0,tt10971116
230,Movie,Wo shi hao ren,2018,1.0,tt10980814
231,Movie,Agony of a Sister,2018,,tt10980670
232,Movie,Polar Lady Tied Up Beauty Wife Sono Six,2018,,tt10986808
233,Movie,Puisque nous mourrons,2018,,tt10995016
234,Movie,Mehandi Laga Ke Rakhna 2,2018,4.0,tt11006968
235,Movie,Border,2018,6.0,tt11007024
236,Movie,Awara Balam,2018,5.0,tt11007004
237,Movie,Karam Yug,2018,4.0,tt11006976
238,Movie,Balam Ji I Love You,2018,10.0,tt11011668
239,Movie,Hot Bread (Issiq Non),2018,12.0,tt11011540
240,Movie,Maa Tujhhe Salaam,2018,8.0,tt11011654
241,Movie,Mai Re Hamara Uhe Laiki Chahi,2018,4.0,tt11011660
242,Movie,Ghoonghat Mein Ghotala,2018,7.0,tt11011650
243,Movie,Inba Twinkle Lilly,2018,6.0,tt11011484
244,Movie,Raja Jani,2018,7.0,tt11011644
245,Movie,Raja,2018,10.0,tt11011904
246,Movie,Portal dos Sonhos,2018,12.0,tt11016580
247,Movie,Ivanov,2018,9.0,tt11018792
248,Movie,A Mysterious Date,2018,,tt11020282
249,Movie,The Princess Dress,2018,,tt11020280
250,Movie,The Prince of Pies,2018,7.0,tt11030836
251,Movie,"Ireesha, The Daughter of Elf-king",2018,9.0,tt11052142
252,Movie,The Silent Souls,2018,1.0,tt11056034
253,Movie,Laboratory,2018,5.0,tt11058056
254,Movie,Nane Kradod Kampaeng,2018,7.0,tt11062030
255,Movie,Pathis Gang,2018,8.0,tt11064912
256,Movie,Derechos del hombre,2018,11.0,tt11069454
257,Movie,"Liu A, Sing A, and Bi Hong",2018,10.0,tt11085980
258,Movie,Dil Ta Pagal Hola,2018,12.0,tt11092190
259,Movie,Hamaar Raju Superstar,2018,6.0,tt11092122
260,Movie,Balamua Tohre Khatir,2018,8.0,tt11092162
261,Movie,The Girls Are from Tianshui,2018,12.0,tt11137848
262,Movie,Zong heng qian li zhi tie feng huang,2018,12.0,tt11137830
263,Movie,Pani Bani,2018,6.0,tt11139448
264,Movie,Billiard Girl,2018,,tt11137840
265,Movie,Pastarioni,2018,11.0,tt11142622
266,Movie,El Camino De La Rata,2018,11.0,tt11146514
267,Movie,Jangal Raj,2018,12.0,tt11149120
268,Movie,K.C.,2018,11.0,tt11147338
269,Movie,Krishnobibor the Black Hole,2018,12.0,tt11147962
270,Movie,For One of Us,2018,5.0,tt11148860
271,Movie,Tod De Dushman Ki Nali Ram Aur Ali,2018,10.0,tt11149730
272,Movie,Shiva Banal Don,2018,9.0,tt11149792
273,Movie,Khuddar,2018,10.0,tt11149514
274,Movie,Qahar,2018,9.0,tt11150224
275,Movie,Bidhana Nach Nachabe,2018,10.0,tt11149282
276,Movie,Yeh Ishq Bada Bedardi Hai,2018,6.0,tt11150406
277,Movie,Nache Nagin Gali Gali,2018,7.0,tt11150392
278,Movie,Platform No. 2,2018,6.0,tt11150414
279,Movie,Halfa Macha Ke Gail,2018,5.0,tt11150446
280,Movie,Kehu Ba Deewana Naihar Me,2018,7.0,tt11150362
281,Movie,Indian Viraz,2018,10.0,tt11149604
282,Movie,Dansh,2018,6.0,tt11153896
283,Movie,Suno Sasurji,2018,3.0,tt11157636
284,Movie,Young Sangye,2018,,tt11156654
285,Movie,Kaise Kahi Kehuse Pyaar Ba,2018,5.0,tt11157264
286,Movie,Baaghi Ishq,2018,5.0,tt11157170
287,Movie,Hero,2018,5.0,tt11157182
288,Movie,Mohabbat Mith Lagela,2018,3.0,tt11157552
289,Movie,You'll Never Walk Alone,2018,5.0,tt11157776
290,Movie,Sarkai Lo Khatiya Jada Lage,2018,4.0,tt11157312
291,Movie,The Undoing,2018,8.0,tt11169628
292,Movie,Knockout,2018,,tt11185008
293,Movie,Yeong-ha-ui ba-ram,2018,11.0,tt11193160
294,Movie,The Outsiders,2018,8.0,tt11205260
295,Movie,Single Day,2018,10.0,tt11209690
296,Movie,Swieta Faustyna w blasku milosierdzia,2018,10.0,tt11235058
297,Movie,Nirahua Hindustani 3,2018,11.0,tt11238050
298,Movie,Cam Bay - Hoi Tho Cua Quy,2018,1.0,tt11276644
299,Movie,Sertânia,2018,3.0,tt11275354
300,Movie,Farming,2018,10.0,tt1127881
301,Movie,Warm house,2018,10.0,tt11312056
302,Movie,The Job,2018,,tt11322230
303,Movie,Rukuni Koina,2018,12.0,tt11328720
304,Movie,Antha V Chitram,2018,11.0,tt11330340
305,Movie,Daphnis & Chloé,2018,4.0,tt11348982
306,Movie,Tor Pyar Mein,2018,9.0,tt11356704
307,Movie,Vikas Ki Bahu,2018,6.0,tt11360912
308,Movie,A Better Family,2018,11.0,tt11370050
309,Movie,Om Alles,2018,11.0,tt11374002
310,Movie,Death Wish,2018,3.0,tt1137450
311,Movie,Entre Eu e Deus,2018,,tt11395594
312,Movie,Boomerang,2018,,tt11428618
313,Movie,Seema: The Story Untold,2018,,tt11437738
314,Movie,Hojas verdes de Otoño,2018,,tt11439662
315,Movie,The Felt Master and His Daughter,2018,10.0,tt11470368
316,Movie,Nijiiro no Asa ga Kuru made,2018,,tt11478272
317,Movie,Kare Kasif,2018,7.0,tt11497444
318,Movie,Send Me Out,2018,12.0,tt11547120
319,Movie,Unheil,2018,11.0,tt11569310
320,Movie,"Asukhwala, the Pain Hawker",2018,2.0,tt11578282
321,Movie,Zvyozdy,2018,8.0,tt11591732
322,Movie,The Book of Job,2018,5.0,tt11608064
323,Movie,Xolomeo y Pitbulieta,2018,6.0,tt11611364
324,Movie,London Love Story 3,2018,2.0,tt11644348
325,Movie,Rozovoe ili kolokolchik,2018,1.0,tt11695864
326,Movie,Studium smogu,2018,2.0,tt11694716
327,Movie,Wanda's Wonderful World,2018,3.0,tt11697700
328,Movie,Chhutti Jashe Chhakka,2018,6.0,tt11719482
329,Movie,Como un Angel,2018,5.0,tt11718556
330,Movie,All the Pretty Horses,2018,,tt11737768
331,Movie,Coco's,2018,,tt11736952
332,Movie,River of Pearls,2018,,tt11739316
333,Movie,Patent,2018,,tt11744372
334,Movie,Leyla,2018,6.0,tt11767060
335,Movie,Shocking Kung Fu of Huo's,2018,6.0,tt11784470
336,Movie,Pixelia,2018,1.0,tt11791828
337,Movie,Baigal,2018,4.0,tt11799736
338,Movie,Running Again,2018,3.0,tt11808550
339,Movie,Yar Des Punjab Day,2018,7.0,tt11841862
340,Movie,Raju Gentleman,2018,11.0,tt11850926
341,Movie,Oyashirazu,2018,4.0,tt11855030
342,Movie,Best Friends 2018,2018,10.0,tt11879246
343,Movie,Torchlight,2018,9.0,tt11898764
344,Movie,Das Verlangen der Maria D.,2018,12.0,tt11897964
345,Movie,Gyoan,2018,7.0,tt11906298
346,Movie,Mugen Foundation,2018,8.0,tt11908406
347,Movie,Futsû wa hashiridasu,2018,11.0,tt11906988
348,Movie,Wozzeck,2018,8.0,tt11929916
349,Movie,Rebento,2018,,tt11957168
350,Movie,Gracie,2018,3.0,tt1196939
351,Movie,Atharva,2018,7.0,tt11982766
352,Movie,The Choice,2018,9.0,tt12012590
353,Movie,Wiñay,2018,9.0,tt12064984
354,Movie,Hitboy,2018,5.0,tt12099230
355,Movie,Excuse me po,2018,5.0,tt12099366
356,Movie,Square,2018,3.0,tt12105546
357,Movie,Ding Feng Po,2018,10.0,tt12108482
358,Movie,Pesthauch der Menschlichkeit,2018,12.0,tt12116566
359,Movie,On the Rocks,2018,11.0,tt12120720
360,Movie,Alium,2018,3.0,tt12133620
361,Movie,First Man,2018,10.0,tt1213641
362,Movie,Indigo Children,2018,,tt12153638
363,Movie,Operation Crucible,2018,,tt12157938
364,Movie,Kid Normal and the Rogue Heroes,2018,,tt12161960
365,Movie,Dhalinyaro,2018,,tt12167458
366,Movie,Ghetto Bred,2018,6.0,tt12170640
367,Movie,Pang MMK,2018,10.0,tt12170328
368,Movie,Opgepast!,2018,4.0,tt12173960
369,Movie,If This Is My Story,2018,12.0,tt12200156
370,Movie,A Conscious Battle,2018,10.0,tt12211902
371,Movie,Sursum Radiografías del Postconflicto,2018,,tt12226946
372,Movie,Vagrant,2018,10.0,tt12261314
373,Movie,Beautiful Boy,2018,11.0,tt1226837
374,Movie,Forget to Die,2018,9.0,tt12308424
375,Movie,Kitanaka suketchi,2018,7.0,tt12307938
376,Movie,Paralisis,2018,5.0,tt12309472
377,Movie,Cidade Dormitório,2018,8.0,tt12321014
378,Movie,Sex & Water,2018,11.0,tt12318844
379,Movie,The Curators of Dixon School,2018,,tt12325320
380,Movie,ShobBahika,2018,,tt12331044
381,Movie,Where Hands Touch,2018,5.0,tt1235187
382,Movie,Tune Out,2018,9.0,tt12379100
383,Movie,Trastornos del sueño,2018,10.0,tt12379824
384,Movie,Apocalypse Society,2018,8.0,tt12381750
385,Movie,Bravo 2: Machinima Heroes,2018,6.0,tt12395520
386,Movie,A Fold in Space,2018,,tt12404002
387,Movie,Angels Inc,2018,,tt12410016
388,Movie,Libertos: o preço da vida,2018,3.0,tt12482906
389,Movie,A fight to live 2,2018,1.0,tt12491528
390,Movie,A fight to live 1,2018,1.0,tt12491472
391,Movie,Solo,2018,,tt12492582
392,Movie,A fight to live 3,2018,1.0,tt12492612
393,Movie,The Loft House,2018,6.0,tt12498852
394,Movie,Casa de fieras,2018,10.0,tt12530664
395,Movie,Ek Kassh,2018,5.0,tt12539226
396,Movie,Hume Jeene Do,2018,1.0,tt12539530
397,Movie,Devil's Chest,2018,7.0,tt12560552
398,Movie,Sef/chef,2018,,tt12557760
399,Movie,Le Rideau pourpre,2018,5.0,tt12580412
400,Movie,Aleya,2018,6.0,tt12587636
401,Movie,Lodi,2018,,tt12588030
402,Movie,Den of Thieves,2018,2.0,tt1259528
403,Movie,Badla Hindustani Ka,2018,8.0,tt12600358
404,Movie,Infinite.,2018,9.0,tt12617838
405,Movie,The Survive,2018,3.0,tt12665576
406,Movie,Schaum Und Sand (Ramel o Zabad),2018,8.0,tt12679550
407,Movie,3000,2018,3.0,tt12687332
408,Movie,1098,2018,6.0,tt12686702
409,Movie,Hell is Light,2018,11.0,tt12690012
410,Movie,A+,2018,10.0,tt12693352
411,Movie,Aa Ondu Dina,2018,2.0,tt12698702
412,Movie,Annam Parabrahma Swaroopam,2018,3.0,tt12708744
413,Movie,Opasnie tanci,2018,8.0,tt12730536
414,Movie,La cuarta dimensión,2018,,tt12729688
415,Movie,Premi Diwana,2018,9.0,tt12739138
416,Movie,Maduve Dibbana,2018,4.0,tt12740988
417,Movie,Naanu L/O Jaanu,2018,2.0,tt12744706
418,Movie,Seventeen and A Half Years Old,2018,7.0,tt12746878
419,Movie,Nee Nanna Usiru,2018,7.0,tt12750026
420,Movie,Olu Munsami,2018,5.0,tt12750552
421,Movie,Preethiya Rayabhari,2018,3.0,tt12753404
422,Movie,6 To 6,2018,4.0,tt12753704
423,Movie,Devrantha Manushya,2018,2.0,tt12766730
424,Movie,Edakallu Guddada Mele,2018,5.0,tt12771318
425,Movie,Dirty Mind,2018,12.0,tt12788672
426,Movie,Jung Siyasat Ke,2018,8.0,tt12794750
427,Movie,Tansuiga no kiseki [Taipei-hatsu metoroshirizu tansuieki],2018,,tt12841718
428,Movie,"Boku wa boku, kujira wa kujira de, oyoide iru.",2018,,tt12838604
429,Movie,The Writer,2018,10.0,tt1284535
430,Movie,Kadhalargal Valibar Sangam,2018,5.0,tt12874618
431,Movie,18.05.2009,2018,5.0,tt12874624
432,Movie,A Roda da Vida,2018,9.0,tt12880790
433,Movie,Maya Bhavanam,2018,7.0,tt12881040
434,Movie,Puthiya Bruce Lee,2018,5.0,tt12881014
435,Movie,Roja Maaligai,2018,7.0,tt12881030
436,Movie,Pei Irukka Illaya,2018,5.0,tt12880998
437,Movie,Ondikatta,2018,7.0,tt12881054
438,Movie,The Cave,2018,2.0,tt12888470
439,Movie,The Guernsey Literary Society,2018,4.0,tt1289403
440,Movie,Parashat Onkelos,2018,,tt12892286
441,Movie,Satya Gang,2018,4.0,tt12915964
