,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
245,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt10171578
246,7.7,['Matías Gueilburt'],DESCONOCIDO,"43 students disapeared in Ayotzinapa, Mexico. This documentary explains how and why this happened.",--,Los días de Ayotzinapa (The 43s)
247,3.9,['Rajendra Talak'],"['Ajit Deshmukh', 'Rukma Prabhudesai']","Vikram's (Sainkeet Kamat) father, an artist, paints a set of five paintings on the concept of five natural elements. But a rich art dealer Samar Bandodkar (Milind Gunaji), wants to obtain these by all means and Vikram is on a mission to stop him.",1h 25m,Miranda House
248,--,['Jason Gerbay'],DESCONOCIDO,Chronicling the past and present of Stanley Ipkiss.,--,Stanley
249,--,['Sachindra Sharma'],DESCONOCIDO,"Balaa is a Marathi movie starring Upendra Limaye, Kranti Redkar, Vikram Gokhale and Suhasini Mulay in prominent roles. It is a drama directed and written by Sachindra Sharma with Rakesh Singh as producer, forming part of the crew.",2h 6m,Baalaa
250,--,['Zach Cortino'],DESCONOCIDO,"Conrad Harland is the country's top astronomer in the year 2035, and he alone has access to the most powerful observatory in the world. One night both he and his co-worker Michelle Quinton discover a catastrophic event on the horizon that is sure to bring the end the universe. And with them having the most powerful view into the stars, nobody else will see it coming u... Read all",--,Equinox
251,--,['Abdullah Oguz'],DESCONOCIDO,"Mustafa Kemal and his comrades, who set out for the sake of their lives to save the occupied lands in Anatolia, went to Samsun in 1919 on the Bandirma Ferry.",--,Ilk Adim: 1919
252,6.2,DESCONOCIDO,DESCONOCIDO,The Omnibus movie is composed of 4 episodes about human beings and cats.,1h 38m,"Hello, My Cat"
253,4.8,['V.M. Vinu'],DESCONOCIDO,After retiring from military service kuttymama has became a nuisance to the all the people of his village by his gimmick and blunder6,2h 14m,Kuttymama
254,--,['Nikko Arcega'],"['Nikko Arcega', 'Clara Angelica Quevedo']",,1h 41m,Love;Life
255,--,['Runa Chowdhury'],DESCONOCIDO,,--,Leela
256,7.4,['Albert Birney'],"['Albert Birney', 'Marnie Ellen Hertzler']",Tux and Fanny are two friends living together in the forest and these are their adventures.,1h 22m,Tux and Fanny
257,--,['Ougie Pak'],DESCONOCIDO,"After failing his university entrance exams for the third year in a row, a young Korean man travels to New York City to visit his long-distance girlfriend.",--,Sunrise/Sunset
258,8.0,['Dung Luong Dinh'],DESCONOCIDO,A young man who works as a slaughterman is forced to take revenge on three strangers that brutally attack his simple life.,1h 14m,Drowsy City
259,7.7,['Ashraf Hamza'],DESCONOCIDO,"Srinivasan, a balding professor conscious about his looks, faces a tough time finding the right girl to marry. After learning about his friend Raheem's love story, Srinivasan regains his confidence.",2h,Thamaasha
260,5.8,['Johnny Gogan'],"['Johnny Gogan', 'Nick Snow']","Was Arthur Rudolph, a central figure in the first Moon Landing, also involved in war crimes involving the death of 20,000 slave labourers in World War 2?",1h 15m,Prisoners of the Moon
261,5.8,['Easy Ferrer'],DESCONOCIDO,"Nel never forgets, literally. His condition called Hyperthymesia makes him remember everything in the past, and he uses it for his work as a journalist. He is plunged into an enigmatic journey when one day, his social media account pops up throwback posts he supposedly wrote about a girl who apparently broke his heart. Philippines Tagalog movie.",1h 37m,Finding You
262,7.4,['Pawo Choyning Dorji'],DESCONOCIDO,An aspiring singer living with his grandmother in the capital of Bhutan dreams of getting a visa to move to Australia.,1h 50m,Lunana: A Yak in the Classroom
263,--,['Xiaoli Shao'],"['Ge Jin', 'Xiaoli Shao', 'Lifu Wang']","The boss of a circus and the girl from a rich family who is a animal welfare advocate, argue and fight for the circus animals. They fall in love finally.",1h 48m,My Dear Elephant
264,--,['Gabriel Reyes'],DESCONOCIDO,"A drama with fantastic elements in which a world of love, dream and chemistry are mixed together.",1h 10m,La Fundación de Lucía
265,5.6,['Davide Del Degan'],DESCONOCIDO,"Calogero is in the witness protection program after having witnessed a mafia murder in Sicily. With a new identity, he is sent to Sauris. However, he soon finds out the killer he had reported started a new life there too.",1h 25m,Paradise
266,6.1,['Klaudia Reynicke-Candeloro'],DESCONOCIDO,"Suffering from agoraphobia, Seconda is unable to leave her house. When she finally succeeds, new challenges push this assertive super anti-heroine's limits even further.",1h 23m,Love Me Tender
267,6.0,['Sasha Lidagovsky'],"['Irina Chernova', 'Bohdan Pankrukhin']","Young girl Liza is struggling with her standard, routine life and, after one sudden incident, enters abandoned building used as squat house...",1h 40m,Squat32
268,--,['Laura Schimmenti'],DESCONOCIDO,The last Red House is a Vr 360° cinematic experience that evoke the dramatic story of Carmelo and Netty Onorato during the 2°World War days.,--,The last red house
269,6.0,['Disa Zhang'],DESCONOCIDO,"Geng Geng was an ordinary girl before her entry to the best high school in the province by chance. She doesn't like her life there until she meets Yu Huai, her seatmate--their names make up the phrase ""Geng geng yu huai"", which means ""Unforgettable memories"".",1h 49m,My Best Summer
270,--,['Punik Shetty'],DESCONOCIDO,,--,Virupaa
271,7.0,['Nate Parker'],DESCONOCIDO,"A Marine veteran working as a school janitor tries to mend his relationship with his son after a divorce. When his son is killed by a police officer found innocent without standing trial, he takes matters into his own hands.",1h 30m,American Skin
272,6.4,['Kivanç Sezer'],DESCONOCIDO,Onur is sacked from his job as manager of a pharmaceutical company and is not worried. But his wife Bahar is. Onur doesn't listen to her and becomes indifferent to her and the world around him. He'd rather be surrounded by more zebras.,1h 34m,La Belle Indifference
273,6.1,DESCONOCIDO,DESCONOCIDO,"When his space shuttle flight has an accident, an astronaut remembers the lessons his father taught him growing up.",2h 27m,Looking Up
274,7.5,['Seema Pahwa'],DESCONOCIDO,"Bauji's entire family comes under one roof for 13 days after he passes away. We get a glimpse of their dynamics, politics and insecurities as each one of them is on their journey to discover their own selves and truth.",1h 55m,Ramprasad Ki Tehrvi
275,4.5,['Manouchehr Hadi'],"['Saeid Shahi', 'Babak Kaydan', 'Meysam Kaydan']",Rahman is the custodian of a company and the doctor has told him that he will die soon. He decides to with the help of his friend Anush make a plan and inherit some money for his family.,1h 51m,Rahman 1400
276,--,['Mike Hermosa'],DESCONOCIDO,"A girl with no memory, falls in love with the man who is responsible for her rehabilitation. But neither of them know her past or where she came from.",--,Wildflower
277,8.4,['Laurice Guillen'],DESCONOCIDO,Carding and Luisa are a married couple torn between their love for each other and issues of their respective families.,1h 52m,Man & Wife
278,5.9,['Marian Valev'],DESCONOCIDO,"Zhanet, an ex-champion in gymnastics and a current stripper, endures drastic changes in her life as she lives through a family tragedy and becomes a victim of violence. In an attempt to find her place under the sun, she must stand up against her mightiest enemy: herself.",1h 40m,Bad Girl
279,--,['Bones Harrison'],DESCONOCIDO,"One twin comes back from jail, while the other has lost herself. It all plays out on one strange farm.",1h 46m,Blackwell
280,--,['Blessing Effiom Egbe'],DESCONOCIDO,Ten Virgin maidens engaged to a great prince must remain faithful to him while he is away on an infinite journey,1h 39m,The Ten Virgins
281,7.6,['Ladj Ly'],"['Ladj Ly', 'Giordano Gederlini', 'Alexis Manenti']","A cop from the provinces moves to Paris to join the Anti-Crime Brigade of Montfermeil, discovering an underworld where the tensions between the different groups mark the rhythm.",1h 44m,Les Misérables
282,7.2,['Kantemir Balagov'],"['Kantemir Balagov', 'Aleksandr Terekhov']","1945, Leningrad. WWII has devastated the city, demolishing its buildings and leaving its citizens in tatters, physically and mentally. Two young women search for meaning and hope in the struggle to rebuild their lives amongst the ruins.",2h 10m,Beanpole
283,--,DESCONOCIDO,DESCONOCIDO,"After being disqualified, the championship becomes personal.",--,Sailing Lessons 2
