,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
311,1.9,['Mark Polonia'],DESCONOCIDO,A cursed survivor of killings at the Amityville House brings evil to a small island where bizarre genetic experiments are carried out on humans and animals in a secret women's prison.,1h 10m,Amityville Island
312,5.4,['Kinder Singh'],DESCONOCIDO,"Gandhi returns home from a ten year long sentence in jail, only to realise that his village is plagued with gang wars, drug dealers, casteism, poverty and dirty politics. He makes it his personal mission to save the village, but will he be able to save his family alongside it? Or will they, including his beloved sister Balli, get sidelined?",2h 15m,Gandhi Fer Aa Gea
313,--,['Curtis Everitt'],"['Curtis Everitt', 'Jeremy Hammack']","Special Agent Owl infiltrates an underground criminal organization where his contact Komodo introduces him to prize-fighting, human trafficking, and illegal drug smuggling.",--,Dragon Claw
314,8.2,['David Christians'],DESCONOCIDO,1.0 - An agent in NASA receives a packet by a new nation created from Hitler's escape; has armed a doomsday device. Agent Schwartz turns to his Russian family as he tries to diffuse the weapon of mass destruction.,--,Anonymous Vol. 1 - The Dreamland Adventures the Mysteries of Atlantis
315,9.0,['Alen Alic'],DESCONOCIDO,The complete original Super Mario Bros. Z series remastered in 4K video quality in one video.,3h 20m,Super Mario Bros. Z 4K
316,6.1,['Abu Aleeha'],DESCONOCIDO,Its a comedy action revolves around the Karachi's situation.,2h,Once Upon a Time in Karachi
317,--,DESCONOCIDO,DESCONOCIDO,,--,The Patrol
318,6.9,['Adam Lipsius'],DESCONOCIDO,,--,Hurricane Tsunami: Oceans Rising
319,--,DESCONOCIDO,DESCONOCIDO,,--,Dragon Monster Killer
320,--,['G.N.R. Krishna'],DESCONOCIDO,,--,Autowala Zindabad
321,--,['N. Seetaram'],DESCONOCIDO,,--,Saindhavudu
322,--,['Sudheer Raju'],DESCONOCIDO,,--,Jalsa Rayudu
323,--,['Journalist Prabhu'],DESCONOCIDO,,--,Mondodu
324,--,['S. Ram Kumar'],DESCONOCIDO,,--,Sandatlo Sademiya
325,--,['Arjun Kumar'],DESCONOCIDO,,2h 11m,Baggidi Gopal
326,--,['Curtis Everitt'],"['Addison Barton', 'Curtis Everitt', 'Jeremy Hammack']","Snake goes head-to-head with Wolf, a rogue agent whose endgame is to bring down the secret agency known as the Zoo.",--,Blunt Vengeance
327,--,['Nani Krishna'],DESCONOCIDO,The most corrupted police officer takes U-turn to save his father's last wish.,--,Naatu Kodi
328,6.6,['Sudheer Raju'],DESCONOCIDO,Fresh look sensitivical comedy drama with humour touch in ending .in present society everybody run for money but in this movie hero run for money in trapping heroine . Finally finding what he played it return back . Comedy with dramatical touch is major asset in this Movie.,2h 16m,Kothala Rayudu
329,--,['Akella Vamsikrishna'],DESCONOCIDO,,--,Srikanth Untitiled Movie
330,--,['Rishab Shetty'],DESCONOCIDO,,--,Rudraprayag
331,--,['Arjun Krshn'],DESCONOCIDO,,--,DAD - Devaraj Alias David
332,--,['Fahad Olayan'],"['Fahad Olayan', 'Catherine Steveley']",,--,Lockdown
333,5.0,DESCONOCIDO,DESCONOCIDO,"During WW2, Nazi Germany uses undead zombie super soldiers against American forces. American GIs battle against the Nazi super weapon during the ""Battle of the Bulge"", in the Winter of 1944. Despite the heroic effort of the Allies, the zombie technology falls into the hands of other enemy countries after WW2.",2h 55m,Natzee Zombie Carnage
334,--,"[""Chris O'Neill""]",DESCONOCIDO,"A low level criminal finds himself involved with the beautiful but damaged sister of a psychotic drug kingpin, setting them all on a collision course on the dangerous streets of LA.",1h 25m,Track Down
335,--,['Bash Dinsmore'],DESCONOCIDO,The Saken team and their allies must be willing to sacrifice everything in an attempt to defeat the powerful Korrag before his blitz of devastation and ruin puts an end to reality as we know it.,--,Saken: United
336,--,['Keaton Punch'],DESCONOCIDO,,--,Double Fault
337,--,['Ronnie Tyrone Lee'],DESCONOCIDO,Detective Striker fights to keep himself and the witness to the murder of the cities district attorney alive while the are chase by a special task force wanting to tie up loose ends.,1h 12m,Federal Execution
