,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
47,Joyce Mhango Chavula,Desconocido,"['Nyasaland', 'Lilongwe', 'No More Tears', 'Submerged']","['Actress', 'Director', 'Producer']",1 nomination,--
48,Gloria Teeyah Kadam'manja,Desconocido,['Tsanzo'],['Actress'],Desconocido,--
49,Thoko Rachel Kamenya,Desconocido,"['Atsikana', 'Tsanzo']",['Actress'],Desconocido,--
50,Amos Kudzala,Desconocido,['Tsanzo'],['Actor'],Desconocido,--
51,Maclean Mbepula,Desconocido,['Tsanzo'],['Actor'],Desconocido,--
52,Beatus Ble Msamange,Desconocido,"['Tsanzo', 'Fatsani - Tale of Survival', 'Atsikana', 'Anansi']","['Actor', 'Director', 'Producer']",Desconocido,--
53,Marcel Mtambo,Desconocido,['Tsanzo'],"['Actor', 'Writer']",Desconocido,--
54,Daina Zakochera,Desconocido,"['Atsikana', 'Tsanzo']","['Actress', 'Producer']",Desconocido,--
55,Jonathan Brunson,Desconocido,"['Dissolved: A Game of Truth', 'Radio Silence', 'Simply... Understanding', ""God's Not Here""]","['Actor', 'Director', 'Writer']",3 wins,--
56,Steve Piper,1969,"['M3ntal State', 'Snakes and Ladders', 'Chicago P.D.', 'Through Eyes of Grace']","['Actor', 'Additional Crew']",Desconocido,--
57,Kevin Romano,Desconocido,"['Oh, Marie', 'Grasping Straws', 'Earlybird', 'Yeah, I Can Cook']","['Actor', 'Writer', 'Director']",Desconocido,--
58,Kerric Stephens,Desconocido,"['Lesser Beasts', 'Life of the Party', 'The Killers Club', 'The Draugr']",['Actor'],Desconocido,--
59,Arkadii Archie Maznev,Desconocido,"['Origin', 'Lady Like']",['Actor'],Desconocido,--
60,Blake Lafita,Desconocido,[],[],Desconocido,--
61,Lexi McCain,Desconocido,"['Artificial Connection', 'The Toaster', 'Where the Pieces of My Life Belong', 'The Things That Wait for Us']",['Actress'],Desconocido,--
62,Katerina McCrimmon,Desconocido,"['Likable Egoists', 'Where the Pieces of My Life Belong', 'The Broadway Show with Tamsen Fadal']",['Actor'],Desconocido,--
63,Gerard Shaka,Desconocido,"['Restore', 'Where the Pieces of My Life Belong', 'Pas De Deux']",['Actor'],Desconocido,--
64,Caleb Windstrup,Desconocido,"['Hell and Back Again', 'Where the Pieces of My Life Belong', 'Moot', 'The Things That Wait for Us']",['Actor'],Desconocido,--
65,Nicole Galdámez,Desconocido,"['Perdido', 'Adopción']",['Actress'],Desconocido,--
66,Alonso Ortíz,Desconocido,[],[],Desconocido,--
67,Teresina Ortíz,Desconocido,['Adopción'],['Actress'],Desconocido,--
68,Francisco Yanes Munguía,Desconocido,['Adopción'],['Actor'],Desconocido,--
69,Francisco Yanes Puigbo,Desconocido,"['Perdido', 'Adopción']",['Actor'],Desconocido,--
70,Akindele Akinwonmi,Desconocido,['I Am Somebody'],['Actor'],Desconocido,--
71,Samuel Asa'ah,Desconocido,"['Zubaida', 'Bloodhound', 'Finding Hubby', 'Backup Wife']","['Actor', 'Writer']",Desconocido,--
72,Olushola Bamidele,Desconocido,"['Bailey Is Burning', 'Pink Lounge', 'Boyfriend Experience', 'I Am Somebody']","['Producer', 'Actor']",Desconocido,--
73,Nworie Chigbogu,Desconocido,['I Am Somebody'],['Actor'],Desconocido,--
74,Efe Henry,Desconocido,[],[],Desconocido,--
75,Genevieve K. Johnson,Desconocido,['I Am Somebody'],['Actress'],Desconocido,--
76,Ojomma Laurena,Desconocido,['I Am Somebody'],['Actress'],Desconocido,--
77,Ruth Nkweti,1989,"['Last Tango in Abuja', 'Obsession', 'Seven', 'A Little Lie, a Little Kill']","['Actress', 'Writer', 'Producer']",Desconocido,--
78,Uti Nwachukwu,Desconocido,"['Breathless', 'One Night Stand', 'Weekend Getaway', '10 Days in Sun City']","['Actor', 'Producer']",1 nomination,--
79,Ian Banda,Desconocido,[],[],Desconocido,--
80,Edwin Chonde,Desconocido,"['The Boy Who Harnessed the Wind', 'Fatsani - Tale of Survival', 'Virginity Policy', 'Submerged']",['Actor'],Desconocido,--
81,Patricia Mkambwe,Desconocido,['Manda Aliza'],['Actress'],Desconocido,--
