,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
102,Annemarie Beede,Desconocido,['Doppelgangster'],['Actress'],Desconocido,--
103,Gordon Bohn,Desconocido,['Doppelgangster'],['Actor'],Desconocido,--
104,Ned Boudreaux,Desconocido,['Doppelgangster'],['Actor'],Desconocido,--
105,Liam Fitzpatrick,Desconocido,"['Mars: Tabris', 'Doppelgangster']","['Actor', 'Visual Effects']",Desconocido,--
106,Irene Hodges,Desconocido,['Doppelgangster'],['Actress'],Desconocido,--
107,John Hodges,Desconocido,['Doppelgangster'],['Actor'],Desconocido,--
108,Michael Horton,Desconocido,['Doppelgangster'],['Actor'],Desconocido,--
109,Edward Hursey,Desconocido,['Doppelgangster'],['Actor'],Desconocido,--
110,Katie Hursey,Desconocido,['Doppelgangster'],['Actress'],Desconocido,--
111,Michael Mueller,Desconocido,"['Serious and Organised', 'Doppelgangster']",['Actor'],Desconocido,--
112,Bill,Desconocido,['Not Quite Cricket'],[],Desconocido,--
113,Lachlan Bosi,Desconocido,['Not Quite Cricket'],['Actor'],Desconocido,--
114,Alex Gibson-Giorgio,Desconocido,"['One Day', 'Not Quite Cricket', 'Development Hell']",['Actor'],Desconocido,--
115,Deborah Piper,Desconocido,"['The Black Balloon', 'Love My Way', 'Sons and Daughters', 'Home and Away']",['Actress'],Desconocido,--
116,Mary-Anne Halpin,Desconocido,"['Gene-X', 'Coffee', 'Get Free', 'The Young and the Restless']","['Actress', 'Production Manager', 'Additional Crew']",Desconocido,--
117,Jenny Cross,Desconocido,"[""Potatoes: A Layman's Guide""]",['Actress'],Desconocido,--
118,Geeta Iyer,Desconocido,"[""Potatoes: A Layman's Guide""]",['Actress'],Desconocido,--
119,Helena Smartt,Desconocido,"[""Potatoes: A Layman's Guide""]",['Actress'],Desconocido,--
120,Stephanie Silverman,Desconocido,"['Toolbox Murders', 'Rain Without Thunder', 'After Sex', 'The Bridge']",['Actress'],Desconocido,--
121,Mary Fanto,Desconocido,['Influence'],['Actress'],Desconocido,--
122,Mitchell Roche,1977,"['The Invention of Lying', 'Lucky Stiff', 'Intergalactic Idol', ""The Solo's""]","['Actor', 'Writer', 'Camera and Electrical Department']",1 win,--
123,Jenny Mollen,1979,"['Kidnapping Caitlynn', ""My Best Friend's Girl"", 'Crazy, Stupid, Love.', 'Crash']","['Actress', 'Writer', 'Producer']",1 win,--
124,Taylor Johns,Desconocido,"['Influence', 'Independent Lens', 'From Chameleons to Chocolate']",['Actor'],Desconocido,--
125,ErinRose Widner,Desconocido,"['Meeple People', ""Grey's Anatomy"", 'The One I Wrote for You', 'The Women of Wall Street']","['Producer', 'Writer', 'Actress']",4 wins & 4 nominations,--
126,Jayme Jensen,Desconocido,"['Takers', 'Meet Dave', 'The 40-Year-Old Virgin', 'The Princess Diaries 2: Royal Engagement']","['Stunts', 'Actress']",Desconocido,--
127,Erin Leigh Price,Desconocido,"['Buffy the Vampire Slayer', 'The Singing Forest', 'Farm Sluts', 'The Leftovers']",['Actress'],Desconocido,--
128,Katie Krieder,Desconocido,['Influence'],['Actress'],Desconocido,--
129,Alisha Miles,Desconocido,"[""The Creator's Game"", 'Bram and Alice', 'Influence', 'Promised Land']",['Actress'],Desconocido,--
130,Lena Armstrong,Desconocido,"['Law & Order', 'Kink, Inc.', 'Keep Your Nose Clean', 'Stuart Bliss']","['Actress', 'Producer', 'Writer']",Desconocido,--
131,Mike Berg,Desconocido,"[""Lightin' Up!""]",['Actor'],Desconocido,--
132,Wendy Clifford,Desconocido,"['8 Heads in a Duffel Bag', 'Buffy the Vampire Slayer', '911 Can I Shoot Him', 'Tusks']","['Actress', 'Producer']",Desconocido,--
133,Chris Dardozzi,Desconocido,"[""Lightin' Up!""]",['Music Department'],Desconocido,--
134,Ben Eaglin,Desconocido,"['Killer by Nature', 'The Erotic Samurai', 'Mitzvah Communion', 'Lost Voyage']","['Actor', 'Sound Department', 'Location Management']",Desconocido,--
135,Tymothi Howard,Desconocido,"[""Lightin' Up!""]",['Actor'],Desconocido,--
136,Lisa Marie,Desconocido,"[""Lightin' Up!""]",['Actress'],Desconocido,--
137,Tacha Moore,Desconocido,"[""Lightin' Up!""]",['Actress'],Desconocido,--
138,Sam Narvell,Desconocido,"[""The Solo's"", 'Intergalactic Idol', 'Vageniuses', 'The WiseGuys']","['Actor', 'Additional Crew']",Desconocido,--
139,Brad Newman,Desconocido,"[""Lightin' Up!""]",['Actor'],Desconocido,--
140,Jacob Ewing,Desconocido,"['Penny Antics', 'Access Gorywood']","['Actor', 'Cinematographer']",Desconocido,--
141,Joshua Ewing,Desconocido,"['Access Gorywood', 'Penny Antics']",['Actor'],Desconocido,--
142,Hannah Judd,Desconocido,"['The Hatchet Man of Wehr Road', 'Access Gorywood', 'Math Registration Massacre', 'MMFJ Community Unity March 1998']","['Actress', 'Producer']",Desconocido,--
143,Lee Ann Judd,Desconocido,['Access Gorywood'],['Actress'],Desconocido,--
144,MyKayla Judd,Desconocido,"['Access Gorywood', 'Penny Antics']",['Actress'],Desconocido,--
145,Adam Bobrow,Desconocido,"['The Mullets', 'Marvel: Ultimate Alliance 2', 'Saints Row', 'Code Geass']","['Actor', 'Additional Crew']",Desconocido,--
146,David Neiman,Desconocido,"['Reality Boom', 'The Class: From Actor to Icon', 'Alibi']","['Actor', 'Director', 'Writer']",Desconocido,--
147,Tom Vick,Desconocido,"['Dear John', 'Jarhead', 'Net Worth', 'Angel Camouflaged']","['Actor', 'Additional Crew']",Desconocido,--
148,Pete Hartman,Desconocido,"[""The World's Most Paranoid Man""]",['Actor'],Desconocido,--
149,Evil Tape Rewinders,Desconocido,"[""The World's Most Paranoid Man""]",[],Desconocido,--
150,J. Budro Partida,Desconocido,"['Bloody & Bruised: The Untold Story of the Back Room', 'Sunset at Dry Creek', 'In the Trench: Haunted', 'Bewere']","['Director', 'Editor', 'Producer']",5 wins & 6 nominations,--
151,Gastón Borgna,Desconocido,['Postre de domingo'],['Actor'],Desconocido,--
152,Alejandra Frías,Desconocido,"['Postre de domingo', 'Sinestesia']",['Actress'],Desconocido,--
153,Daniel Armstrong,Desconocido,"['SheBorg', 'From Parts Unknown', 'Nova Star', 'MurderDrome']","['Director', 'Writer', 'Producer']",1 win,--
154,Bobby Bright,Desconocido,"['Queen of the Damned', 'Blue Heelers', 'Only the Brave', 'Homicide']","['Actor', 'Soundtrack']",Desconocido,--
155,Victor Kaufold,Desconocido,"['Stronger', 'Bridesburg', 'The Affair', 'Dog Day Afternoons']","['Additional Crew', 'Writer', 'Actor']",Desconocido,--
156,Mike Vernazza,Desconocido,"[""When Everything's Gone"", 'Nomad', 'Episode 50', 'Saint Michael of the City']","['Sound Department', 'Editor', 'Cinematographer']",Desconocido,--
157,Matt Regney,Desconocido,"['The Level', 'Rise of the Dead', 'The Competitive', 'The Dan Ho Show']","['Actor', 'Producer', 'Sound Department']",Desconocido,--
158,Lisa Erickson,Desconocido,"['Celebrity Sex Tape', 'The Competitive']",['Actress'],Desconocido,--
159,Ewa Boryczko,Desconocido,"['The Recruited', 'Misconception']",['Actress'],Desconocido,--
160,Nathan Lee,1982,"['Intuitions', 'Cage Fight', 'The Todd Akin Apologies', 'Andromeda']","['Actor', 'Stunts', 'Additional Crew']",Desconocido,--
161,Ed Massee,Desconocido,['Misconception'],['Actor'],Desconocido,--
162,Wayne Schaible,Desconocido,['Misconception'],['Actor'],Desconocido,--
163,Richard Samuels,Desconocido,"['Stage 5', 'Southern Justice', 'The American Gandhi', 'Pointe Blank']","['Cinematographer', 'Camera and Electrical Department', 'Director']",Desconocido,--
164,David Pinsof,Desconocido,"[""The Boy I'm Going to Marry""]",['Actor'],Desconocido,--
165,David Blum,Desconocido,"['Fallout', ""The Boy I'm Going to Marry""]",['Actor'],Desconocido,--
166,Liana Herzig,Desconocido,"[""City of Angels: The Mayor's Decree..."", ""The Boy I'm Going to Marry""]",['Actress'],Desconocido,--
167,Joe Davies,Desconocido,['Montgomey: A Life in the Tack'],['Actor'],Desconocido,--
168,Serena Scott Thomas,1961,"['Inherent Vice', 'The World Is Not Enough', 'Hostage', 'Buffy the Vampire Slayer']","['Actress', 'Producer']",1 win,--
169,Tom Vullo,Desconocido,"['Good Cinema', ""Captain Cornelius Cartoon's Cartoon Lagoon"", 'Imminent']","['Actor', 'Writer']",Desconocido,--
170,Jonathan Breck,1965,"['Jeepers Creepers', 'Spy Kids 4: All the Time in the World', 'Jeepers Creepers 2', 'Everybody Wants Some!!']","['Actor', 'Producer']",1 win,--
171,Johanna Cypis,Desconocido,"['Man in Striped Pajamas', 'Double Take', 'The Socratic Method', 'Rock My Religion']","['Actress', 'Director', 'Writer']",Desconocido,--
172,Jayne Amelia Larson,Desconocido,"['Gilmore Girls', 'Resilience', 'Callback', 'Illusion']","['Actress', 'Producer', 'Script and Continuity Department']",Desconocido,--
173,Mitch Brian,1961,"['The Last Voyage of the Demeter', 'Viper', 'Transformations', 'Batman: The Animated Series']","['Writer', 'Director', 'Producer']",Desconocido,--
174,Gena Case,Desconocido,['Killing Michael Bay'],['Actress'],Desconocido,--
175,John Humphrey,Desconocido,"['Killing Michael Bay', 'Farewell to Harry']","['Actor', 'Additional Crew']",Desconocido,--
176,John McGrath,Desconocido,"['The Evil Inside', 'Rest', 'Killing Michael Bay']","['Writer', 'Director', 'Actor']",Desconocido,--
177,Todd Norris,1969,"['Nighty Night', 'Candy Apple Red', 'The Wonderful Way-Ahead Machine', 'Call Me Snake']","['Cinematographer', 'Editor', 'Camera and Electrical Department']",Desconocido,--
178,Jen Walton,Desconocido,"['The Last One', 'Reaper Reborn', 'Killing Michael Bay', 'Unmasking Monsters Below']",['Actress'],Desconocido,--
179,Aris Gounaris,Desconocido,"['The Coffee Connection', 'The Hard Word', 'The Bank', 'Head On']","['Actor', 'Writer', 'Camera and Electrical Department']",Desconocido,--
