,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
45,C.L. Rivera,Desconocido,"['Salsero in Purgatory', 'Arkon Games', 'Rich from Within', 'Street Lure']","['Actor', 'Producer']",1 win & 1 nomination,--
46,Leila Velez,Desconocido,"['Father Dad', 'Rich from Within', 'Sweeter Without Sugar', 'Steam Room Stories: The Movie!']","['Actress', 'Script and Continuity Department']",Desconocido,--
47,David Lamberton,30,"['Monsters and Men', 'The Post', 'Bridge of Spies', 'Daredevil']","['Actor', 'Additional Crew', 'Producer']",Desconocido,--
48,Alexandria Kryzaniwsky,Desconocido,"['Rich from Within', 'Katalog']",['Actress'],Desconocido,--
49,Mandy MacDonald,Desconocido,"['The Shoulder', 'The Karma Club', 'Lurker', 'Diwali Dream Garage']","['Make-Up Department', 'Actress', 'Costume Designer']",Desconocido,--
50,Melia Smith,Desconocido,"['More Abandon', 'Rich from Within', 'Best Years Gone', 'Drown']",['Actress'],Desconocido,--
51,Kenya Cagle,Desconocido,"['My King', 'Sin Apple', 'Dead 2 Right', 'Killing Joanne']","['Producer', 'Director', 'Writer']",75 wins & 42 nominations,--
52,Kenyae Cagle,Desconocido,"['The Undercover Man', 'Rich from Within', 'Goodnite Charlie', 'Father Dad']",['Actor'],Desconocido,--
53,Stephanie Callender,Desconocido,"['Rich from Within', 'Release', 'Maggie']","['Transportation Department', 'Actress', 'Additional Crew']",Desconocido,--
54,Ricardo Bertone,Desconocido,"['Los hipócritas', 'Babilonia', 'The Dead Man and Being Happy', 'El ausente']",['Actor'],Desconocido,--
55,Enrique Dumont,Desconocido,"['The Heist of the Century', 'Padre Coraje', 'The Fisherman', 'Rosas rojas... rojas']",['Actor'],Desconocido,--
56,Ulises Dumont,Desconocido,"['Yepeto', 'El censor', 'Rosarigasinos', 'The Same Love, the Same Rain']",['Actor'],14 wins & 6 nominations,--
57,Claudio Gallardou,1959,"['Doble vida', 'La banda del Golden Rocket', 'La furia', 'La venganza']","['Actor', 'Director', 'Casting Director']",Desconocido,--
58,Héctor Grillo,Desconocido,"['Rita and Li', 'Los días de la vida', 'Ese mismo loco afán', 'Cartas a Malvinas']","['Actor', 'Writer']",Desconocido,--
59,María Socas,Desconocido,"['Deathstalker II: Duel of the Titans', 'Hollywood Boulevard II', 'Código negro', 'Las voces']",['Actress'],Desconocido,--
60,Rajesh Hamal,1984,"['Hami Tin Bhai', 'Seemana', 'Himalayan Kingdom of Nepal', 'Deuta']","['Actor', 'Music Department']",Desconocido,--
61,Dhiren Shakya,Desconocido,"['Samhalinchha Kahile Mann', 'Himalayan Kingdom of Nepal', 'Seemana', 'Yatra: A Musical Vlog']",['Actor'],Desconocido,--
62,Sudhanshu Joshi,Desconocido,"['Himalayan Kingdom of Nepal', 'Simarekha', 'Jay baba pashupatinath']","['Actor', 'Additional Crew']",Desconocido,--
