,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
43,Mikael Svensson,Desconocido,"['Hemvärnets glada dagar', 'Crossroad', 'Mölle by the Sea']",['Actor'],Desconocido,--
44,Tima Persson,Desconocido,"['Drömmarnas Lund', 'Loose Reins', 'Odjuret', 'Bodies in Ruins']","['Actress', 'Writer', 'Producer']",Desconocido,--
45,Eva Söderquist,Desconocido,"['Wallander', 'Camp Slaughter', 'Crossroad', 'The Truth']",['Actress'],Desconocido,--
46,Michael Petersson,1962,"['Halvvägs till himlen', 'Wallander', 'Malmö Noir', 'Odjuret']",['Actor'],Desconocido,--
47,Tommy Allholm,Desconocido,"['Fyra nyanser av brunt', 'Crossroad', 'Landins']",['Actor'],Desconocido,--
48,Lille Peter Jönsson,Desconocido,"['The Redneg', 'Nelly Rapp - Dödens spegel', 'Crossroad']",['Actor'],Desconocido,--
49,Lena Pe Pålsson,Desconocido,"['The Truth', 'War & Peace', 'Crossroad']","['Actress', 'Director', 'Writer']",Desconocido,--
50,Gabrielle Barr,Desconocido,['Valentines Dates'],['Actress'],Desconocido,--
51,Amy Morgan,Desconocido,['Valentines Dates'],['Actress'],Desconocido,--
52,Ike Ononye,Desconocido,"['Rogue', 'Crazy fun in Serbia', 'Doc Martin', 'Sherlock & Co.']","['Actor', 'Music Department', 'Additional Crew']",Desconocido,--
53,Laura Porta,1990,"['Fast & Furious Presents: Hobbs & Shaw', ""Les de l'hoquei"", 'Valentines Dates', 'Zacapa Rum: Meet Above the Clouds']",['Actress'],Desconocido,--
54,Adam Chaffin,Desconocido,"['Virginia Running', 'TRICK', 'Amos Williams: the Adventure Continues', 'The Father S2: Unexplained Enigmas']","['Director', 'Writer', 'Actor']",Desconocido,--
55,Destiny Cheyenne,Desconocido,"['Carnival 2: The Origin of Allister Crane', 'Amos Williams: the Adventure Continues', 'The Birthday', 'The Christmas Special']",['Actor'],Desconocido,--
56,Aaron Yates,Desconocido,"['Strange Occurrences', 'Carnival 2: The Origin of Allister Crane', 'Amos Williams: the Adventure Continues', 'The Father S2: Unexplained Enigmas']",['Actor'],Desconocido,--
57,Kevin James,1965,"['Paul Blart: Mall Cop', 'Paul Blart: Mall Cop 2', 'Here Comes the Boom', 'The King of Queens']","['Actor', 'Producer', 'Writer']",1 win & 14 nominations total,--
58,Jeffrey Azize,Desconocido,"['The Human Experience', 'Feeding America Comedy Festival', 'Just Keep Swimming', 'Next Olympic Hopeful']","['Producer', 'Writer', 'Cinematographer']",3 wins,--
59,Brendan Kinnane,Desconocido,"['Sound Guy', '8 Beats Anthology Vol. 1', 'Sound Guy Gets Intimate with Kevin James', 'Saving Bill Murray']","['Music Department', 'Writer', 'Actor']",Desconocido,--
60,Leo Severino,Desconocido,"['Sound of Freedom', 'Bella', 'Little Boy', 'Alleged']","['Producer', 'Writer', 'Actor']",Desconocido,--
61,Charles Berthoud,Desconocido,"['Homester', 'Will & Grace', 'Pillars', 'cLAssy, the short.']","['Actor', 'Writer', 'Producer']",Desconocido,--
62,Allison Carmen Cervantes,Desconocido,"['Bipolar & Friends', 'cLAssy, the short.', 'cLAssy', 'Wild West Chronicles']","['Actress', 'Director', 'Writer']",Desconocido,--
63,Koko Marshall,Desconocido,"['Solid Rock Trust', ""The One You're With"", 'A Perfect Host', 'The Get Together']","['Actress', 'Producer', 'Writer']",2 wins & 1 nomination,--
64,Cari Magnani,Desconocido,"['Mi Valentín', 'Quarentena World']","['Actress', 'Writer']",Desconocido,--
65,Cande Pazo,Desconocido,['Mi Valentín'],['Actress'],Desconocido,--
66,Brian Pacheco,Desconocido,['Mi Valentín'],['Actor'],Desconocido,--
67,Hannah Hendron,Desconocido,['Desert Island Music'],['Actress'],Desconocido,--
68,John McEwan-Whyte,Desconocido,"['British', 'Desert Island Music', 'Ten Count', 'Torch Red Fifth Heaven']","['Actor', 'Writer', 'Producer']",Desconocido,--
69,Greg Nicol,Desconocido,['Desert Island Music'],['Actor'],Desconocido,--
70,Adam Abplanalp,Desconocido,"['Happy Birthday, Carol']",['Actor'],Desconocido,--
71,Chozy Aiyub,1980,"['Christmas Belles', 'Judge Me Not', 'The Colonizer', 'Supercell']","['Actor', 'Writer', 'Producer']",15 wins & 4 nominations,--
72,David Ayala,Desconocido,"['Wingwomen', 'Berger', 'Bad Muslims']",['Actor'],Desconocido,--
73,Fiona Blackwood,Desconocido,['Bad Muslims'],['Actress'],Desconocido,--
74,Cedric Blatch,Desconocido,['Bad Muslims'],['Actor'],Desconocido,--
75,Jacob T. Cannon,Desconocido,"['The Guardians of the Galaxy Holiday Special', 'Lilly', 'Tryst', ""Jac Kessler's Popsy""]","['Camera and Electrical Department', 'Additional Crew', 'Second Unit Director or Assistant Director']",Desconocido,--
76,Libbi Carruthers,Desconocido,['Bad Muslims'],['Actress'],Desconocido,--
77,Ali DiGiacamo,Desconocido,['Bad Muslims'],['Actress'],Desconocido,--
78,Greg Hernandez,Desconocido,['Bad Muslims'],['Actor'],Desconocido,--
79,Sarah Kelley,Desconocido,['Bad Muslims'],['Actress'],Desconocido,--
80,Madhumita Baby Kumar,Desconocido,['Bad Muslims'],['Actress'],Desconocido,--
81,Aswin Payyampally,Desconocido,['My Date'],"['Actor', 'Producer']",Desconocido,--
82,Prasoon Puthussery,Desconocido,"['Ghost Ambush', 'My Date', 'Anklets']","['Director', 'Actor', 'Writer']",Desconocido,--
83,Anna Antoniades,Desconocido,"['Mamma Mia! Here We Go Again', 'How to Have Sex', 'Sweetheart', 'The Durrells']",['Actress'],Desconocido,--
84,Fabienne Piolini-Castle,Desconocido,"['The Marshlands', 'Creep', 'Dragonheart Vengeance', 'The Durrells']","['Actress', 'Camera and Electrical Department', 'Additional Crew']",Desconocido,--
85,Sam Lerner,1992,"['The Goldbergs', 'Monster House', 'Project Almanac', 'Envy']","['Actor', 'Writer', 'Soundtrack']",1 win & 1 nomination,--
86,Lewis Pullman,1993,"['Outer Range', 'Top Gun: Maverick', 'Bad Times at the El Royale', 'Lessons in Chemistry']","['Actor', 'Soundtrack']",1 win & 5 nominations,--
87,C.C. Hsu,Desconocido,"['Get Your Masque On', 'The Hangry Dead: The Biggest Instagram Movie Ever', ""I'll Tell You When You're Older"", 'Do You Have ICE?']","['Additional Crew', 'Actress', 'Director']",Desconocido,--
88,Myriah Duda,Desconocido,['Last Wash'],['Actress'],Desconocido,--
89,Ryan Flanagan,Desconocido,"['Fate of a Sport', 'Last Wash']",['Actor'],Desconocido,--
90,Joe Manuel Gallegos Jr.,Desconocido,"['Civil War', 'Dark Winds', ""A Cowgirl's Story"", 'Still Waiting in the Wings']","['Actor', 'Additional Crew', 'Art Department']",Desconocido,--
91,Austin Zwibelman,Desconocido,"['Processing...', ""Popeye's Chicken Sandwich Cooking Tutorial (Homemade)"", 'Honey', 'The Last Supper']","['Editor', 'Director', 'Actor']",2 wins,--
92,Tanner Richard Craft,1998,"['Diagnosis', 'Processing...', 'The Cardinals Fan', 'Tin Box']","['Producer', 'Actor', 'Director']",12 wins & 15 nominations,--
93,Brooklyn Brown,Desconocido,"['Dark Intentions 3: The Rescue', 'Run Buds', 'The Pie', 'Dark Intentions 4: Repentance']","['Actress', 'Writer', 'Producer']",Desconocido,--
94,Rylie Coe,Desconocido,"['Christmas Together', 'Driving Force', 'Over/Under', 'The Keep']",['Actress'],Desconocido,--
95,Brian Epperson,Desconocido,"['Grace and Grit', 'The Haves and the Have Nots', 'Homicide Hunter', 'Departure']",['Actor'],Desconocido,--
96,Caroline Avery Granger,Desconocido,"['Cobra Kai', 'National Treasure: Edge of History', 'Leverage: Redemption', 'The Mule']","['Actress', 'Make-Up Department']",Desconocido,--
97,Julianne Robbins,Desconocido,"['Attack of the Snow', 'Run Buds']",['Actress'],Desconocido,--
98,Chase Victoria,Desconocido,"['The Reckoning of Darkness', 'Shoot the Messenger', 'Swiped', ""The Devil's Throne""]",['Actress'],1 nomination,--
99,Sarah Moliski,Desconocido,"['Zodiac', 'Dhar Mann', 'Mary Tyler, Millennial', 'Crossbow Creek']","['Actress', 'Producer', 'Casting Director']",Desconocido,--
100,Michael Wayne Foster,1973,"['The Walking Dead: Webisodes', 'The Thundermans Return', 'Lethal Weapon', 'Wolf Hound']","['Actor', 'Stunts', 'Producer']",1 win,--
