,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
875,5.8,DESCONOCIDO,DESCONOCIDO,A one year experiment seeks to discover whether coaching can help ordinary people achieve extraordinary things.,1h 35m,Leap
876,6.7,['Naghmeh Shirkhan'],DESCONOCIDO,"Story of displacement, power, and vulnerability told through the relationship between a hostess, the bartender she loves, and the boss who controls them. The story is set in the underworld of the New York City's Japanese Diaspora.",1h 29m,Maki
877,6.3,['Yaron Shani'],DESCONOCIDO,A young musician is secretly in love with the beautiful woman living across the street. He is unaware of the horrifying mental crisis she is going through. She is oblivious to the heavy price he had to pay when he gave up his dreams. The encounter between them will entwine their fates forever.,1h 59m,Love Trilogy: Stripped
878,6.8,['Ken Scott'],DESCONOCIDO,Ajatashatru Lavash Patel has lived all his life in a small Mumbai neighborhood tricking people with street magic and fakir stunts. He sets out on a journey to find his estranged father but instead gets dragged on a never-ending adventure.,1h 32m,The Extraordinary Journey of the Fakir
879,4.0,['Scott Schirmer'],DESCONOCIDO,"Mary and PJ are kidnapped and tortured by a sadistic clown bent on transforming them into a 'doll' and a 'dog' -- servile sex slaves that will be sold to the highest bidders. When PJ goes mad, Mary becomes the couple's only hope of survival. But can she find a way out before auction day arrives?",1h 46m,The Bad Man
880,--,DESCONOCIDO,DESCONOCIDO,,1h,"Too Little, Too Late"
881,5.2,['Jaga Peddi'],"['Siddharth Dhar', 'Jaga Peddi']",,--,Foreign Flame
882,6.4,['Andrew Walkington'],"['William Carroll', 'Andrew Walkington']",An American Christian on a work assignment in the UK must come to terms with his own faith when he encounters a suicidal minister who has lost his faith and is about to leap from a bridge.,1h 20m,Grace and Gravity
883,--,['Matt Barse'],DESCONOCIDO,"4 years in the making, the Urban Indian 5 documentary is almost here! More soon....",1h 17m,I Said I Would Never Paint This Way Again
884,6.5,['Sean McNamara'],DESCONOCIDO,"After the tragic death of star volleyball player Caroline ""Line"" Found, a team of dispirited high school girls must band together under the guidance of their tough-love coach in hopes of winning the state championship.",1h 41m,The Miracle Season
885,7.7,DESCONOCIDO,"['Ashley Lenz', 'Aaron Jay Rome']","A couple of a certain age take a vacation to get out of the big city. When they realize their stress lies within the relationship, big decisions must be made.",1h 19m,Go Crazy Go Mad
886,--,['Kevin Tadge'],DESCONOCIDO,,--,The Shell Collector
887,6.5,['Sean Hanish'],DESCONOCIDO,"The story of immigration attorney Judy Wood, and how she initiated the change in U.S. law of asylum to save women's lives.",1h 46m,Saint Judy
888,6.3,['Kasper Torsting'],DESCONOCIDO,"When Esben flees the trenches of WWI, after three years at the front, it's so he can return to his beloved wife Kirstine and son Karl. But everything at home has changed - A charming German Officer, Gerhard, has done everything he can to win Kirstine's heart and replace Esbens role as Karls father. As Esben's family tries to adjust to his return from the front, the bo... Read all",2h 15m,In Love and War
889,--,DESCONOCIDO,"['Todd Jason Cook', 'Todd Falcon']",Pro skateboarder Todd Falcon's ultimate skateboarding journey to invent as many tricks as possible and find the final level of skateboarding is revealed after being kept secret for over 3 decades.,2h,Skateboarding Revelations: Journey to the Final Level
890,--,['Tim Goodell'],"['Tim Goodell', 'Mark Mears']",A small group of destitute filmmakers sets out to make a prize-winning short with the last of their savings.,--,The BTS Cam
891,5.8,['Agustina Macri'],DESCONOCIDO,A dramatic love story based on true events. Two lovers immersed in a repressive political context. A government that portrays them as criminals and the people who regard them as anarchist heroes.,1h 40m,Soledad
892,6.7,['Wash Westmoreland'],DESCONOCIDO,"Colette is pushed by her husband to write novels under his name. Upon their success, she fights to make her talents known, challenging gender norms.",1h 51m,Colette
893,7.5,['Hussein Khan'],DESCONOCIDO,Kashmir Daily Story of a Journalist. It highlights the core problems faced by today's generation Unemployment and Drugs.From an origin of humanity it has always been a battle between Good and Evil.,2h 28m,Kashmir Daily
894,4.3,['Ned Ehrbar'],DESCONOCIDO,A man finds out he's in an open marriage.,1h 24m,California No
895,7.5,['Hans Weingartner'],"['Hans Weingartner', 'Silke Eggert', 'Sergej Moya']","Two university students, Jule and Jan, leave Berlin together in an old camper on a road trip south, but for different reasons.",2h 25m,303
896,3.3,['Aaron Garrett'],DESCONOCIDO,"The recounted events of the night that two estranged brothers attempted to reconnect and escape a small town, seemingly taken over by martial law.",1h 20m,False Flag
897,7.6,['Anthony Maras'],"['John Collee', 'Anthony Maras']",The true story of the Taj Hotel terrorist attack in Mumbai. Hotel staff risk their lives to keep everyone safe as people make unthinkable sacrifices to protect themselves and their families.,2h 3m,Hotel Mumbai
898,6.9,DESCONOCIDO,DESCONOCIDO,"Rory MacNeil, a rugged old Scotsman, travels to San Francisco to seek medical treatment. He moves in with his estranged son Ian, as he sees his life getting transformed through a newfound bond with his baby grandson.",1h 47m,The Etruscan Smile
899,--,['John Say'],DESCONOCIDO,An aging man travels to a secluded house in the mountains seeking an enlightening experience.,1h 2m,Sanitas Pacifica
900,6.4,['Andrew Fleming'],DESCONOCIDO,A bickering gay couple must suddenly deal with the unexpected task of raising a 10-year-old boy.,1h 31m,Ideal Home
901,6.6,['Ralph Fiennes'],"['David Hare', 'Julie Kavanagh']",The story of Rudolf Nureyev's defection to the West.,2h 7m,The White Crow
902,5.5,['Justin Kelly'],DESCONOCIDO,"A young woman named Savannah Knoop spends six years pretending to be the celebrated author JT LeRoy, the made-up literary persona of her sister-in-law.",1h 48m,JT LeRoy
903,5.9,['Rolf van Eijk'],"['Rolf van Eijk', 'Roelof Jan Minneboo']","In 1988 Amsterdam, a Dutch police detective finds himself on a bittersweet journey of discovery as he investigates the mysterious demise of jazz icon Chet Baker, found dead on the street below his hotel room in the city center.",1h 23m,My Foolish Heart
904,5.9,['José Padilha'],DESCONOCIDO,"Inspired by the true events of the 1976 hijacking of an Air France flight en route from Tel Aviv to Paris, and the most daring rescue mission ever attempted.",1h 47m,7 Days in Entebbe
905,--,['Dominic Patrick Clarke'],DESCONOCIDO,"A young writer reflects on moments, flickering through her thoughts, memories and dreams. Centering around her only friend leaving, her cousin that has just returned, and other people in their lives.",--,Mirrors Flickering
906,7.6,['Tabaré Blanchard'],DESCONOCIDO,"The origin and rise of the most famous Dominican wrestler of all time, Rafael Sánchez aka Jack Veneno, and his arch-nemesis, José Manuel Guzmán aka Relámpago Hernández.",1h 36m,Veneno
