,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
365,6.8,['Aaron Hilden'],"['Aaron Hilden', 'John Luedtke']","Scotty and Dong, a pair of burnout losers who work at a small-town pizza joint, serve up psychedelic pizzas to the local hippies. When their magic mushroom harvest is contaminated by the nearby chemical plant, their peace-loving customers transform into violent, flesh-eating zombies. Compelled by an uncharacteristic sense of responsibility, Scotty and Dong are determi... Read all",--,"Attack of the Psychedelic Zombies, Man!"
366,5.1,['Anne Fletcher'],"['David Feeney', 'John Quaintance']",An uptight and by-the-book cop (Reese Witherspoon) tries to protect the outgoing widow (Sofia Vergara) of a drug boss as they race through Texas pursued by crooked cops and murderous gunmen.,1h 27m,Hot Pursuit
367,3.5,['Derek Savage'],DESCONOCIDO,"In Hollywood, California, Cool Cat, alongside his human father Daddy Derek, embarks on his most challenging journey yet: saving the kids from Butch the Bully. Can he do it?",1h 15m,Cool Cat Saves the Kids
368,6.6,['Richard Bracewell'],"['Laurence Rickard', 'Ben Willbond']",What really happened during Shakespeare's 'Lost Years'? Hopeless lute-player Bill Shakespeare leaves his home to follow his dream.,1h 34m,Bill
369,5.2,['Berty Cadilhac'],DESCONOCIDO,"Alex despises Modern Art but when he falls in love with an adorable French artist, he understands that the only way to conquer her heart is to pretend he is an artist. He now must win a Modern Art contest in order to win her heart.",1h 20m,Art Ache
370,5.0,['Maciej Bochniak'],"['Maciej Bochniak', 'Mateusz Kosciukiewicz']","Fabulous story of two boys from province, who want to become top stars of Polish popular disco genre.",1h 47m,Disco Polo
371,4.9,['Walt Becker'],DESCONOCIDO,The Chipmunks believe that Dave plans to propose to his new girlfriend in Miami.--and dump them. They have three days to get to him and save themselves not only from losing Dave but also from gaining a terrible stepbrother.,1h 32m,Alvin and the Chipmunks: The Road Chip
372,--,['Troy Murray'],DESCONOCIDO,A struggling street artist falls in love with a woman making more money than him.,1h 10m,Lion
373,4.8,['Nick Wernham'],DESCONOCIDO,"What is stranger than the big hole that opens up in Lucy Sherrington's living room floor? As it turns out, love.",1h 29m,No Stranger Than Love
374,6.2,['Nathan Estabrooks'],"['Christina Cuffari', 'Nathan Estabrooks']",One week and the real twisted truth of sisterhood.,1h 19m,Mangiacake
