,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,"6,4",['Junji Sakamoto'],"['Junji Sakamoto', 'Toshiaki Toyoda']","The main hero of this movie is the spirit of the once very popular wooden statuette called Billiken. It is the view of the small gods pointed heads, fat belly and characteristic smile. When the casket in which the statuette was found broken, the spirit suddenly Billikena is exempt. Tries to fulfill the wishes of all who had prayed, but how it works on its specific way... Leer todo",1h 40min,Biriken
1,"5,8",['Chris LaMont'],DESCONOCIDO,"In an apocalyptic future, a serial killer holds his family and another family hostage in an attempt to change his life.",1h 22min,Quality Time
2,"7,2",['Hannes Stöhr'],['Hannes Stöhr'],"Un hombre sale de gira por clubes de todo el mundo con su mánager y su novia. En vísperas del lanzamiento de su mayor álbum, es ingresado en una clínica psiquiátrica tras sufrir una sobredosis en un concierto.",1h 49min,Berlin Calling
3,"4,8","['Stephen Maloney', 'Steven Earl-Edwards']","['Steven Earl-Edwards', 'Thomas Cadwaleder Jones']","An American soldier, listed as Missing in Action in Vietnam since 1972, returns home after twenty years, to find quite the dysfunctional family.",1h 12min,A Circle on the Cross
4,--,['Michael Almereyda'],DESCONOCIDO,"Poet and pundit Andrei Codrescu (Road Scholar 1992) is once again taking the pulse of America, trading his Cadillac convertible for a variety of water craft as he explores, with typical Codrescu wit, wisdom and piercing insight, the entire length of the Mississippi River, accompanied by that most American of musical genres, the Blues.",--,Big River Blues
5,"4,3","['Marc F. Adler', 'Jason Maurer']",DESCONOCIDO,"Delgo, an adventurous but naive teenager, must rally his group of friends to protect their world from conflict between the Lockni and Nohrin people.",1h 34min,Delgo
6,"6,8",['Derick Martini'],"['Derick Martini', 'Steven Martini']",A family unit begins to bow under the pressure of a failing marriage.,1h 35min,Lymelife
7,"5,7",['Seth Gordon'],DESCONOCIDO,Una pareja se esfuerza por visitar a sus cuatro padres divorciados en Navidad.,1h 28min,Como en casa en ningún sitio
8,"5,3",['Gary Sinyor'],['Gary Sinyor'],"Albert Ross was the most ambitious little boy in the world until an 11 year old girl broke his heart. Now he's grown up to be an embittered dentist, he's done nothing, gone nowhere AND he has a step-mother from hell. One day he suffers a mysterious accident - and suddenly finds that whatever he dreams comes true. Suddenly a whole new life opens up for him...",1h 40min,In Your Dreams
9,--,['Eric Burdett'],DESCONOCIDO,The unbelievable true adventure of a woman who never gives up on her dream of turning a struggling Elvis Impersonator into a success.,1h 24min,Elvis in East Peoria
10,"6,8",['Uros Stojanovic'],"['Aleksandar Radivojevic', 'Uros Stojanovic']","Story of two sisters that grew up in a small Serbian village in the beginning of the 1930s. The village is torn up by wars and years long blood oath. There are no men left in the village. Our heroines, Ognjenka and Mala Boginja decide to go to the city, kidnap men and return life to their village. The lights of the metropolis dazzle them and there starts this little a... Leer todo",1h 26min,Carlston za Ognjenku
11,"6,0",['George Clooney'],"['Duncan Brantley', 'Rick Reilly']","En 1925, un jugador de fútbol profesional emprendedor convence al héroe del fútbol americano universitario demasiado bueno para ser verdad de Estados Unidos de jugar para su equipo y evitar que la liga se arruine.",1h 54min,Ella es el partido
12,"6,4",['Béla Paczolay'],"['Béla Paczolay', 'Gergely Péterfy', 'Piros Zánkay']","A retired teacher, his son and his grandson take a road trip to Budapest.",1h 40min,Kalandorok
13,"6,2","['Tom Kuntz', 'Mike Maguire']","['Todd Hanson', 'Robert Siegel']",Una comedia acerca de un programa de actualidad loco.,1h 26min,News Movie
14,"7,7",['Keith Wright'],DESCONOCIDO,"After a string of unsuccessful career choices including hairdressing and pub fitting, fifty five year old Yorkshireman Corbin West decides to turn his hand to filmmaking. Armed with ambition, money from a local double-glazing firm and no talent whatsoever, Corbin begins to assemble a cast and crew for his biggest project to date, a feature length sci-fi movie called T... Leer todo",1h 11min,Take Me to Your Leader
15,"6,8","['Byron Howard', 'Chris Williams']","['Dan Fogelman', 'Chris Williams']","La estrella canina de un programa de ciencia ficción, que cree que sus poderes son reales, se embarca en un viaje a través del país para salvar a su coprotagonista de una amenaza que cree que es igual de real.",1h 36min,Bolt
16,"6,2",['Yann Samuell'],"['Victor Levin', 'Jae-young Kwak', 'Ho-sik Kim']","A sweet Midwestern guy with his life planned out for himself is wooed, groomed, and ultimately dumped by a complicated, elusive gal.",1h 32min,My Sassy Girl
