,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
198,5.7,['Marco Polo Constandse'],DESCONOCIDO,"Bride-to-be Ana gets drunk after learning some secrets about her fiancé, and ends up in a jungle; Daniela has always been afraid to tell her best friend she has feelings for him.",1h 47m,Get Married If You Can
199,4.2,['John Semper'],"['Evelyn Gabai', 'John Semper']","For three long centuries Creeporia has lived in an immortal freeze. A timeless soul lost in the breeze. Now, one way to win back her life is if she can become the wife of one who'll gladly give their heart to such a vain, repulsive tart! The second way to end this game is if she can regain her fame. Should she become a star once more. Then this curse gets thrown out t... Read all",1h 30m,Creeporia
200,8.0,['Andrew Friedberg'],DESCONOCIDO,,--,Killing Frisco
201,6.9,['Bin Lee'],DESCONOCIDO,After losing his dream promotion to a rival co-worker. Tomas vows to restore his honor by following the ways of the ninja and exposing his nemesis to the justice he deserves.,1h 21m,Office Ninja
202,4.7,['Mike Disa'],DESCONOCIDO,A veteran postman finds his beliefs challenged after he enters a TV talent show competition.,1h 28m,Postman Pat: The Movie
203,5.3,['Alejandro Sugich'],DESCONOCIDO,"In Casi Treinta, the 29-year-old Emilio (Manuel Balbi), a rich employee of an airline who wants to be a writer, finds his new love in the 18-year-old Cristina (Eiza González). They break up after Emilio becomes absorbed by his job when he receives a promotion. Eventually, Emilio becomes engaged to a woman of his own age, Lucia, but he may not be entirely satisfied.",1h 36m,Almost Thirty
204,5.4,['Peter Glanz'],DESCONOCIDO,Conrad (Jason Bateman) is helped by his old friend Dylan (Billy Crudup) and returns the favor by falling for Dylan's girlfriend Beatrice (Olivia Wilde).,1h 26m,The Longest Week
205,4.1,['Chuck Powers'],"['Amir Hafizi', 'Chuck Powers']",The tale of a frog with an identity crisis.,1h 28m,Ribbit
206,6.3,['Daniel Perlmutter'],DESCONOCIDO,"Small-town journalist Leonard Crane starts making up stories to save his job, but gets in trouble when one of his fabricated news pieces turns out to be true.",1h 27m,Big News from Grand Rock
207,7.2,['Andrew Gitomer'],DESCONOCIDO,"Past Present Future is a feature-length film about two friends, Rachel and Noah, who have had an on-again, off-again relationship since high school, meeting up for the first time after years apart.",1h 35m,Past Present Future
208,5.2,['Rudolf Havlik'],DESCONOCIDO,"This romantic comedy, shot in a road-movie style, tells the story of businessman Petr Kraus (Pavel Batek) and his personal transformation. After returning from China, where he supervised the production of clothing for his customers, Petr finds out that the manufacturer had ruined the whole order and so he gets into trouble with the contractor (Jirí Lábus) who wants so... Read all",1h 40m,All My Tomorrows
209,5.7,['Stuart Acher'],"['Stuart Acher', 'Neil Pollner', 'Dena Waxman']",Stuck in a traffic jam after a one night stand a guy and girl recount the night before through flashbacks.,1h 23m,#Stuck
210,5.7,['Bob Domonkos'],DESCONOCIDO,"In order to satisfy a gambling debt, a lowlife is being pressured into shooting his best friend in the hindquarters by a hemorrhoid-ridden loan shark seeking his own demented sense of parity. A loose interpretation of The Merchant of Venice set in Denver.",2h 6m,And Now for the Tricky Part
211,5.8,['Brandon Haberman'],DESCONOCIDO,"When a college student begins to document the lives of a lowly band of cable television reenactment actors he uncovers Ryan Baxter, a re-enactor committed to putting his own inaccurate spin on history. Looking over him is Gil, the angst-ridden director of Ryan's misadventures, who spends more time trying to corral Ryan's historical inaccuracies on set than repairing h... Read all",1h 30m,Ryan Baxter: Reenactor
212,6.0,DESCONOCIDO,"['Andrew Schrader', 'Jordan Harris']",Oz and Freddy make friends and enemies during their last weekend in suburbia.,1h 32m,The Age of Reason
213,5.3,['Jason Strouse'],DESCONOCIDO,"Surrounded by the eccentric faculty of Truman High School, Mitch Carter wins the California Teacher of the Year award and immediately receives a tempting offer that may force him to leave his job.",1h 22m,Teacher of the Year
214,6.6,['R. Malcolm Jones'],DESCONOCIDO,Secrets is a gritty story filled with hope and the will to survive.,1h 55m,Secrets of the Magic City
215,4.5,['Huck Botko'],DESCONOCIDO,A charismatic womanizer receives his comeuppance after his penis mysteriously leaves his body and takes human form.,1h 28m,Bad Johnson
216,5.4,['Ali Samadi Ahadi'],DESCONOCIDO,The adventures of a grumpy old farmer and his cat.,1h 26m,"Pettson and Findus: A Little Nuisance, a Great Friendship"
217,5.4,['Brice Cauvin'],DESCONOCIDO,,1h 38m,The Easy Way Out
218,5.6,DESCONOCIDO,DESCONOCIDO,"20 years since their first adventure, Lloyd and Harry go on a road trip to find Harry's newly discovered daughter, who was given up for adoption.",1h 49m,Dumb and Dumber To
219,3.2,['Jordan Bradley'],"['Kelly Coffee', 'Shawn Harris']","""Squatters"" is a film about a Shawn and his best friend Rodney two bill collectors striving to become entertainers one day come home to find their things out on the street and they no longer have a place to stay. After being forced to stay at Rodney mom house, they quickly learn that they need their own place to get away from mom's late night antics and random house g... Read all",1h 13m,Squatters
220,7.0,['Justin Turcotte'],"['Ben Mallin', 'Justin Turcotte']",An aspiring director and his amateur dog dancing troupe attempt to mount a 'Cirque du Soleil' inspired dog dancing and indoor kite flying theatrical performance.,1h 23m,Unleashed! A Dog Dancing Story
221,4.9,['Ben Falcone'],"['Melissa McCarthy', 'Ben Falcone']","After getting fired and finding out that her husband is cheating, Tammy hits the road with her profane, alcoholic grandmother.",1h 37m,Tammy
222,7.8,['James DeMarco'],"['James DeMarco', 'Martin Paterson']",,1h 12m,The Stagg Do
223,6.4,['Seth Grossman'],"['Seth Grossman', 'Ross Patterson']","When Ross is diagnosed with terminal brain cancer and given six weeks to live, his newly engaged older brother Seth offers to spend his $50,000 wedding fund on a final trip of a lifetime. Their plans are complicated when Ross invites a call girl to join the group and Seth's uptight fiancée insists on tagging along. This raucous road trip comedy features hip-hop star A... Read all",1h 30m,$50K and a Call Girl: A Love Story
224,5.6,['Anton King'],DESCONOCIDO,"Astor is dumped by Mila. He bumps into her ex friend, Cali. She shows him how to get Mila back/approach women and what he did wrong in the past.",1h 25m,Lust for Love
225,8.0,['Tytus Bergstrom'],DESCONOCIDO,"A shy nerd, Bergie Barnsworth, wants to audition for the new realty TV show, Chance Of Your Life, in hopes of dancing with the Asian pop star, Lolli Pop. With little talent, and a painfully shy attitude towards the opposite gender, Bergie wins over the judges with his sincerity, and dance moves that are so bad, they're good. Cast to perform with Lolli Pop, Bergie's no... Read all",1h 29m,Reality TV Movie
226,5.4,DESCONOCIDO,DESCONOCIDO,"After a whirlwind romance, Maddie prepares to marry handsome Italian Raf. Unbeknownst to Maddie, Raf is sister Taylor's ex and love of her life.",1h 37m,Walking on Sunshine
227,6.5,['Michael Radford'],DESCONOCIDO,A withdrawn senior experiences life in new ways when he begins spending time with the free-spirited woman who lives across the hall.,1h 33m,Elsa & Fred
228,4.4,['Ellie Kanner'],DESCONOCIDO,"When a dysfunctional group of unpublished writers accept Hannah into their fold, the last thing they expect is her overnight success. Can these lovable misfits achieve their artistic dreams and avoid killing one another in the process?",1h 32m,Authors Anonymous
229,7.2,['Ruben Östlund'],DESCONOCIDO,A family vacationing in the French Alps is confronted with a devastating avalanche.,2h,Force Majeure
230,5.5,DESCONOCIDO,"['Kevin Finn', 'James Rolfe']",The AVGN must overcome his phobia of the worst video game in the world to save his fans.,1h 55m,Angry Video Game Nerd: The Movie
231,6.3,DESCONOCIDO,DESCONOCIDO,"After a trip to Thailand, a first-time drug mule finds himself in police custody, with his stomach crammed with narcotics. Now, he has to endure seven sphincter-clenching days to convince them of his innocence. Will nature take its course?",1h 43m,The Mule
232,6.1,['Ernesto Díaz Espinoza'],"['Ernesto Díaz Espinoza', 'David Vera-Meiggs']","During a night of partying, a normal group of friends get in trouble with Aunt Marilyn, a mobster and the owner of a well-known club in Santiago. To come out of the mess, the friends will go from expert boozers to fledgling gunslingers.",1h 30m,Santiago Violenta
233,5.0,['Sönke Wortmann'],"['Oliver Berben', 'Charlotte Roche']","A comedy centered on a sexually adventurous young woman who is trying to be the perfect wife, mother, and lover.",1h 29m,Schoßgebete
234,5.9,['Justin Reardon'],"['Chris Shafer', 'Paul Vicknair']",Unrequited love motivates a guy to write about his experiences.,1h 34m,Playing It Cool
235,4.6,['Rafael Montero'],DESCONOCIDO,"Ulises is a failed actor working in infomercials. After encountering Carolina, his grade school crush, he finds the motivation to look for better gigs and get in shape.",1h 35m,Fachon Models
236,6.3,['Max Nichols'],DESCONOCIDO,A snowstorm forces two people who made an online connection to unwillingly extend their one-night stand as the blizzard goes through the night.,1h 26m,Two Night Stand
237,5.8,DESCONOCIDO,"['Alex Holdridge', 'Linnea Saasen']",A comedy centered on a failed American writer who enters into an affair after a chance encounter with a European dancer.,1h 30m,Meet Me in Montenegro
238,6.9,['Eric Michael Kochmer'],DESCONOCIDO,"A playwright and his director wife are trying to produce a great play, while the world around them is slowly ending.",1h 30m,Way Down in Chinatown
239,6.7,DESCONOCIDO,DESCONOCIDO,A young widower convinces his landlord and roommate to help him clone his dead wife.,1h 23m,A Brand New You
240,5.8,['Wen Jiang'],DESCONOCIDO,"Set in 1920s Shanghai, Ma Zouri and Xiang Feitian establish a notorious beauty pageant called the Flowers Competition. All of the city's elite attend the gala event, but when Wanyan Ying unexpectedly wins, it sets into motion a series of tragic events that change their destinies.",2h 20m,Gone with the Bullets
241,6.1,['Erick Boychuk'],"['Darren McLeod', 'Erick Boychuk']","An innocent guy is suspected of causing a near-fatal accident. Now he must risk losing the girl he loves by telling the truth, or save his own butt with a dirty rotten cover-up.",1h 10m,The Cover-Up
242,4.4,['Mike Young'],DESCONOCIDO,Two married friends employ a single playboy to help them get their mojo back to save their marriages.,1h 35m,My Man Is a Loser
243,4.4,['Chris Bouchard'],"['Chris Bouchard', 'Thorin Seex']",A small-time drug-dealer gets into big trouble when a corrupt East London cop tries to steal a consignment meant for Welsh-Jamaican Yardies.,1h 30m,London's Finest
244,6.9,DESCONOCIDO,DESCONOCIDO,"After an untimely death, a devout Christian finds her beliefs shattered when she awakens in a war-ravaged Heaven and joins a rogue band of biblical characters battling against a corrupt God and a treacherous archangel.",1h 55m,Heaven Is Hell
245,6.3,['Sean Anders'],DESCONOCIDO,"Dale, Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor, prompting the trio to pull off a harebrained and misguided kidnapping scheme.",1h 48m,Horrible Bosses 2
246,7.2,['Theodore Melfi'],DESCONOCIDO,"A young boy whose parents have just divorced finds an unlikely friend and mentor in the misanthropic, bawdy, hedonistic war veteran who lives next door.",1h 42m,St. Vincent
247,5.3,['Zsombor Dyga'],"['Zsombor Dyga', 'Norbert Köbli', 'Ágnes Mészöly']",If couches could talk - they would tell stories about a childish man on a time-out; an anxious patient of a sexy psychologist; an inept loser preparing himself for a date on women's day; a neurotic couple speculating about a mysterious stain; the former and the new owner of a thrown away couch; French hippies or three naughty teenagers stretching the boundaries of fri... Read all,1h 24m,Couch Surf
