,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
27,"8,1",['Justen Naughton'],['Justen Naughton'],"At Chicago's North Avenue Beach, the lifeguards are the law. These ragtags will do everything in their power to make sure you don't go out past your waist. Best friends Hughie (the hopeless romantic) and Otis (the ladykiller) get caught in one love triangle after another as young vixen Maggie and tomboy May make it hard for them to keep their eyes on the water at all ... Leer todo",1h 46min,RiffRaff
28,"4,5",['Allan Fiterman'],"['Marcelo Floriao', 'Laura Malin', 'Aloísio de Abreu']","Wagner is a 22-year-old Brazilian guy who dreams about leaving the country for a better life, until he meets Justina, an experienced woman who turns his life upside-down. Together they will discover that life has a lot more to offer.",1h 30min,Embarque Imediato
29,"6,5",['Kyle Newman'],DESCONOCIDO,Fans Star Wars hacen un viaje a través del país al Rancho Skywalker de George Lucas para que su amigo moribundo pueda ver una proyección de Star Wars: Episodio I - La Amenaza Fantasma (1999) antes de su lanzamiento.,2h,Fanboys
30,"7,0",['David Lee Miller'],DESCONOCIDO,A teen coming-of-age romantic dramedy about a media-obsessed geek and the most beautiful and twisted girl in school.,1h 47min,My Suicide
31,"8,1",['Tom Upton'],['Tom Upton'],"What happens when a shady lawyer, a straight-laced pastor, a Mexican ex-con, a conflicted cop, a mouthy Italian, and a flamboyant, six-foot-six hitman all show up at the same party? Trouble. Big Trouble.",1h 20min,A Little Party
32,"5,9",['Gary Lundgren'],['Gary Lundgren'],"A college student is determined to become a Major League Baseball star, but finds his true calling instead.",1h 33min,Calvin Marshall
33,"4,2",['Sean Carr'],['Jimmy Gleacher'],A dude with some socially feminine traits hopes to solidify his 4-year relationship with a bi-sexual chick who has more lesbian leanings than not.,1h 23min,He's Such a Girl
34,"6,0","['Jorge Blanco', 'Javier Abad', 'Marcos Martínez']",DESCONOCIDO,"Una civilización alienígena es invadida por el astronauta Chuck Baker, quien pensaba que el planeta estaba deshabitado. Buscado por los militares, debe regresar a su nave antes de que entre en órbita sin él.",1h 31min,Planet 51
35,"7,1",['David Hickey'],"['Qaid Al-Nomani', 'Shaneye Ferrell', 'David Hickey']",While a Middle Eastern dictator is fleeing his besieged country his plane crashes on the Mexican Border. He is inadvertently carried into Texas by illegal immigrants. Struck by a truck occupied by three cowboys he is taken back to their exotic game ranch where their housekeeper nurses him back to health as they slowly discover his true identity. Or do they?,1h 33min,Baghdad Texas
36,"4,7",['Nia Vardalos'],DESCONOCIDO,"Una florista, que se atiene a un estricto límite de cinco citas con cualquier hombre, se encuentra deseando más con el nuevo restaurador de la ciudad.",1h 38min,Con el amor no hay quien pueda
37,"7,0",['Matthew William Jordan'],['Matthew William Jordan'],A disconnected man is haunted by a past that is coming full circle in strange and surreal ways.,--,My Sweet Misery
38,"6,2",['Lindsay Shonteff'],"['Lindsay Shonteff', 'Alexia Shonteff']","Angels, Devils & Men is a provocative satire about the afterlife and the greatest mystery of all - show business! God is cast in the role of the Almighty Producer as he directs his headstrong angels. Representing unruly earthlings, the flamboyant angel Mark exasperates the Almighty while on assignment.",--,"Angels, Devils and Men"
39,"5,4",['John Schultz'],DESCONOCIDO,Un grupo de niños debe proteger su casa de vacaciones de unos alienígenas invasores.,1h 26min,Pequeños invasores
40,"6,4",['Michael Glawogger'],"['Michael Glawogger', 'Michael Ostrowski']",An episodic comedy that follows the lives of four men living in Vienna.,1h 38min,Contact High
41,"5,6",['Karey Kirkpatrick'],"['Ed Solomon', 'Chris Matheson']","Un ejecutivo de finanzas que no puede poner freno al descenso de su carrera es invitado al mundo de imaginario de su hija, donde aguardan las soluciones a sus problemas.",1h 47min,Imagine
42,"7,1","['Ron Clements', 'John Musker']",DESCONOCIDO,"Una camarera, desesperada por cumplir sus sueños como propietaria de un restaurante, se embarca en un viaje para convertir a un príncipe rana de nuevo en ser humano, pero tiene que enfrentarse al mismo problema después de besarlo.",1h 37min,Tiana y el sapo
43,"5,4",['Danny Leiner'],"['Andy Stock', 'Rick Stempson']",A high school janitor has not recovered from his failed career as a tennis pro. He begins coaching his beloved sport to a group of misfits and leads them to the Nebraska State Championships.,1h 33min,Balls Out: Gary the Tennis Coach
44,"5,5",['Thor Freudenthal'],DESCONOCIDO,Dos niños acogen en secreto a perros callejeros en un hotel abandonado.,1h 40min,Hotel para perros
45,"5,4",['John Krasinski'],"['John Krasinski', 'David Foster Wallace']",Un estudiante de posgrado (Nicholson) se enfrenta a una ruptura reciente realizando entrevistas con varios hombres.,1h 20min,Entrevistas breves con hombres repulsivos
46,"6,5",['Anthony Azar'],['Anthony Azar'],A group of friends set out to prove once and for all... The Cops Did iT,1h 40min,The Cops Did It
47,"6,7",['Todd Wolfe'],['Todd Wolfe'],A has been Cowboy and Indian television duo struggle to make ends meet.,1h 40min,Saddle Up with Dick Wrangler & Injun Joe
48,"6,7",['Patrick Hyde'],['Patrick Hyde'],"Three young actresses struggle to find the best approach to 'making it' in Hollywood in this sexy metaphysical comedy. Along the way they encounter a former ""scream queen"" who becomes their manager, a self-obsessed, rehabbed film star, a novice director, and the 'Church of Charismatic Consciousness' - led by the eccentric Minister Holly. It's a wonder they survive eac... Leer todo",1h 30min,Dream State
49,"4,6",['J.B. Rogers'],"[""Julie O'Hora"", 'Justin Ware']",A pool boy and a gardener turn an empty mansion into a home for women in the world's oldest profession.,1h 47min,American Summer
50,"6,8",['Dagur Kári'],['Dagur Kári'],A cantankerous but ailing bartender takes a kindly young homeless man in under his wing.,1h 39min,Un buen corazón
51,"6,0",['George LaVoo'],"['George LaVoo', 'Jon Katz']",Un tipo que sufre la crisis de los cuarenta acoge a un perro que está más loco que él.,1h 20min,A Dog Year
52,"6,4",['Todd Solondz'],['Todd Solondz'],"Friends, family, and lovers struggle to find love, forgiveness, and meaning in an almost war-torn world riddled with comedy and pathos.",1h 38min,La vida en tiempos de guerra
53,"4,8",['Ryan Shiraki'],DESCONOCIDO,Three women vacation together at a popular travel destination for college co-eds on spring break.,1h 24min,Desmadre vacacional
54,"4,4",['Henry Jaglom'],['Henry Jaglom'],"A film about the complex relationships between fathers and daughters, and the potential lifelong consequences of those relationships.",1h 35min,Irene in Time
55,"5,8",['Mark Waters'],"['Jon Lucas', 'Scott Moore']","Mientras asiste a la boda de su hermano, un mujeriego en serie es perseguido por los fantasmas de sus antiguas novias.",1h 55min,Los fantasmas de mis exnovias
56,"3,9","['Alfonso Albacete', 'David Menkes']","['Alfonso Albacete', 'Ángeles González Sinde', 'David Menkes']","Se trata de una película coral que narra las relaciones de un grupo de chicos inmersos en un ambiente de discotecas y fiestas, cuyas vidas se entrecruzan en una vorágine de sexo, alcohol y drogas.",1h 47min,Mentiras y gordas
57,"3,2",['Michael Taliferro'],"['Bryan Anthony Pierre', 'Sean Alexander Jefferson']","The Greeks run the UTS campus and the greatest Steppers are king of the hill. When the step competition season begins, the campus fraternities and sororities fight to recruit the best talent that will help them win the big-money prize.",2h 18min,Steppin: The Movie
58,"5,1",['Paddy Houlihan'],"['Mike Houlihan', 'Paddy Houlihan', 'Michael McNeal']","Nuts, a destitute and homeless street vendor, (Ben Vereen) zaps a cynical stand-up comedian with a mystical hex; sending the comic into the underworld of the homeless on a wacky odyssey of redemption. Pipes (Houlihan), an alcoholic jerk, insults Nuts upon their chance encounter resulting in Nuts suffering an apoplectic seizure from his abuse. Nuts vows revenge, puttin... Leer todo",1h 34min,Tapioca
59,"4,4",['Talmage Cooley'],"['Talmage Cooley', 'Annie Nocenti']","A troubled town is having an Indian casino built on a historic battlefield. Chase, working at the town museum, opposes it. He meets the cute Lucy. They start a petition against the casino.",1h 39min,Taking Chances
60,"8,3",['Jonah Tulis'],"['Blake J. Harris', 'Jonah Tulis']","An irreverent look inside the world of competitive ""Rock, Paper, Scissors."" Follow a stay-at-home Dad, a professional trash-talker and many others who vie for the title of champion.",1h 32min,The Flying Scissors
61,--,['Michael Giannantonio'],['Michael Giannantonio'],"In the independent film ""Family Business,"" the tale unfolds at Doilie's Diner, a beloved family restaurant established in 1955. For generations, the restaurant has thrived on delicious homemade recipes and a warm, welcoming atmosphere. In 2006, the baton is passed to Mark Doilie, a responsible and detail-oriented sibling. Chaos ensues when Mark's free-spirited, charmi... Leer todo",1h 23min,Family Business
62,"5,3",['Jonathan Glatzer'],"['Jonathan Glatzer', 'Robert C. Lawson']",Set in the mid-80's when a reporter is sent to cover the Challenger Space Shuttle launch only to become mixed up in the lives of some local students.,1h 55min,What Goes Up
63,"5,6",['Harald Zwart'],DESCONOCIDO,El inspector Jacques Clouseau se une a un equipo de detectives internacionales tan torpes como él. Su misión: detener a un ladrón trotamundos especializado en el robo de objetos históricos.,1h 32min,La pantera rosa 2
64,"6,6",['Martin Guigui'],"['Courtney Gains', 'Martin Guigui', 'Michael Hateley']","Driven by a live rockin' soul soundtrack, this madcap, semi-mockumentary depicts the escape of musician Benny Bliss from a mental institution. Benny has an epiphany during shock therapy to rid the planet of all electronic gadgets, which he believes is thwarting the growth and evolutionary process of humanity as we know it. Enlisting a bluesy band of misfits, riding in... Leer todo",1h 34min,Benny Bliss and the Disciples of Greatness
65,"4,4",['Richard Temtchine'],['Richard Temtchine'],"Philippe, a French-American writer living in Manhattan, decides to take on ten relationship-challenged men to help them learn the art of seduction.",1h 34min,How to Seduce Difficult Women
66,"3,8",['Graham Ratliff'],['Garett Ratliff'],A troubled songwriter discovers a human growing out of his basement floor.,1h 46min,Growing Out
67,"7,9",['Jameel Khan'],['Jameel Khan'],"The employees of a low-end electronics store find creative ways to stave off boredom and their impending adulthood, but when one of them gets married they all must face the realities of growing up.",1h 31min,The Strip
68,"6,9","['Phil Lord', 'Christopher Miller']",DESCONOCIDO,Un científico local es considerado un fracasado hasta que inventa una máquina que puede hacer que la comida caiga del cielo. Pero no sabe que las cosas están a punto de empeorar.,1h 30min,Lluvia de albóndigas
69,"8,2",['John Walcutt'],['Kurt Larson'],,--,The Alpha Geek
70,"4,8",['Mark David'],"['Ronnie Gene Blevins', 'Mark David', 'Christopher Morrison']","An eccentric, agoraphobic druggie tries to win the $10,000 first prize in the ""Garden of the Year"" contest so he can pay his delinquent rent and fix the life that he has screwed up so badly.",1h 47min,El viaje de mi vida
71,"7,4",['Hao Ning'],DESCONOCIDO,"Assassins, scammers, gangsters, cops, a washed-up bicycle racer, and a body continually cross paths; usually with negative outcomes.",1h 39min,Feng kuang de sai che
72,"4,8",['Chad Martin'],"['Nick Evert', 'Chad Martin']","Gary just wants a date. But his confidence has taken a hit after three straight years of rejection. Now he sets his sights on Lindsay. Will she finally break his streak and give him a chance, or will she be one more name to add to his list of rejections? With help from his friends Eric and Roach, he hopes to find out. Sam just wants an adult relationship. But her boyf... Leer todo",1h 33min,IceBreaker
73,"5,6",['Mark Kalbskopf'],['Mark Kalbskopf'],"A funny story about faith, forgiveness and the weird people you grew up with while trying to start your car.",1h 39min,Right Hand Drive
74,"6,0",['Joshua Goldin'],['Joshua Goldin'],"Ben Singer has his cynical worldview darkened by his roommate Ibu's sudden medical situation, though the arrival of Ibu's sister, Khadi, might remedy both men's ills.",1h 29min,Wonderful World
75,"6,7",['Gary Chason'],"['Gary Chason', 'John Dean']","Sex, drugs, money, murder - not to mention love, heartache, humiliation, guilt, revenge, redemption - are central themes in this wicked dark comedy. Tracking six not-quite-so-young oilmen and dancers as they pursue life with reckless abandon in boomtown Houston during the Eighties, the story careens from casual pick-ups to painful break-ups, from betrayal to reunion w... Leer todo",1h 29min,Las Aventures de Brujas
76,"6,8",['James Anthony Cotton'],['James Anthony Cotton'],A disturbed sculptor assumes the identity of a small town priest and designs a game of divine madness for a unsuspecting town.,1h 57min,The Confessional
77,"5,9",['Donald Petrie'],['Mike Reiss'],"Georgia, una guía turística descontenta en Grecia, encuentra una nueva perspectiva de vida inesperada gracias a uno de los miembros de su grupo de turistas.",1h 38min,Mi vida en ruinas
78,"5,1",['Rod Bingaman'],['Rod Bingaman'],"Nina, a runaway bride, is unaware that her mother has married her fiancé in her stead, and that the two have set out to bring her back.",1h 34min,Chasing Butterflies
79,"4,8",['Phil Traill'],['Kim Barker'],"Convencida de que un camarógrafo de CCN es su verdadero amor, una mujer lo sigue mientras viaja por todo el país, con la esperanza de convencerlo de que son el uno para el otro.",1h 39min,Loca obsesión
80,"5,8","['David Morris', 'Jacqui Morris']",['David Morris'],"Harry hates being a TV producer and dreams of leaving his job to travel the world. He loves Alex, an aspiring actor who is struggling to create an identity for himself as a performer. Rugby player William's nine-year-old daughter is intent on sabotaging his relationships with new boyfriends, and he's finding it difficult to let Lawrence, the soap star, into his life. ... Leer todo",1h 35min,Mr. Right
81,"6,3",['Sarba Das'],"['Sarthak Das', 'Sarba Das']",Established immigrants from India struggle to find personal balance and financial satisfaction while living the American Dream in New Jersey.,1h 30min,Karma Calling
82,"6,2",['Morgan Mead'],"['D.C. Hamilton', 'Andrew Janoch', 'Morgan Mead']","As a forty-something door-to-door book salesman, Jerry is used to having doors shut in his face. However, a chance meeting with Jordan, an engaging young punk rocker, opens the door into a new world.",1h 36min,My Name Is Jerry
83,"6,0",['Joe Otting'],['Denis Hamill'],Sparks and bullets fly when a Wall Street yuppie must steer a Brooklyn mob crew legit before a beautiful FBI agent can build RICO indictments against them.,1h 40min,Bajo nueva dirección
84,"5,9",['Larry Charles'],DESCONOCIDO,"Brüno, un hombre austríaco gay y extravagante, busca nueva fama en América.",1h 21min,Brüno
85,"4,6",['Sean Doyle'],"['Sean Doyle', 'Travis Kurtz', 'Christian Oliver']","Four college buddies find themselves on the adventure of their lives, when on the morning after a Las Vegas bachelor party, they end up stranded deep in Mexico penniless, being chased, falling in love, and fighting to make it back across the border in time for the wedding.",1h 28min,Ready or Not
86,"8,0",['Tommy Wood'],"['Neal Shannon Cruey', 'Tommy Wood']","In a small, sleepy Georgia town, Bobby Hicks rules the roost, until he is found grilled to death on his still-warm barbecue smoker. When the town's only lawyer informs a select group that Bobby has left over a quarter-million dollar inheritance to the last one of them left living, things take a turn for the worse. In the midst of the chaos, Bobby's niece Megan falls f... Leer todo",1h 27min,Grilling Bobby Hicks
87,"6,4","['Rob Letterman', 'Conrad Vernon']",DESCONOCIDO,Una mujer transformada en gigante después de ser golpeada por un meteorito se convierte en parte de un equipo de monstruos enviados por el gobierno de Estados Unidos para derrotar a un alien que intenta apoderarse de la Tierra.,1h 34min,Monstruos contra alienígenas
88,"6,1",['Dave Boyle'],"['Dave Boyle', 'Joel Clark']","Forty-year-old Jimmy is growing up--or at least he's getting older. While mooching the upper bunk of his 10-year-old nephew's bed, he enjoys the never-ending generosity of his sister Aiko and dodges the wrath of his impatient brother-in-law Tak. He thinks that if only he could get married all his problems would be solved. But when he falls head over heels for Tak's ni... Leer todo",1h 23min,White on Rice
89,"4,1",['Stephen Maddocks'],"['Doug Gordon', 'Scott Gordon']",A robotic doctor thwarts the plans of a greedy lawyer.,1h 36min,Robodoc
90,"5,2",['Gorman Bechard'],"['Gorman Bechard', 'Ashley McGarry']","Meet Chloe and Owen: best buds since their sandbox days. Now, in med school as they attempt to balance the weight of their studies, his job, her band, their parents, their friends (their sanity), they find little time for relationships...but lots of time for the desire. One fateful day, a brave Owen proposes the ""perfect"" solution: Friends (read: no messy relationship... Leer todo",1h 34min,Friends (with Benefits)
91,"5,5",['Gary Winick'],DESCONOCIDO,Dos buenas amigas se convierten en rivales cuando programan sus respectivas bodas el mismo día.,1h 29min,Guerra de novias
92,"2,6","['Vincent Scordia', 'Jeff Siegel']",DESCONOCIDO,"In this over-the-top comedy, the relationships of three girls and fours guys - in affluent, adolescent suburban reality - intersect through the topsy-turvy world of love, power...and hooking up.",1h 35min,Abriendo juego (Choque y fuga)
