,id,time_sec
0,tt1450328,2
1,tt1451395,3
2,tt1451621,2
3,tt1451698,2
4,tt1451797,3
5,tt1451762,3
6,tt1452297,3
7,tt1452626,2
8,tt14527648,2
9,tt14531394,2
10,tt1453403,3
11,tt1454095,2
12,tt1454609,2
13,tt1454523,3
14,tt1454505,3
15,tt1455151,2
16,tt1455811,3
17,tt1456060,2
18,tt1456477,2
19,tt1456603,2
20,tt1456661,2
21,tt1456941,3
22,tt1457726,3
23,tt1458175,3
24,tt1458476,60
25,tt1459012,2
26,tt1460637,1
27,tt1460747,2
28,tt1460661,2
29,tt1460774,2
30,tt1461211,2
31,tt1461302,1
32,tt1461307,2
33,tt1461436,1
34,tt1461249,2
35,tt1461405,2
36,tt1462044,2
37,tt1462058,2
38,tt1462018,1
39,tt1462037,9
40,tt1462054,2
41,tt1462553,2
42,tt1462761,1
43,tt1462667,2
44,tt1462758,2
45,tt1463774,2
46,tt14641508,1
47,tt1464606,2
48,tt1464580,2
49,tt1464736,2
50,tt1464590,2
51,tt1465493,2
52,tt1465496,2
53,tt1465484,1
54,tt1465491,2
55,tt1465477,1
