,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,--,['Go Takamine'],DESCONOCIDO,"This road film revolves around an Okinawan folk song singer Tsuru and her son Henry's filmmaking journey. Taiwanese singers CHIN Man-wang, LEE Ping-huei, and acclaimed actress CHEN Shiang-chyi all make cameo appearances. After decoupling Okinawa from Japan in Okinawan Dream Show, Paradise View, and Untamagiru, TAKAMINE Go further unpacks the geopolitical complexities ... Read all",1h 25m,Mugen ryûkyû tsuru Henrî
1,6.5,['Patrick Read Johnson'],['Patrick Read Johnson'],"Alienated film-maker hopeful Pat Johnson's epic story of growing up in rural Illinois, falling in love and becoming the first fan of the movie that changed everything.",2h 12m,5-25-77
2,2.9,['S. Ramanathan'],"['Prayag Raj', 'Om Shree', 'M.D. Sunder']","A unfulfilled love story of a prominent lawyer, 'Shiv Shankar' who loses his vision in an accident and is thrown into a life of seclusion. He also loses contact with his beloved (Vijayshanti) a doctor by profession. Shiv starts leading the life of a recluse. Years later, a college girl (Karisma Kapoor) knocks at his door seeking his help to secure justice for her Engi... Read all",--,Zamaanat: And Justice for All
3,--,['Jonás Cuarón'],"['Jonás Cuarón', 'Glenn Gers', 'Ozzy Inguanzo']","The western frontier has re-emerged and, as in the past, a hero will answer the people's cry for justice.",--,Z
4,4.5,['Stephen Savage'],"['GiGi Mullins', 'Lesley Paterson', 'Stephen Savage']","A 38-year-old California trust fund kid tries to save his independent radio station, KZMC Cosmic Radio, from financial ruin when his wealthy father pulls the plug.",1h 30m,Cosmic Radio
5,6.0,['Denzel Washington'],"['Virgil Williams', 'Charles Monroe King', 'Dana Canedy']","1st Sgt. Charles Monroe King, before he is killed in action in Baghdad, authors a journal for his son intended to tell him how to live a decent life despite growing up without a father.",2h 11m,A Journal for Jordan
6,6.8,['Milica Tomovic'],"['Tanja Sljivar', 'Milica Tomovic']","Winter, 1993. Bill Clinton is elected president. Audrey Hepburn dies. Wars following the breakup of socialist Yugoslavia are continued in Croatia and Bosnia. Belgrade is under sanctions and inflation that threaten to become hyperinflation. MOTHER wakes up on a day when she has to do all the preparation for her younger daughter's birthday party - cooking awaits her, gu... Read all",1h 46m,Celts
7,6.3,['John Lee Hancock'],['John Lee Hancock'],"Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city.",2h 8m,The Little Things
8,6.1,['Stephen Karam'],DESCONOCIDO,"During one evening, the Blake family gathers to celebrate thanksgiving in a broken-down flat newly rented by the daughter and her new man. As the darkness falls, we find that all have less to be thankful about.",1h 48m,The Humans
9,5.9,DESCONOCIDO,['Lorien Haynes'],A woman tells her daughter about every man she's ever been with - in the hope her daughter won't make the same mistakes.,1h 28m,Everything I Ever Wanted to Tell My Daughter About Men
