,id,time_sec
0,tt12464300,3
1,tt12467200,2
2,tt12472130,2
3,tt12477816,4
4,tt12478372,2
5,tt12485780,3
6,tt12485028,3
7,tt12487320,4
8,tt12492264,2
9,tt12491138,1
10,tt12494638,2
11,tt12502702,3
12,tt12506460,2
13,tt12503602,3
14,tt12509164,3
15,tt12520676,2
16,tt12523740,1
17,tt12525600,4
18,tt12526902,3
19,tt12530402,3
20,tt12531226,1
21,tt12532466,2
22,tt12536294,3
23,tt12538996,3
24,tt12542820,3
25,tt12543464,60
26,tt12545208,2
27,tt12546870,2
28,tt12548318,2
29,tt12552352,60
30,tt12552912,3
31,tt12554252,3
32,tt12562576,2
33,tt12568542,2
34,tt12565346,3
35,tt12565674,3
36,tt12567408,2
37,tt12565720,1
38,tt12570714,60
39,tt12572040,2
40,tt12572478,1
41,tt12576128,2
42,tt12575978,3
43,tt12579120,4
44,tt12585706,3
45,tt12585100,4
46,tt12584922,1
47,tt12593208,3
48,tt12593190,4
49,tt12593454,3
50,tt12597246,3
51,tt12601256,3
52,tt12602994,2
53,tt12605348,3
54,tt12605734,2
55,tt12604414,1
56,tt12607636,3
57,tt12611344,3
58,tt12618046,2
59,tt12617960,1
60,tt12618926,3
61,tt12622450,1
62,tt12623466,3
63,tt12625002,3
64,tt12625084,0
65,tt12625936,3
66,tt12624504,3
67,tt12624588,2
68,tt12631660,3
69,tt12631530,1
70,tt12636872,3
71,tt12637024,2
72,tt12637442,3
73,tt12637548,3
74,tt12643356,4
75,tt12653060,4
76,tt12651580,3
77,tt12661314,4
78,tt12657454,3
79,tt12660938,3
80,tt12658852,3
81,tt12664618,3
82,tt12663870,2
83,tt12665870,2
84,tt12672720,2
85,tt12673876,3
86,tt12674294,1
87,tt12675294,2
88,tt12676890,2
89,tt12676428,2
90,tt12676326,2
91,tt12677948,3
92,tt12680684,3
93,tt12677728,3
94,tt12682872,2
95,tt12682832,3
96,tt12683066,2
97,tt12684344,60
98,tt12684328,9
99,tt12684838,60
100,tt12690566,2
101,tt12696316,2
102,tt12699704,3
103,tt12699572,3
104,tt12698500,2
105,tt12701148,3
106,tt12708658,3
107,tt12708228,2
108,tt12707010,2
109,tt12714430,2
110,tt12714836,2
111,tt12714422,2
112,tt12713112,1
113,tt12714838,1
114,tt12718540,2
115,tt12719846,3
116,tt12723696,2
117,tt12722174,3
118,tt12725760,2
119,tt12724920,3
120,tt12723262,1
121,tt12726250,1
122,tt12728668,3
123,tt12740408,2
124,tt12741494,2
125,tt12740648,3
126,tt12741120,3
127,tt12743910,60
128,tt12744120,3
129,tt12747444,3
130,tt12746428,2
131,tt12748300,3
132,tt12750828,2
133,tt12752430,3
134,tt12752256,2
135,tt12754420,3
136,tt12753850,2
137,tt12761410,3
138,tt12760896,3
139,tt12763660,3
140,tt12762606,1
141,tt12765384,3
142,tt12768826,2
143,tt12769462,3
144,tt12777614,2
145,tt12784044,1
146,tt12783512,2
147,tt12787278,2
148,tt12788426,3
149,tt12789558,3
150,tt12789286,2
151,tt12796444,3
152,tt12791888,3
153,tt12797976,5
154,tt12802708,2
155,tt12799760,2
156,tt12804312,3
157,tt12804316,1
158,tt12804904,3
159,tt12807538,3
160,tt12814600,2
161,tt12819094,4
162,tt12819466,60
163,tt12819562,2
164,tt12823084,2
165,tt12825932,2
166,tt12826450,3
167,tt12829798,3
168,tt12833358,3
169,tt12831788,5
170,tt12837240,1
171,tt12838276,2
172,tt12837402,3
173,tt12838766,3
174,tt12839258,3
175,tt12843890,2
176,tt12847812,4
177,tt12851396,3
178,tt12852078,3
179,tt12857724,3
180,tt12856388,2
181,tt12861212,3
182,tt12861616,2
183,tt12862516,3
184,tt12869276,3
185,tt12868484,2
186,tt12872150,4
187,tt12870980,3
188,tt12872946,3
189,tt12877640,3
190,tt12880634,1
191,tt12882158,1
192,tt12885272,3
193,tt12886332,1
194,tt12889404,4
195,tt12894926,3
196,tt12890988,3
197,tt12894144,3
198,tt12890644,9
199,tt12895250,2
200,tt12899190,2
201,tt12900810,2
202,tt12908544,1
203,tt12913310,2
204,tt12912990,3
205,tt12915204,3
206,tt12917664,2
207,tt12916150,2
208,tt12921054,2
209,tt12923028,3
210,tt12928700,3
211,tt12927342,3
212,tt12927920,3
213,tt12933568,3
214,tt12934986,60
215,tt12937680,2
216,tt12939960,3
217,tt12950804,4
218,tt12950920,2
219,tt12953392,3
220,tt12954736,3
221,tt12959754,2
222,tt12958838,2
223,tt12960116,2
224,tt12962118,3
225,tt12970142,3
226,tt12967750,3
227,tt12974232,3
228,tt12974634,3
229,tt12975808,3
230,tt12981276,2
231,tt12981538,3
232,tt12982370,3
233,tt12985938,2
234,tt12986322,3
235,tt12988104,2
236,tt12991844,3
237,tt12993456,3
238,tt12991078,3
239,tt8886668,3
240,tt13002242,3
241,tt13003996,2
242,tt13003972,3
243,tt13003564,2
244,tt13005120,1
245,tt13006574,3
246,tt13009250,1
247,tt13009260,1
248,tt13009266,3
249,tt13010918,3
250,tt13013204,5
251,tt13016044,2
252,tt13013820,2
253,tt13017688,4
254,tt13017584,2
255,tt13017168,2
256,tt13021072,3
257,tt13020856,3
258,tt13019994,3
259,tt13022626,2
260,tt13022214,3
261,tt13021476,3
262,tt13026968,3
263,tt13027206,3
264,tt13028258,4
265,tt13029044,3
266,tt13032716,3
267,tt13038218,3
268,tt13040102,2
269,tt13050400,2
270,tt13045890,4
271,tt13051364,4
272,tt13051728,2
273,tt13056008,3
274,tt13057754,2
275,tt13057626,4
276,tt13055958,2
277,tt13059278,2
278,tt13062780,2
279,tt13066142,3
280,tt13070226,2
281,tt13067004,4
282,tt13069986,3
283,tt13074222,1
284,tt13074276,1
285,tt13078854,2
286,tt13083220,3
287,tt13086130,2
288,tt13086274,4
289,tt13087796,3
290,tt13091508,2
291,tt13090350,3
292,tt13091906,3
293,tt13097820,1
294,tt13097060,3
295,tt13097336,3
296,tt13097882,2
297,tt13098282,5
298,tt13098066,16
299,tt13098428,2
300,tt13097910,3
301,tt13098894,2
302,tt13106182,2
303,tt13105734,2
304,tt13110808,2
305,tt13114208,3
306,tt13114588,3
307,tt13119000,3
308,tt13118286,2
309,tt13119366,3
310,tt13123976,3
311,tt13130400,3
312,tt13131186,3
313,tt13131636,8
314,tt13132466,2
315,tt13131798,3
316,tt13136084,3
317,tt13137268,3
318,tt13136616,60
319,tt13137330,3
320,tt13137576,3
321,tt13145186,3
322,tt13142240,3
323,tt13144076,3
324,tt13143988,3
325,tt13144110,3
326,tt13142576,1
327,tt13149378,3
328,tt13148366,1
329,tt13153566,2
330,tt13153782,4
331,tt13153754,3
332,tt13157722,3
333,tt13157750,2
334,tt13161116,2
335,tt13161356,3
336,tt13162144,2
