,Nombre,Nacimiento,Conocido,Que hace,Premios,Oscar
941,Chen Chun,Desconocido,"['Wine', 'Reprise', 'Chuggington']","['Dirección de producción', 'Reparto', 'Dirección de la segunda unidad o asistencia a dirección']",Desconocido,--
942,Maarten Brorens,Desconocido,"['Stille Storm', 'Ten minste houdbaar tot', 'Sisu', 'De Overloper']",['Reparto'],1 premio,--
943,Morgan LeBlanc,Desconocido,"['Cor Values', 'No Apology', 'Disguise', 'Connecting Flights']","['Reparto', 'Producción', 'Guion']",1 premio y 2 nominaciones,--
944,Rhoda Parnell,Desconocido,['The Diner 2021'],['Reparto'],Desconocido,--
945,Joanie Shilling,Desconocido,"['Clowning Around', 'The Diner 2021', 'Private Dicks', 'Ability to Do']",['Reparto'],Desconocido,--
946,Sheila Andrews,Desconocido,"['The Dance', 'Taylor Swift: The Man']",['Reparto'],Desconocido,--
947,Roberto Arrizon,1992,"['Milagros de Navidad', 'Christmas Down Under', 'Mestizo', 'Dead Meat']","['Reparto', 'Sonido']",Desconocido,--
948,Kevin Burke,Desconocido,['The Dance'],['Reparto'],Desconocido,--
949,Rogelio Camarillo,Desconocido,"['Better Call Saul', 'Euphoria', 'Licorice Pizza', 'Toro De Oro']","['Reparto', 'Guion', 'Sonido']",4 premios,--
950,Michaela Carr,Desconocido,"['The Dance', 'Matches']",['Reparto'],Desconocido,--
951,Joann Coleman,Desconocido,"['Bones', 'Licorice Pizza']",['Reparto'],Desconocido,--
952,Vondalynn Dias,Desconocido,"['The Dance', 'No Offense', 'War Bayne', 'Dark Night']","['Reparto', 'Guion']",Desconocido,--
953,Rachel Douglas,Desconocido,['The Dance'],['Reparto'],Desconocido,--
954,Christopher John Karr,Desconocido,"[""The Butcher's Daughter"", 'The Harbinger of Death', 'The Huntsman and the Hound', 'Mouse Guard']","['Reparto', 'Producción', 'Guion']",9 premios y 6 nominaciones,--
955,Armando Tavares Da Silva,Desconocido,"['Stalkers', 'Brash Young Turks', 'Life Lines', 'Facetracker']",['Reparto'],Desconocido,--
956,Haruka Abe,enero,"['Snake Eyes: el origen', 'Cruella', 'Primero bésame', 'Stagger']","['Reparto', 'Equipos adicionales', 'Guion']",1 premio y 1 nominación,--
957,Elen Rhys,1983,"['The Bastard Executioner (Serie de TV)', 'Guerra mundial Z', 'Ordinary Lies', 'Broadchurch']","['Reparto', 'Banda sonora']",Desconocido,--
958,Brett Lawrence,Desconocido,"['Phoenix', 'The Education of a Negro', 'La voz de los muertos', 'West of the Sun']","['Reparto', 'Arte']",1 premio,--
959,Ellie Byers,Desconocido,['Encircled'],['Reparto'],Desconocido,--
960,Kiana Fong,Desconocido,"['Ling Yang', 'Apocalypse Fall', 'Apocalypse Summer']",['Reparto'],1 premio,--
961,Michael Lau,Desconocido,['Encircled'],['Reparto'],Desconocido,--
962,Gita Miller,Desconocido,"['Una cuestión de género', 'Fixation', 'Sharp Corner', 'Kena: Bridge of Spirits']",['Reparto'],Desconocido,--
963,Aaron Ashmore,1979,"['Veronica Mars', 'Deshielo', 'Killjoys', 'Regresión']","['Reparto', 'Producción']",2 nominaciones,--
964,Dwight Ireland,Desconocido,"['Escuadrón suicida', 'Almacén 13', 'Hannibal', 'The Girlfriend Experience']",['Reparto'],Desconocido,--
965,Ewa Wolniczek,Desconocido,"['Planes, Trains, and Christmas Trees', 'TallBoyz', 'Strictly for the birds', 'Tiny House']","['Reparto', 'Producción', 'Equipos adicionales']",Desconocido,--
966,Ashleigh Rains,Desconocido,"['The Umbrella Academy', 'El cuento de la criada', 'Mi gran boda griega 2', ""Kim's Convenience""]","['Reparto', 'Producción', 'Guion']",4 premios y 2 nominaciones,--
967,Cedric Payne,Desconocido,"['Martha Speaks', 'Things We Feel But Do Not Say', 'Dinotren']",['Reparto'],Desconocido,--
968,Betty Arnesen,Desconocido,['Things We Feel But Do Not Say'],['Reparto'],Desconocido,--
969,Scott McLean Harrison,Desconocido,"['Violent Ends (II)', 'Mi hogar es donde tú estás', 'Amor entre fogones', 'Blood on the Risers']",['Reparto'],Desconocido,--
970,Chuck Meré,Desconocido,"['Zombie Go Boom', 'Blood on the Risers', 'Lemniscate', 'Max Winslow and the House of Secrets']","['Reparto', 'Producción', 'Dirección']",Desconocido,--
971,Cassie Self,Desconocido,"['Sweet Inspirations', 'Greater', 'Gordon Family Tree', 'Self-Delusion and Other Obstacles']","['Reparto', 'Producción', 'Vestuario']",3 premios,--
972,Ton Peeters,Desconocido,"['BLOEDLIJN', 'Goede tijden, slechte tijden', 'Westenwind', 'De Lichtkinderen']",['Reparto'],Desconocido,--
973,Bjorn Christians,Desconocido,"['Manic Lover', 'Draken en Kerkers', 'COCON', 'Memorabilia']","['Dirección de la segunda unidad o asistencia a dirección', 'Producción', 'Equipos adicionales']",Desconocido,--
974,Jayda Sarioglu,Desconocido,['De Lichtkinderen'],['Reparto'],Desconocido,--
975,Adaja Matahelumual,Desconocido,"['De Lichtkinderen', 'Mijn Moeder de Atoombom']",['Reparto'],Desconocido,--
976,Roelant Verwey,Desconocido,"['Líneas eróticas', 'De Lichtkinderen']",['Reparto'],Desconocido,--
977,Laurens van Hofslot,Desconocido,"['De Lichtkinderen', 'Brugklas']",['Reparto'],Desconocido,--
978,Fatma Eryilmaz,Desconocido,"['Onze straat', 'De Lichtkinderen']",['Reparto'],Desconocido,--
979,Marieke Pol,Desconocido,"['Na Regen Komt Zonneschijn', 'De Lichtkinderen']",['Reparto'],Desconocido,--
980,Susan Ankersmit,Desconocido,['De Lichtkinderen'],"['Reparto', 'Composición']",1 premio,--
981,Vera Schröder,Desconocido,"['Bangsatnya Cinta Pertama', 'Solo queda la danza', 'Soof 3', 'Oogappels']",['Reparto'],Desconocido,--
982,Alexander Barnett,Desconocido,"['The Eyes of Van Gogh', 'King Lear', 'I Did Her Wrong', 'Tikkun Olam']","['Reparto', 'Dirección', 'Guion']",3 premios y 3 nominaciones,--
983,Katherine Caruso,Desconocido,"['Tikkun Olam', 'Daily Bread', 'Graves', 'MNAL']","['Reparto', 'Dirección de la segunda unidad o asistencia a dirección', 'Dirección de casting']",2 premios,--
984,Ethan Scholz,Desconocido,"['Strings', 'Through Eyes of Grace', 'Howard Grove: Wats Innit Fer Us', 'Battle Fantasy X Chow Chow']","['Reparto', 'Dirección de fotografía y cámara', 'Cámara y electricidad']",Desconocido,--
985,Paige Bourne,Desconocido,"['Dripping with Tension', 'Attack of the Corn Zombies', 'It Came from Somewhere', 'Chicago P.D.']","['Reparto', 'Producción']",1 premio,--
986,Tony Solis,Desconocido,"['Betrayal', 'Pawn Turned King', 'Dark Moon', 'Roll the L. ft. Yukmouth']",['Reparto'],Desconocido,--
987,Q. Davis Lea,Desconocido,"['Ashface', 'Circumstances 4', 'Untangled', 'A Day with Jimmy']","['Reparto', 'Guion', 'Sonido']",Desconocido,--
988,Ethan Lelinski,Desconocido,"['Howard Grove: Wats Innit Fer Us', 'Ashface', 'Battle Fantasy X Chow Chow', 'Pawn Turned King']","['Reparto', 'Dirección de fotografía y cámara', 'Dirección']",Desconocido,--
989,Joseph Hanson,Desconocido,"['The Falling Heart in the Sky', 'Battle Fantasy X Chow Chow', 'Pawn Turned King']","['Reparto', 'Maquillaje', 'Sonido']",Desconocido,--
990,Justin Buscher,Desconocido,['Pawn Turned King'],['Reparto'],Desconocido,--
991,Kai Lightfoot,Desconocido,['Pawn Turned King'],['Reparto'],Desconocido,--
992,Brian Picon,Desconocido,"['Pawn Turned King', 'Strings']",['Reparto'],Desconocido,--
993,Zionel El Artista,Desconocido,"['Pawn Turned King', 'Strings']",['Reparto'],Desconocido,--
994,Joshua Jacob,Desconocido,"['They Just Use the Sky', 'One to One', 'Drunk Dialling']",['Reparto'],Desconocido,--
995,Zaki Solosho,Desconocido,"['My Lockdown Stash', ""D-Code & Psylence: Can't Leave You Alone feat. Laville"", 'Driving Lolita: Swing Me', 'M.U.M Music: Drop the Bass']","['Reparto', 'Dirección', 'Edición']",Desconocido,--
996,Daniel Blunck,Desconocido,"[""Mom's Favorite"", 'Endless Bend', 'Dark Dignity', 'When Right Is Wrong']","['Reparto', 'Edición', 'Dirección']",1 premio,--
997,Crystal Inzunza,Desconocido,"['Maya', ""Dr. Saville's Horror Show"", 'The soldier and the girl', 'Failure to Failure']","['Reparto', 'Equipos adicionales']",1 premio,--
998,Steven Hobé,Desconocido,"['Womb Envy', 'Derailed', 'Temerás a tu vecino', 'Mabel']",['Reparto'],1 nominación,--
999,Harriet Karsh,Desconocido,['The World to Come'],['Reparto'],Desconocido,--
1000,Nicolas Sampedro-Sillmann,Desconocido,"['Dissolution', 'Oksana and Viktor', 'Limited', 'Simple Sense']",['Reparto'],Desconocido,--
1001,Raechel Fisher,Desconocido,"['Low Water Pressure', 'The Last Lettucefest', 'Dissolution', 'Hi Mrs. Friedman!']",['Reparto'],Desconocido,--
1002,Cheryl De Luca,1971,"['Joe Pickett', 'Rogue', 'Rod the Stormtrooper', 'Chasing Fame']","['Reparto', 'Equipos adicionales']",Desconocido,--
1003,David Provost,Desconocido,"['An Unexpected Killer', 'Paranormal Emergency', 'Dissolution', 'GUION']","['Reparto', 'Producción', 'Guion']",Desconocido,--
1004,Myles Hughes,Desconocido,"['American Exorcist', 'OBLiViOUS', 'Boycotting Time', 'Chill Dudes']","['Reparto', 'Dirección', 'Guion']",1 nominación,--
1005,Laura Clifton,Desconocido,"['Feliz día de tu muerte 2', 'Los feos también mojan', 'Feliz día de tu muerte', 'El Álamo: La leyenda']","['Reparto', 'Equipos adicionales']",Desconocido,--
1006,Princess Adenike,Desconocido,"['La supervivencia de una chica con curvas', 'Nanny', 'Ray Donovan', 'Power Book II: Ghost']","['Reparto', 'Guion']",Desconocido,--
1007,Tom D'Agustino,Desconocido,"['The Blacklist', 'Blue Bloods', 'Nicky & I', 'Primetime: What Would You Do?']",['Reparto'],Desconocido,--
1008,Meinhard St. John,junio,"['Soren', 'Eddie & Sunny', 'Black Cake', 'The Someone']","['Reparto', 'Producción']",Desconocido,--
1009,Lynne Taylor,Desconocido,"['Bull', 'Luz Marina', 'Proceso de admisión', 'Ley y orden']",['Reparto'],Desconocido,--
1010,TravQue,Desconocido,"['The Stuff', 'Still Here', 'White House: The Movie', 'Playing Sam']",['Reparto'],Desconocido,--
1011,Jennaske,Desconocido,"['French Connection', 'Nicky & I', 'Better Than My Last', 'Love & Hip Hop']","['Reparto', 'Música']",Desconocido,--
1012,Elliott 'Lee' Cowart,Desconocido,"['And There Were 4', 'The Colors of Love', 'Street Justice: The Bronx']","['Reparto', 'Producción', 'Edición']",4 premios y 4 nominaciones,--
1013,Vincenzo Pellegrino,1967,"['Under Offer', 'El quinto elemento', 'M.I.T.: Murder Investigation Team', 'Crocodile Shoes']","['Reparto', 'Dirección', 'Guion']",6 premios,--
1014,Nadia Williams,Desconocido,"['Emmerdale', 'Broadchurch', 'Breaking Point', 'The Sparticle Mystery']",['Reparto'],Desconocido,--
1015,Ajani Cabey,Desconocido,"['The Fence', 'Pickney']",['Reparto'],Desconocido,--
1016,Maria Atkinson,Desconocido,['Pickney'],['Reparto'],Desconocido,--
1017,Craig Lewis,Desconocido,"['Pickney', 'With Teeth', 'Domino Effect', 'Domino Effect']",['Reparto'],Desconocido,--
1018,Thabo Kona,Desconocido,['Pickney'],['Reparto'],Desconocido,--
1019,Donna Pinnock,Desconocido,['Pickney'],['Reparto'],Desconocido,--
1020,Jabari Ngozi,Desconocido,"['Daydream', 'Pickney', 'Little Simz: Introvert', 'Dinah']",['Reparto'],Desconocido,--
1021,Iva Williams,Desconocido,['Pickney'],['Reparto'],Desconocido,--
1022,Megan Hintz,1996,"['Spiralled', 'Spiral', 'Chuckles', 'Diana']",['Reparto'],Desconocido,--
1023,Roger Dvorak,Desconocido,"['The Final Bullet', 'No Escape', 'Downstream', 'Beach Side Life']","['Reparto', 'Guion', 'Dirección']",8 premios y 3 nominaciones,--
1024,Sam Mackerras,Desconocido,"['Hello Au Revoir', 'Terrence', 'Spiralled', 'Lydia']",['Reparto'],Desconocido,--
1025,Nate Lovett,Desconocido,"['Collection', 'Dance of the Devils', 'Window Shoppers', 'Tubby']","['Cámara y electricidad', 'Reparto', 'Dirección']",Desconocido,--
1026,Benjamin Pearce,Desconocido,['Spiralled'],['Reparto'],Desconocido,--
1027,Olivia Moers,Desconocido,"['Faultlines', 'Spiralled', 'The Curious Case of Dolphin Bay', 'Gary Feltman Is: The Father']","['Cámara y electricidad', 'Arte', 'Efectos especiales']",Desconocido,--
1028,Carolyn Wagner,1984,"['Teal Soldiers', 'Quiet My Mind', 'Havelock Lane', 'In the Pitch Black']","['Reparto', 'Guion', 'Producción']",5 premios y 1 nominación,--
1029,Ellie Gooding,Desconocido,"['Kidnapped', 'The Rise of Billy Jones', 'Him', 'Spiralled']","['Reparto', 'Guion', 'Equipos adicionales']",Desconocido,--
1030,Patrick Noel Quinn,Desconocido,"['Escape the City', 'Him', 'Street', 'Spiralled']",['Reparto'],Desconocido,--
1031,Anissa Bianchi,Desconocido,['Protect & Serve'],['Reparto'],Desconocido,--
1032,Patrick John Boyle,Desconocido,"['Pigeon', 'How Not to Date While Trans', 'Powerless', ""'Til Death""]","['Reparto', 'Producción', 'Dirección']",Desconocido,--
1033,Raymond Lopez,Desconocido,"['Los ensayos', 'OnRecord Solutions Viral Ads', 'Steamed!', 'Vilified Banker']","['Reparto', 'Producción', 'Guion']",Desconocido,--
1034,Dimitar Nikolov,Desconocido,"['La protegida', 'Hristo', 'From Here to Here', 'Block']",['Reparto'],2 premios y 1 nominación,--
1035,Valentin Tanev,1957,"['Malki razgovori', 'Hindemidth', 'From Here to Here', 'In the Heart of the Machine']",['Reparto'],1 premio y 2 nominaciones,--
1036,Tigran Torosyan,Desconocido,"['From Here to Here', 'Buferna zona', 'Prelyubodeyanie', 'The Third']",['Reparto'],1 nominación,--
1037,Kitodar Todorov,Desconocido,"['Hércules: El origen de la leyenda', 'El gran torneo', 'Otchuzhdenie', 'Yellow Oleander']","['Reparto', 'Guion', 'Dirección']",4 nominaciones,--
1038,Pavlin Petrunov,Desconocido,"['From Here to Here', 'Till The Final Caprice', 'Cigoto', 'Pod prikritie']",['Reparto'],1 nominación,--
1039,Stefka Yanorova,Desconocido,"['Shooting star', 'Dream for Happiness', 'Buferna zona', 'Walsowe i tanga ot selo Bela Woda']",['Reparto'],5 premios y 2 nominaciones,--
1040,Karl Chaffey,Desconocido,"['The Embrace (El Encuentro)', 'Code Break', 'The Hitcher Girl', 'Top Gunner: Danger Zone']",['Reparto'],Desconocido,--
1041,Michael DiGiulio,Desconocido,"['Dustslicker', 'Gone', 'MegaHeroZ Cooking Academy', 'How To Be A Man']",['Reparto'],Desconocido,--
1042,Juliana DuFrane,Desconocido,"['MegaHeroZ Cooking Academy', 'Gone', 'Level Kill - Level One: Live or Die', 'Dustslicker']",['Reparto'],Desconocido,--
1043,Marina Einstein,Desconocido,"['Gone', 'No Place for Us', 'Finch & Skull']",['Reparto'],Desconocido,--
1044,Alphonse Philippe Mouzon,Desconocido,"['Arma letal', 'Dustslicker', 'Finch & Skull', 'Gone']","['Reparto', 'Dirección']",Desconocido,--
1045,Belle Nemo,Desconocido,"['I Always Wanted to Be A Gangster', 'Dustslicker', 'Shadow Farm', 'Finch & Skull']",['Reparto'],1 nominación,--
1046,Gina Nemo,marzo,"['Nuevos policías', 'My Boomerang', 'Dustslicker', 'Dustslickers']","['Producción', 'Dirección', 'Guion']",8 premios y 1 nominación,--
1047,Teres Rochelle,Desconocido,"['Crush It', 'The Simian Trials', 'MegaHeroZ Cooking Academy', 'Shadow Farm']","['Reparto', 'Dirección de producción']",Desconocido,--
1048,Sebastian Sage,Desconocido,"['Zealot', 'The Legend of Six Gun Shooter Shamus', 'Epilogues', 'Houseplant']","['Reparto', 'Composición', 'Producción']",Desconocido,--
1049,Mikayla Mendoza,Desconocido,"['Mind Over Matter', 'Nacho', 'A Tuesday Wedding', 'The Ghosts are Fresh']","['Reparto', 'Cámara y electricidad', 'Dirección']",Desconocido,--
1050,James Gorday,Desconocido,"['Expulsion', 'Jael: A Western Tale', 'Payback', 'Kitbash']","['Reparto', 'Equipos adicionales', 'Sonido']",Desconocido,--
1051,Emily Mehlbrech,Desconocido,['Mind Over Matter'],['Reparto'],Desconocido,--
1052,Darren Barton,Desconocido,"['8000 Ft Up', '10FT Down', 'In Terror', 'Kitbash']","['Sonido', 'Reparto', 'Cámara y electricidad']",Desconocido,--
1053,Hope Blackstock,Desconocido,"['Ley y orden: Crimen organizado', 'Manifest', 'The Report', 'Power Book II: Ghost']",['Reparto'],3 premios,--
1054,Karin Stordahl,Desconocido,['Fredag'],['Reparto'],Desconocido,--
1055,Morten Westgaard,Desconocido,['Fredag'],['Reparto'],Desconocido,--
1056,Tora Elle,Desconocido,"['Fredag', 'Hvem gjør vi det for?']",['Reparto'],Desconocido,--
1057,Glori Amador,Desconocido,"['The Walkers film', 'Shadow', 'Deliverance', 'Star Studded']","['Reparto', 'Maquillaje']",Desconocido,--
1058,Edwin Aryitey,Desconocido,['Deliverance'],['Reparto'],Desconocido,--
1059,Mark Bledsoe,Desconocido,['Deliverance'],['Reparto'],Desconocido,--
