titulo,puntuacion
I Viceré,29%
Hermano,78%
Awake,Valoración: 23%
Partition,Valoración: 38%
Death and Taxis,No existe puntuacion
Terra Sonâmbula,No existe puntuacion
Hitler Meets Christ,17%
Brooklyn Rules,45%
Universal Groove,No existe puntuacion
Before the Devil Knows You're Dead,89%
The Stonecutter,No existe puntuacion
Along the Way,Valoración: 80%
Romantik,No existe puntuacion
Rising Shores,No existe puntuacion
Die Unerzogenen,20%
Cuando ella saltó,No existe puntuacion
La loma... no todo es lo que aparenta,No existe puntuacion
La peli,No existe puntuacion
Bala perdida,No existe puntuacion
Broke Sky,Valoración: 58%
The Last New Yorker,40%
Lucky You,28%
Machine,Valoración: 8%
Fighting Words,No existe puntuacion
Regresados,No existe puntuacion
Susan Hero,No existe puntuacion
Light and the Sufferer,0%
Stompin',Valoración: 27%
Playas Ball,63%
I'm Not There,77%
Hannibal Rising,Valoración: 16%
The Devil's Muse,78%
AFR,No existe puntuacion
D-War,29%
Crossing,No existe puntuacion
32A,No existe puntuacion
Beyond Baklava: The Fairy Tale Story of Sylvia's Baklava,No existe puntuacion
Red Is the Color of,Valoración: 62%
Savage Grace,38%
Melech Shel Kabzanim,No existe puntuacion
Battle for Finland: Tali-Ihantala 1944,No existe puntuacion
Tijuana Makes Me Happy,"Valoración: 6,1/10"
3:10 to Yuma,89%
For Pete's Wake!,No existe puntuacion
Dolina,No existe puntuacion
Black August,Valoración: 75%
Bell Witch: The Movie,67%
Santouri,Valoración: 70%
13 French Street,No existe puntuacion
Sicko,91%
