titulo,puntuacion
Muhomatsu no issho,100%
The Flyboys,50%
Babylon A.D.,7%
The Red Baron,17%
Indiana Jones and the Kingdom of the Crystal Skull,77%
Iron Man,Valoración: 94%
Journey to the Center of the Earth,60%
Far Cry,Valoración: 12%
Hellboy II: The Golden Army,86%
Hell Ride,10%
L'ennemi public n°1,81%
De Spiderwick kronieken,81%
Street Kings,38%
Red Cliff,Valoración: 90%
Superhero Movie,Valoración: 16%
Get Smart,Valoración: 51%
Hold-Up,No existe puntuacion
Agent One-Half,Valoración: 91%
Gå med fred Jamil - Ma salama Jamil,No existe puntuacion
Kung Fu Panda,87%
Vantage Point,34%
"10,000 BC",9%
Killshot,Valoración: 38%
The Gamers: Dorkness Rising,80%
Hancock,42%
Jodhaa Akbar,Valoración: 79%
Punisher: War Zone,29%
Death Race,41%
Madness in the First Degree,"Valoración: 8,2/10"
The Sensei,66%
Bad Guys,No existe puntuacion
Shin Kyûseishu densetsu Hokuto no Ken - Kenshirô den,64%
Light Years Away,No existe puntuacion
Outlander,37%
Rambo,38%
Max Payne,16%
The Dark Knight,Valoración: 94%
Talento de barrio,0%
Japan,Valoración: 76%
Det perfekte kup,No existe puntuacion
Solitaire,No existe puntuacion
Dasavatharam,58%
The Controller,Valoración: 33%
Doomsday,Valoración: 50%
The Thirst: Blood War,"Valoración: 2,6/10"
Jumper,Valoración: 15%
Sarkar Raj,43%
The Grift,Valoración: 43%
Love Story 2050,23%
Mutant Chronicles,17%
Wanted,71%
Chinaman's Chance: America's Other Slaves,No existe puntuacion
Last Hour,No existe puntuacion
The Fifth Commandment,25%
The Chronicles of Narnia: Prince Caspian,66%
Rigged,52%
Body of Lies,55%
Sucker Punch,27%
Der Baader Meinhof Komplex,85%
Fool's Gold,11%
Deep Winter,Valoración: 47%
Jerusalema,77%
Lady Magdalene's,91%
Ong Bak 2,49%
The Last Bad Neighborhood,No existe puntuacion
Wushu,33%
Cowboy Smoke,No existe puntuacion
The Incredible Hulk,67%
Appaloosa,76%
Largo Winch,50%
Speed Racer,42%
Bangkok Dangerous,9%
Agent Crush,No existe puntuacion
Drillbit Taylor,27%
Shoot First and Pray You Live (Because Luck Has Nothing to Do with It),45%
Death Toll,Valoración: 21%
Hide,Valoración: 83%
Capers,Valoración: 50%
Död vid ankomst,No existe puntuacion
Quantum of Solace,64%
The Spirit,14%
Street Revenge,No existe puntuacion
The Brothers Bloom,68%
My Name Is Anthony Gonsalves,22%
The Tumbler,50%
Ten Dead Men,24%
Clubbed,27%
The Mummy: Tomb of the Dragon Emperor,13%
Hotel California,No existe puntuacion
The Forbidden Kingdom,63%
The Rimshop,No existe puntuacion
Three Kingdoms,45%
"War, Inc.",No existe puntuacion
Crepúsculo rojo,No existe puntuacion
Geld oder Leben,No existe puntuacion
Border Lost,40%
Outpost,Valoración: 34%
Loaded,18%
Joheunnom nabbeunnom isanghannom,Valoración: 81%
Player 5150,16%
