,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
120,7.6,DESCONOCIDO,"['Kofi Asamoah', 'Peter Sedufia', 'Yaw Twumasi']","Two sisters - BIBI and KIKI, have to raise twenty thousand Ghana cedis within 12 hours for an emergency surgery to save their dying mother. When all attempts to get help from family and friends failed and the clock ticks, they decide to try a highway bus robbery to raise the funds. It is a successful robbery; they've gathered enough to save their mother. Just as they ... Read all",1h 35m,Away Bus
121,7.8,DESCONOCIDO,DESCONOCIDO,Great cinema is what happens while you're busy waiting... for permission.,--,Film Festival Film
122,4.1,['Mehmet Gün'],"['Serdar Arslan', 'Murat Bozkurt', 'Ercan Ergenekon']","The story of Ali Osman, a stutterer and shy 12-year-old living in a small village, who learns that his platonically beloved village teacher's daughter, Güller, is moving away. What if Güller leaves the village without him telling her that he loves her, or if he does not see her again?",1h 33m,Güller
123,8.2,['Clovis Mello'],"['Clovis Mello', 'Marina Moretti']",A moving biopic about the Brazilian humanitarian leader Divaldo Franco.,1h 59m,Divaldo: O Mensageiro da Paz
124,6.4,['Kalina Alabrudzinska'],DESCONOCIDO,"The characters in the movie are a part of a strong and important community - the community of lonely people. When they allow nature to act, their own nature begins to change.",1h 11m,Nothing is Lost
125,--,['Luke Bond'],DESCONOCIDO,"Lisa, a struggling musician, battles to keep her band together despite its internal conflicts and external pressures for change.",1h 2m,Broke
126,--,['William Cantin'],DESCONOCIDO,,--,Les deux crayons
127,6.6,['Bene Dion Rajagukguk'],"['Bene Dion Rajagukguk', 'Nonny Boenawan']","An old diary containing dark secrets is found by Naya, a novelist who has been on a writer's block for 3 years. This book contains great materials for her latest novel, but something unexpected starts to happen.",1h 37m,Ghost Writer
128,2.4,['Yüksel Torun'],DESCONOCIDO,,1h 30m,Ne Olur Gitme
129,6.2,['Anatol Schuster'],DESCONOCIDO,"Ms. Stern wants her life to expire already. With every attempt to leave this world, life brings her surprises. The absurd life circumstances and random encounters with strangers continuously conflict with the soberness of her desire to die.",1h 19m,Ms Stern
130,6.1,['Larisa Sadilova'],DESCONOCIDO,A chronicle of life in the Russian village of Trubchevsk.,1h 30m,Once in Trubchevsk
131,--,['Mason Katter'],"['Mason Katter', 'Jayden Mahan']","Before they go their separate ways, a group of high school seniors discuss their own opinions and thoughts on moving on from childhood and into adulthood.",--,The Good Old Days
132,6.8,['Rano Karno'],DESCONOCIDO,"The news that her husband, Doel, met with his ex-lover and child makes Zaenab confused in choosing: to defend his marriage with Doel, or to let him go. Zaenab tries to find answers to the fate she has to choose.",1h 35m,Si Doel the Movie 2
133,--,['Adam Archer'],DESCONOCIDO,"2 friends try to go about their boring, nihilistic lives and then stumble upon a YouTube channel that changes their lives forever.",2h 13m,Wallet Sized Photo
134,5.0,['Michael Henry'],DESCONOCIDO,"Upon hearing of his mentor's impending death, haggard musician Kino Warren begins a journey on foot across country, and through a place not of this world referred to as ""the territory"". Kino believes wholeheartedly that the mentor cannot die until he arrives. On his journey, Kino is unaware several people are on his tail - varyingly malicious and politically involved ... Read all",1h 50m,Anhedonia
