,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
747,6.2,['Helena Hufnagel'],"['Sina Flammang', 'Madeleine Fricke', 'Helena Hufnagel']","Isi (27) is stuck in a quater-life-crisis. With a graphic diploma in one hand and a drink in the other, Isi is stuck in a strange place 'inbetween' university and real life. This place would seem bleak and lonely, if her very best friend Lotte wasn't there with her. But that changes abruptly when Lotte not only finds a real job but also falls in love with her colleagu... Read all",1h 30m,Pretty Far from Okay
748,6.0,['Jonathon M.B. Hunter'],DESCONOCIDO,No one wants to see a black and white film about a drunk who kills his dog. Jono and Dave learned that the hard way.,1h 23m,Modern Classic
749,3.6,['Thomas Langmann'],DESCONOCIDO,"Vincent and Antoine, tired of the tours, decide to go on holiday with all the troop of Stars 80.",1h 52m,"Stars 80, la suite"
750,7.4,['Albert Dupontel'],DESCONOCIDO,"In November 1919, two soldiers--a disfigured but brilliant artist and an ex-accountant--start a memorial con. But in Roaring Twenties France, their adventures soon turn dangerous.",1h 57m,See You Up There
751,6.4,['Salvatore Allocca'],DESCONOCIDO,"A man and a woman, illegal immigrants with nothing in common, find themselves to travelling together just landed in Italy from North Africa and having to pretend to be a married couple in the eyes of three Italian musicians in crisis whom have decided to help them to reach Paris.",1h 20m,Taranta on the road
752,4.4,['Andrucha Waddington'],DESCONOCIDO,"The quartet of coup plotters is back, but before they need to resolve some minor internal disagreements, since Marco has struck a blow at his best friend, Beto, who, desolate, stops at a psychiatric clinic. It is up to Laura and Nelson to help him out of the institution.",1h 33m,Party Crashers 2
753,7.7,['Daniel Bollag'],DESCONOCIDO,6 mentally disturbed people in group therapy resolve their major life problems.,1h 30m,Group Therapy: OCD
754,3.5,['Michael Gorgoglione'],DESCONOCIDO,"A southern blue collar construction worker has an encounter with a mysterious ""being"" that he and his family will never forget.",1h 15m,Go Mad and Mark
755,4.9,['Ron Carlson'],DESCONOCIDO,"When the 1989 ""one-hit-wonder"" glam-metal band ""Sonic Grave"" embark on a trip to Coachella in hopes of a comeback, their peyote trip pit stop in Joshua Tree incites an ""unworldly"" viscous attack, and they must ""rock"" themselves out of harms way.",1h 27m,Dead Ant
756,--,['Jeff Butler'],DESCONOCIDO,"Bob and Susan Landers Leave behind their hectic big city life, to rekindle their love for one another by moving out to the country for some fresh air, friendly folk and down home hospitality. Unfortunately, the folks aren't as friendly as Bob had hoped and when a freeloading neighbor and a gang of organ harvesting rednecks rain on his parade, the s@#t hits the fan big... Read all",--,Squat
757,4.8,['Petr Václav'],DESCONOCIDO,,1h 34m,Skokan
758,5.4,['Hark Tsui'],DESCONOCIDO,A monk and his three disciples continue on their journey to battle demons.,1h 49m,Journey to the West: The Demons Strike Back
759,4.3,['Megan Freels Johnston'],DESCONOCIDO,Mary moves back to her suburban hometown to find that the suburbs are scarier in more ways than she ever remembered.,1h 36m,The Ice Cream Truck
760,6.1,['Jan Henrik Stahlberg'],"['Jan Henrik Stahlberg', 'Wolfram Fleischhauer']","There was a time when Rocky could have it all. He played French chansons and the women just melted. This is long past, but now someone has awoken the spirit of seduction.",1h 41m,Bedbugs
761,5.4,['Duane Adler'],DESCONOCIDO,"A young American college student with dreams of being a professional dancer travels to India with her family for a week-long Indian wedding and falls in love--both with a new style of dance, and with the young man who introduces it to her.",1h 47m,Heartbeats
762,6.1,['Manuel Sanchez'],DESCONOCIDO,"In a village by the Meuse river, located near the French-Belgian border, a factory storekeeper named Basile Matrin leads a dreary life with his wife, Rose. The young Maryse Duval, who had just come back from Paris, has abandoned her dreams of becoming an actress. She will unwittingly turn their life upside down. Basile's great friend and neighbour, who is a reporter f... Read all",1h 50m,The Sleeper by the River
763,4.2,['Stuart Stone'],"['Adam Rodness', 'Stuart Stone']",Teenagers are kidnapped and made into scarecrows that are left to die in the crop fields.,1h 20m,Scarecrows
764,5.5,['Pascal Bourdiaux'],DESCONOCIDO,A high-profile burglar reconciles with his two daughters (half-siblings) to help him retaliate against his ex-partner who betrayed him.,1h 31m,Family Heist
765,4.7,['Jim Klock'],"['Tommy McLaughlin', 'Chad Ridgely']",A reality TV crew's staged investigation into the paranormal becomes terrifyingly real when the house they're exploring turns out to be haunted by the ghost of a serial killer.,1h 22m,6:66 PM
766,6.8,['Akira Nagai'],"['Usamaru Furuya', 'Yoshihiro Izumi']","Teiichi dreams of one day being the ruler of his own empire, but to get there he needs to make sure that his candidate for class president at his elite high school wins the election. This is a high school election fought with all the fervor or a nasty, national campaign. Lies, bribery, sabotage and scandal all come into play as the boys fight it out to determine who w... Read all",1h 58m,Teiichi: Battle of Supreme High
767,3.2,['Manish Harishankar'],DESCONOCIDO,Laali and Ladoo get trapped in a royal wedding that takes place in Vadodara.,2h 10m,Laali Ki Shaadi Mein Laaddoo Deewana
768,5.3,['Dogan Özmekik'],DESCONOCIDO,"After being survived in a tragic car accident, ambitious and workaholic Deniz decides to make radical changes in her life. To get rid of all her burdens, she quits her job, leaves her boyfriend and moves from her fancy apartment to live with her hyperactive cousin and bratty sister. One day, her destiny crosses with Kerem who tries to end his life.",1h 39m,Fairytale of New York
769,3.9,['Jonathan Sheldon'],DESCONOCIDO,A bohemian Seattle DJ uses his on-air charisma to create a fictitious conservative radio personality becoming an overnight sensation.,1h 35m,Swing State
770,--,DESCONOCIDO,DESCONOCIDO,"It's 1954. Mad Scientists. Hostile aliens, an escaped cyborg, and the fate of the world hangs in the balance.",--,I Was a Teenage Alien Mutant Cyborg
771,4.0,['Brandon Tobatto'],DESCONOCIDO,"A notorious Serial Killer known as 'Cottontail' faces a slew of personal issues as he falls in love with the girl of his dreams, all the while trying to put together his ultimate 'Easter Egg Hunt'.",1h 21m,Cottontail
772,5.4,['Denis Chernov'],DESCONOCIDO,The lovably simple residents of Kikoriki Island are thrown kicking and screaming into big adventure when their resident scientist invents an amazing device which take personality traits from one person and swaps them with someone else's.,1h 19m,Kikoriki: Legend of the Golden Dragon
773,5.2,['Bueno'],DESCONOCIDO,Evil in Tokyo is on the rise and heroes have become a common commodity just out for fame and glory. Washed out anti-hero Gun Caliber is summoned to save Tokyo from the forces of Evil.,1h 22m,Gun Caliber
774,5.6,['Francis Meletzky'],DESCONOCIDO,"Berlin 1989, shortly before the fall of the Wall: While the actor Otto is rehearsing for his role as head of state and party leader Erich Honecker, the regime is fighting for survival. The military and police are preparing to use force to crush the Leipzig Monday demonstration in the evening. To protect his pregnant daughter Anne, who wants to get forged papers for he... Read all",1h 34m,Forwards Ever!
775,2.4,DESCONOCIDO,"['Milko Davis', 'Michele Pacitto']","A cracked scientist aligns with the Axis of Evil to bring down the US of A with EMP blasts, toxic zombification gas and an unleashing of the ultimate undead killing monstrosity -- the Z-REX. When a hot-wired militia squad and a crew of college hipsters are thrown together to do something about it, chaotic Predator-Thunder action runs amok.",1h 22m,The Jurassic Dead
776,6.6,['Christopher Landon'],DESCONOCIDO,"A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity.",1h 36m,Happy Death Day
777,6.1,['Héctor Cabello Reyes'],DESCONOCIDO,"The life of two men changed unexpectedly when Ajith, an Indian sailor who was robbed and lost everything, appears out of nowhere in front of Pierre, a single and grumpy Frenchman.",1h 31m,7 jours pas plus
778,6.4,DESCONOCIDO,DESCONOCIDO,"Zombillenium, the Halloween theme park, happens to be the one place on earth where real monsters can hide in plain sight. When Hector, a human, threatens to disclose the true identity of his employees, the Vampire Park Manager has no other choice but to hire him. To see his daughter, Hector must escape from his Zombies and Werewolves coworkers.",1h 18m,Zombillénium
779,7.7,['Victor Bojinov'],"['Victor Bojinov', 'Nelly Dimitrova', 'Milen Ruskov']","Two members of a rebel movement are sent on a dangerous mission around enslaved Bulgaria in 1870's. Their leader has an important message to reach a man of high importance in the revolution of the country - Vasil ""The Lion"" Levski.",2h 22m,Vazvishenie
780,4.6,['Greg Bergman'],DESCONOCIDO,"'Bama's back. Actually, he never left. Welcome to Obamaland in the year 2040.",1h 30m,Obamaland Part 1: Rise of the Trumpublikans
781,5.5,['Sherwin Shilati'],DESCONOCIDO,An introvert realizes he can be whomever he wants to be on the Internet.,1h 32m,People You May Know
782,5.6,['Charlie Vaughn'],DESCONOCIDO,"Diane is a struggling single mom in LA. Just when things are at their worst, she inherits a house, but she will have to live in small town USA and take care of a dog for a year before she can sell the house.",1h 24m,Sweet Home Carolina
